Show Name,Days Since Launch, Viewing Accounts ,Sonic Show ID
Expedition: Back to the Future,28," 233,487 ",go-show-13407
Death on the Beach,28," 249,042 ",go-show-24447
The Courage to Run with Chip Gaines & Gabe Grunewald,28," 143,085 ",go-show-12614
Lil Jon Wants to Do What?,28," 243,092 ",go-show-23933
Dawn of the Monster Mako,28," 251,220 ",go-show-24291
Resurrection,28," 231,005 ",go-show-13324
The Haunting of Shark Tower,28," 249,135 ",go-show-24303
Million Dollar Wheels,28," 246,345 ",go-show-23467
Making Modern with Brooke and Brice,28," 223,605 ",go-show-21205
Murdaugh Murders: Deadly Dynasty,28," 240,751 ",go-show-24173
Restaurant Rivals: Irvine vs. Taffer,28," 241,569 ",go-show-23410
Eli Roth Presents: My Possessed Pet,28," 221,895 ",go-show-24707
1000-lb Sisters,28," 133,717 ",go-show-1439
I Am Shauna Rae,28," 234,173 ",go-show-23449
Fixer to Fabulous Holiday Surprise,28," 226,588 ",go-show-22476
The Deadly Type with Candice DeLong,28," 205,540 ",go-show-13342
Deadliest Catch: The Viking Returns,28," 217,986 ",go-show-24642
Deadliest Kids,28," 235,553 ",go-show-24214
Buy It or Build It,28," 214,790 ",go-show-24697
Gold Rush: Freddy Dodge's Mine Rescue,28," 130,492 ",go-show-12922
Gold Rush,28," 129,851 ",go-show-12250
"Diners, Drive-Ins, and Dives",28," 128,827 ",go-show-12413
Roswell: The Final Verdict,28," 217,533 ",go-show-17071
The Curse of Lizzie Borden,28," 207,307 ",go-show-21962
Unraveled: The Long Island Serial Killer,28," 200,091 ",go-show-13325
Trixie Motel,28," 219,400 ",go-show-23937
Love in the Jungle,28," 216,367 ",go-show-23780
Demon in the White House,28," 209,540 ",go-show-22513
90 Day Fiance: Love Games,28," 183,826 ",go-show-13300
The Chameleon Killer,28," 186,092 ",go-show-13308
Caught in the Net,28," 211,945 ",go-show-23841
My 600-lb Life,28," 122,546 ",go-show-1061
JonBenet Ramsey: What Really Happened?,28," 121,571 ",go-show-12835
Great White Intersection,28," 212,800 ",go-show-24306
The Hillside Strangler,28," 217,146 ",go-show-22960
Ghostober Preview Party,28," 200,237 ",go-show-24727
King of the Con,28," 217,166 ",go-show-22949
Brother vs. Brother,28," 119,906 ",go-show-12528
Guy's Chance Of A Lifetime,28," 213,985 ",go-show-22935
Ghost Hunters,28," 195,319 ",go-show-21999
Vampires In America,28," 209,849 ",go-show-23393
Anni: The Honeymoon Murder,28," 196,331 ",go-show-22607
Real PD: Kansas City,28," 196,274 ",go-show-22576
Jailhouse Redemption,28," 201,180 ",go-show-23889
Murder Under the Friday Night Lights,28," 204,690 ",go-show-23408
Design Star: Next Gen,28," 176,589 ",go-show-13301
Rooms We Love,28," 201,889 ",go-show-24049
Amish Witches: The True Story of Holmes County,28," 197,950 ",go-show-24429
Chasing Ghislaine,28," 193,191 ",go-show-22468
The Hunt for the Chicago Strangler,28," 194,442 ",go-show-22648
NetherWorld,28," 201,128 ",go-show-22903
House Haunters,28," 182,134 ",go-show-22002
Alex vs America,28," 204,259 ",go-show-22904
Beachside Brawl,28," 199,840 ",go-show-24176
Bargain Block: Bargain Buys,28," 193,836 ",go-show-24452
The Nate and Jeremiah Home Project,28," 179,999 ",go-show-22249
Doctor's Orders,28," 186,343 ",go-show-21733
Pig Royalty,28," 184,169 ",go-show-13675
Capturing Home,28," 192,025 ",go-show-24342
Battle on the Beach,28," 192,401 ",go-show-21142
Restoration Road With Clint Harp,28," 111,975 ",go-show-12842
Big Bad Budget Battle,28," 191,968 ",go-show-24478
The Killer Nanny,28," 193,069 ",go-show-24635
Serving the Hamptons,28," 196,165 ",go-show-23629
Dr. Delirium and The Edgewood Experiments,28," 191,881 ",go-show-23988
Jack Osbourne's Night of Terror: UFOs,28," 188,838 ",go-show-24469
For the Love of Kitchens,28," 187,148 ",go-show-21204
Homicide Hunter: Joe Kenda,28," 183,195 ",go-show-1450
Cocktails and Tall Tales,28," 179,442 ",go-show-13718
UFO Witness,28," 127,046 ",go-show-12961
The Exorcism of Roland Doe,28," 156,133 ",go-show-13090
Breaking Bland,28," 181,465 ",go-show-22523
The Diana Investigations,28," 188,627 ",go-show-24600
On The Case with Paula Zahn,28," 108,492 ",go-show-12294
Call The Closer,28," 180,756 ",go-show-22569
