,TITLE_ID,HOURS_VIEWED,TOTAL_CANCEL,TOTAL_VIEWER
742,GXcnZJAT1q6XCPQEAAALH,85307,1154,24517
743,GYFE2Tg8P-76tMQEAAAAS,33986,718,16179
744,GYA9XHQopEqmlqwEAAAAC,278196,2371,51812
745,GYcHzowhh6MPCJwEAAAAC,23971,428,7649
746,GYZLijQsvoJKWWQEAAAB6,6814919,48446,1501554
747,GX8g2egIbIC3CCAEAAADh,8009,197,4959
748,GXbIIxQb4npGYoAEAAAch,365561,3568,60503
749,GXqSF_QZxm8LDwgEAAAVl,48678,810,12667
750,GVvls3Ai4QaawqmIJAAAg,27480,385,12326
751,GXnDmqAn1ycNVoAEAABzF,26637,402,8731
752,GVU2cbQuR-1FvjSoJATzx,269348,846,23265
753,GYKwA8grp50g2gQEAAAAz,3081,147,3129
754,GVU2gaQaj7I7DwvwIAUOO,8960,84,2257
755,GV6sC6QcBEVSKwwEAAAAM,846,36,834
756,GXea7ugwtZ0ytlAEAAAC4,3436,36,926
757,GYRwxzQi9KriVuQEAAAdA,2916,68,1447
758,GYNJYNA5jwRI3wgEAAAAD,2357,48,999
759,GXwfGtATMcppiwwEAAAV8,3451,47,875
760,GXn6NpwVG7IBKRwEAAAOo,168025,2310,37318
761,GX5nwgQDNJZ6aoQEAAAHJ,1821342,2162,86203
762,GX5tdIgP5ILrCwgEAAADH,1789266,3663,77624
763,GYINi5guXcp2TjQEAAAVI,54940,758,15038
764,GXxsXSgEGzWLCwwEAAAA-,21611,687,8838
765,GXoI6ZgRkcoBKRwEAAAQj,170341,711,19205
766,GYS5j3Ay2W59TwgEAAABj,111712,2192,31775
767,GXjRHvgoDW5PCwgEAAAOG,54293,778,20662
768,GXa5NxQI8g5GYoAEAAAAm,163847,2394,44233
769,GXpda1QnNJLEswgEAAARj,18003,294,7088
770,GXsQHeQ8fdMJrsQEAAABM,131751,1314,24565
771,GXbdgeAsqlJGYoAEAAA2t,3970,102,1699
772,GXN2NPADWKJ63mgEAAAN9,5166,134,3334
773,GX85z3wuDN7IUNAEAAAAC,566,75,1374
774,GYLEWLwPOebyJwwEAAAHB,127395,1524,21884
