,title_series,legacy_series_id,ckg_series_id,imdb_id,program_type,primary_genre,first_release_date,theatrical_date,area_gross,budget,observed_medal,latam_home_medal,day_on_max,cumulative_viewing_subscribers,cumulative_first_views,percent_cumulative_viewing_subscribers,percent_cumulative_first_views,days_from_theatrical,genre_Action,genre_Comedy,genre_Drama,genre_Fantasy & Sci-Fi,genre_Horror,genre_Kids & Family,genre_Music,genre_Not A Genre,medal_Bronze,medal_Gold,medal_Platinum,medal_Silver,medal_number,log_cumulative_first_views,log_cumulative_viewing_subs
47,Morbius,GYrMgSgrVpJbCMgEAAAAC,GYrMgSgrVpJbCMgEAAAAC,tt5108870,Acquired,Horror,2022-06-30,2022-03-31,4026480.0,75000000.0,Platinum,Platinum,90.0,3359635.0,56021.0,28.789700,1.470400,91,0,0,0,0,1,0,0,0,0,0,1,0,0,15.773680115945883,21.679873072478912
48,Mortal Kombat,GYGYKfQwaKLheqwEAAAEC,4a9c7b65-5122-4c78-ba8e-36eabb043249,tt0293429,Acquired,Action,2021-08-05,2021-04-22,816364.0,55000000.0,Platinum,Platinum,90.0,2163346.0,99606.0,28.538700,3.517900,105,1,0,0,0,0,0,0,0,0,0,1,0,0,16.603945028564972,21.044832994015575
49,Mrs. Harris Goes to Paris,GZIHoeQqXaZOmPwEAAAyV,44d70775-f7a0-47d4-ad78-1a9fdc11a63a,tt5151570,Acquired,Comedy,2023-07-06,2022-10-27,198659.0,13000000.0,,Bronze,90.0,3499.0,166.0,0.029600,0.006400,252,0,1,0,0,0,0,0,0,1,0,0,0,3,7.3750394313469245,11.77272694923985
51,No Hard Feelings,GZO5fqATCIIcRnQEAAAAC,e4305396-fe3c-4f34-98b4-583e09b7e94b,tt15671028,Acquired,Comedy,2023-09-21,2023-06-22,1046897.0,45000000.0,Gold,Gold,90.0,2750955.0,53183.0,22.634700,1.731600,91,0,1,0,0,0,0,0,0,0,1,0,0,1,15.698677540029138,21.39150110962976
53,Old,GYiaPwAgBBJuGtwEAAAFs,b3a2d7cc-218c-48c4-8837-622274c52760,tt10954652,Acquired,Horror,2022-03-10,2021-07-29,901112.0,18000000.0,Silver,Silver,90.0,1189962.0,13584.0,12.014800,0.487700,224,0,0,0,0,1,0,0,0,0,0,0,1,2,13.729620743553038,20.182484072868412
54,Puss in Boots: The Last Wish,GZKSqDAD4L06aKQEAAA-E,6e498fce-86c6-4d2a-9c17-10c9b5532115,tt3915174,Acquired,Kids & Family,2023-08-03,2023-01-05,3754131.0,90000000.0,Bronze,Bronze,90.0,369088.0,24323.0,3.124200,0.940900,210,0,0,0,0,0,1,0,0,1,0,0,0,3,14.570033561381877,18.49360530705712
56,Reminiscence,GYQBEaQwta8PCAAEAAAA-,e96a64f5-d1cd-491e-ad4b-8eb9200b7437,tt3272066,Acquired,Fantasy & Sci-Fi,2021-09-23,2021-08-19,354800.0,54000000.0,Gold,Gold,90.0,806082.0,9318.0,10.486200,0.417200,35,0,0,0,1,0,0,0,0,0,1,0,0,1,13.185804615108458,19.620567081150313
58,Resident Evil: Welcome to Raccoon City,GYoYI_Ar1Z6ykwgEAAAAC,GYoYI_Ar1Z6ykwgEAAAAC,tt6920084,Acquired,Horror,2022-06-23,2021-12-02,711507.0,25000000.0,Gold,Gold,90.0,1352050.0,12550.0,11.662600,0.329800,203,0,0,0,0,1,0,0,0,0,1,0,0,1,13.615399743725497,20.366717074064262
59,Shazam! Fury of the Gods,GZDBcoAAEt8PCGAEAAAAC,f51ad955-30ef-43fc-9ffa-38de98c55f93,tt10151854,Acquired,Action,2023-05-23,2023-03-16,6109856.0,125000000.0,Platinum,Platinum,90.0,3723795.0,61462.0,30.836700,2.216300,68,1,0,0,0,0,0,0,0,0,0,1,0,0,15.907407093163295,21.828342222074795
60,Sing 2,GYtrYKweNVZBniAEAAAAD,GYtrYKweNVZBniAEAAAAD,tt6467266,Acquired,Drama,2022-08-11,2021-12-30,2962560.0,85000000.0,Gold,Gold,90.0,2333731.0,40117.0,19.389900,1.047200,224,0,0,1,0,0,0,0,0,0,1,0,0,1,15.29192610297341,21.154206846165643
