,Title Name,legacy_series_id,Reporting Content Category,Net Studio,Wbd Max Content Category,Reporting Primary Genre,Title First Offered Date,geo_value,theatrical_date,first_release_date
87,The Machine,GZXewzQoproLCJwEAACCR,Pay 1,Other 3rd Party,Movie,,2024-01-05,,,
88,The Many Saints Of Newark,GYS_3hgKL_avCwwEAAAAe,Pay 1,WB Film Studio,Movie,Drama,2021-10-01,COLOMBIA,2021-09-30,2021-11-04
89,The Northman,GY0ojsQI_tbcqtAEAAAA6,Pay 1,Disney,Movie,Action,2022-12-09,BRAZIL,2022-05-12,2024-02-04
90,The Northman,GY0ojsQI_tbcqtAEAAAA6,Pay 1,Disney,Movie,Action,2022-12-09,MEXICO,2022-04-15,2022-12-08
91,The Northman,GY0ojsQI_tbcqtAEAAAA6,Pay 1,Disney,Movie,Action,2022-12-09,ARGENTINA,2022-04-21,2022-12-08
92,The Nun II,GZNuevgZakcMrwwEAAAMd,Pay 1,WB Film Studio,Movie,Horror,2023-10-27,COLOMBIA,2023-09-07,2023-10-27
93,The Nun II,GZNuevgZakcMrwwEAAAMd,Pay 1,WB Film Studio,Movie,Horror,2023-10-27,ARGENTINA,2023-09-07,2023-10-27
94,The Nun II,GZNuevgZakcMrwwEAAAMd,Pay 1,WB Film Studio,Movie,Horror,2023-10-27,BRAZIL,2023-09-07,2023-10-27
95,The Pope's Exorcist,GZKSeog8ed7GYsAEAAA8V,Pay 1,Sony / Columbia,Movie,Horror,2023-08-04,COLOMBIA,2023-04-06,2023-08-03
96,The Pope's Exorcist,GZKSeog8ed7GYsAEAAA8V,Pay 1,Sony / Columbia,Movie,Horror,2023-08-04,MEXICO,2023-04-07,2023-08-03
97,The Suicide Squad,GYOxtow3Wz8PDwgEAAAdw,Pay 1,WB Film Studio,Movie,Action,2021-08-05,MEXICO,2021-08-06,2021-09-11
98,The Suicide Squad,GYOxtow3Wz8PDwgEAAAdw,Pay 1,WB Film Studio,Movie,Action,2021-08-05,COLOMBIA,2021-08-05,2021-09-11
99,The Suicide Squad,GYOxtow3Wz8PDwgEAAAdw,Pay 1,WB Film Studio,Movie,Action,2021-08-05,BRAZIL,2021-08-05,2021-09-11
100,The Woman King,GZFFX1gMjTLGYsAEAAAj8,Pay 1,Other 3rd Party,Movie,Drama,2023-06-02,COLOMBIA,2022-09-29,2023-06-01
101,The Woman King,GZFFX1gMjTLGYsAEAAAj8,Pay 1,Other 3rd Party,Movie,Drama,2023-06-02,MEXICO,2022-10-21,2023-06-01
102,Veneciafrenia,GY1v3OQItRcNVqwEAAABM,Pay 1,Other 3rd Party,Movie,Horror,2022-12-09,,,
103,Venus,GZL7G7wUj1C03owEAAAAC,Pay 1,Sony / Columbia,Movie,Horror,2023-09-01,,,
104,Watcher,GZIHolw3GcAnCZwEAABub,Pay 1,AMC,Movie,Horror,2023-07-14,,,
