,title_name,title_id,primary_genre_desc,program_type,air_date,theatrical_release_date,asset_run_time,offering_start_date,offering_end_date,territory,licensor
27,The Fallout,GYc3xuwu2x5rCFgEAAALb,drama,acquired,2022-01-27,,5643.0,2022-01-27 08:01:00,2026-02-01 04:59:00,HBO MAX DOMESTIC,"Warner Bros. Domestic Television Distribution, Warner Media Direct, LLC"
28,The Fallout,GYc3xuwu2x5rCFgEAAALb,drama,acquired,2022-01-27,,5643.0,2021-01-10 23:00:00,2021-01-11 23:00:00,ADRIA,"Warner Bros. Domestic Television Distribution, Warner Media Direct, LLC"
29,The Fallout,GYc3xuwu2x5rCFgEAAALb,drama,acquired,2022-01-27,,5643.0,2022-03-08 20:00:00,2032-01-26 21:59:00,ROMANIA,"Warner Bros. Domestic Television Distribution, Warner Media Direct, LLC"
30,The Fallout,GYc3xuwu2x5rCFgEAAALb,drama,acquired,2022-01-27,,5643.0,2022-03-08 22:00:00,2032-01-26 22:59:00,ADRIA,"Warner Bros. Domestic Television Distribution, Warner Media Direct, LLC"
31,The Fallout,GYc3xuwu2x5rCFgEAAALb,drama,acquired,2022-01-27,,5643.0,2021-01-10 23:00:00,2021-01-11 23:00:00,CZECHIA_SLOVAKIA,"Warner Bros. Domestic Television Distribution, Warner Media Direct, LLC"
32,The Fallout,GYc3xuwu2x5rCFgEAAALb,drama,acquired,2022-01-27,,5643.0,2022-03-07 22:00:00,2032-01-26 21:59:59,BULGARIA,"Warner Bros. Domestic Television Distribution, Warner Media Direct, LLC"
33,The Fallout,GYc3xuwu2x5rCFgEAAALb,drama,acquired,2022-01-27,,5643.0,2022-01-27 06:00:00,2030-01-27 03:59:00,CARIBBEAN,"Warner Bros. Domestic Television Distribution, Warner Media Direct, LLC"
34,The Fallout,GYc3xuwu2x5rCFgEAAALb,drama,acquired,2022-01-27,,5643.0,2022-01-27 08:01:00,2032-01-26 22:59:00,SPAIN,"Warner Bros. Domestic Television Distribution, Warner Media Direct, LLC"
35,The Fallout,GYc3xuwu2x5rCFgEAAALb,drama,acquired,2022-01-27,,5643.0,2021-01-10 22:00:00,2021-01-11 22:00:00,ROMANIA,"Warner Bros. Domestic Television Distribution, Warner Media Direct, LLC"
36,The Fallout,GYc3xuwu2x5rCFgEAAALb,drama,acquired,2022-01-27,,5643.0,2022-03-07 23:00:00,2032-01-26 22:59:00,NETHERLANDS,"Warner Bros. Domestic Television Distribution, Warner Media Direct, LLC"
37,The Fallout,GYc3xuwu2x5rCFgEAAALb,drama,acquired,2022-01-27,,5643.0,2021-01-10 23:00:00,2021-01-11 23:00:00,HUNGARY,"Warner Bros. Domestic Television Distribution, Warner Media Direct, LLC"
38,The Fallout,GYc3xuwu2x5rCFgEAAALb,drama,acquired,2022-01-27,,5643.0,2021-01-11 00:00:00,2021-01-12 00:00:00,PORTUGAL,"Warner Bros. Domestic Television Distribution, Warner Media Direct, LLC"
39,The Fallout,GYc3xuwu2x5rCFgEAAALb,drama,acquired,2022-01-27,,5643.0,2022-01-27 06:00:00,2030-01-27 02:59:00,REST OF LATAM,"Warner Bros. Domestic Television Distribution, Warner Media Direct, LLC"
40,The Fallout,GYc3xuwu2x5rCFgEAAALb,drama,acquired,2022-01-27,,5643.0,2021-01-10 23:00:00,2021-01-11 23:00:00,POLAND,"Warner Bros. Domestic Television Distribution, Warner Media Direct, LLC"
41,Funny Pages,GZA8uNgp3YZSgigEAABGo,comedy,acquired,2022-01-01,,4992.0,2023-04-16 22:00:00,2024-09-30 21:59:59,POLAND,A24
