,title_series,legacy_series_id,ckg_series_id,imdb_id,primary_genre,latam_home_medal,first_release_date,theatrical_date,area_gross,budget,genre_Action,genre_Comedy,genre_Drama,medal_number,days_from_theatrical,pred,kpi,base,multiplier
20,Ambulance,GYyRIgQNLUhu1wwEAAAAF,GYyRIgQNLUhu1wwEAAAAF,tt4998632,Action,Silver,2022-11-24,2022-03-17,1218886.0,40000000.0,1,0,0,2,300,7741.9833594732045,first_views,18830.351713630425,0.41114385313733354
21,Ambulance,GYyRIgQNLUhu1wwEAAAAF,GYyRIgQNLUhu1wwEAAAAF,tt4998632,Action,Silver,2022-11-24,2022-03-17,1218886.0,40000000.0,1,0,0,2,315,7216.111737348401,first_views,18830.351713630425,0.3832170448587527
22,Ambulance,GYyRIgQNLUhu1wwEAAAAF,GYyRIgQNLUhu1wwEAAAAF,tt4998632,Action,Silver,2022-11-24,2022-03-17,1218886.0,40000000.0,1,0,0,2,330,6705.826927439208,first_views,18830.351713630425,0.3561179859739512
23,Ambulance,GYyRIgQNLUhu1wwEAAAAF,GYyRIgQNLUhu1wwEAAAAF,tt4998632,Action,Silver,2022-11-24,2022-03-17,1218886.0,40000000.0,1,0,0,2,345,6210.666937303273,first_views,18830.351713630425,0.3298221420265696
24,Ambulance,GYyRIgQNLUhu1wwEAAAAF,GYyRIgQNLUhu1wwEAAAAF,tt4998632,Action,Silver,2022-11-24,2022-03-17,1218886.0,40000000.0,1,0,0,2,360,5730.183467934414,first_views,18830.351713630425,0.30430570576048227
25,Ambulance,GYyRIgQNLUhu1wwEAAAAF,GYyRIgQNLUhu1wwEAAAAF,tt4998632,Action,Silver,2022-11-24,2022-03-17,1218886.0,40000000.0,1,0,0,2,375,5263.941507889611,first_views,18830.351713630425,0.2795455755656059
26,Ambulance,GYyRIgQNLUhu1wwEAAAAF,GYyRIgQNLUhu1wwEAAAAF,tt4998632,Action,Silver,2022-11-24,2022-03-17,1218886.0,40000000.0,1,0,0,2,390,4811.518939446261,first_views,18830.351713630425,0.2555193345625841
27,Ambulance,GYyRIgQNLUhu1wwEAAAAF,GYyRIgQNLUhu1wwEAAAAF,tt4998632,Action,Silver,2022-11-24,2022-03-17,1218886.0,40000000.0,1,0,0,2,405,4372.506156432932,first_views,18830.351713630425,0.23220523030740184
28,Ambulance,GYyRIgQNLUhu1wwEAAAAF,GYyRIgQNLUhu1wwEAAAAF,tt4998632,Action,Silver,2022-11-24,2022-03-17,1218886.0,40000000.0,1,0,0,2,420,3946.5056933873784,first_views,18830.351713630425,0.2095821550975431
29,Ambulance,GYyRIgQNLUhu1wwEAAAAF,GYyRIgQNLUhu1wwEAAAAF,tt4998632,Action,Silver,2022-11-24,2022-03-17,1218886.0,40000000.0,1,0,0,2,435,3533.1318657065985,first_views,18830.351713630425,0.18762962686188844
30,Ambulance,GYyRIgQNLUhu1wwEAAAAF,GYyRIgQNLUhu1wwEAAAAF,tt4998632,Action,Silver,2022-11-24,2022-03-17,1218886.0,40000000.0,1,0,0,2,450,3132.010420462537,first_views,18830.351713630425,0.1663277706170203
31,Ambulance,GYyRIgQNLUhu1wwEAAAAF,GYyRIgQNLUhu1wwEAAAAF,tt4998632,Action,Silver,2022-11-24,2022-03-17,1218886.0,40000000.0,1,0,0,2,465,2742.778197567857,first_views,18830.351713630425,0.1456573004731763
32,Ambulance,GYyRIgQNLUhu1wwEAAAAF,GYyRIgQNLUhu1wwEAAAAF,tt4998632,Action,Silver,2022-11-24,2022-03-17,1218886.0,40000000.0,1,0,0,2,480,2365.082800984499,first_views,18830.351713630425,0.12559950217353213
33,Ambulance,GYyRIgQNLUhu1wwEAAAAF,GYyRIgQNLUhu1wwEAAAAF,tt4998632,Action,Silver,2022-11-24,2022-03-17,1218886.0,40000000.0,1,0,0,2,495,1998.5822796778284,first_views,18830.351713630425,0.10613621615103166
34,Armageddon Time,GZK1nDg0nFaXCwgEAABAp,1e047963-2433-4a1a-8095-830022a0ce57,tt10343028,Drama,Bronze,2023-08-10,2023-03-16,3967.0,15000000.0,0,0,1,3,0,6567.185140767604,first_views,5313.96388384198,1.23583548633747
35,Armageddon Time,GZK1nDg0nFaXCwgEAABAp,1e047963-2433-4a1a-8095-830022a0ce57,tt10343028,Drama,Bronze,2023-08-10,2023-03-16,3967.0,15000000.0,0,0,1,3,15,6138.788761408454,first_views,5313.96388384198,1.1552183822841733
36,Armageddon Time,GZK1nDg0nFaXCwgEAABAp,1e047963-2433-4a1a-8095-830022a0ce57,tt10343028,Drama,Bronze,2023-08-10,2023-03-16,3967.0,15000000.0,0,0,1,3,30,5721.46991008371,first_views,5313.96388384198,1.0766858855553803
37,Armageddon Time,GZK1nDg0nFaXCwgEAABAp,1e047963-2433-4a1a-8095-830022a0ce57,tt10343028,Drama,Bronze,2023-08-10,2023-03-16,3967.0,15000000.0,0,0,1,3,45,5313.96388384198,first_views,5313.96388384198,1.0
38,Armageddon Time,GZK1nDg0nFaXCwgEAABAp,1e047963-2433-4a1a-8095-830022a0ce57,tt10343028,Drama,Bronze,2023-08-10,2023-03-16,3967.0,15000000.0,0,0,1,3,60,4913.003596761782,first_views,5313.96388384198,0.9245459141528255
39,Armageddon Time,GZK1nDg0nFaXCwgEAABAp,1e047963-2433-4a1a-8095-830022a0ce57,tt10343028,Drama,Bronze,2023-08-10,2023-03-16,3967.0,15000000.0,0,0,1,3,75,4518.465375910804,first_views,5313.96388384198,0.8503003548161053
40,Armageddon Time,GZK1nDg0nFaXCwgEAABAp,1e047963-2433-4a1a-8095-830022a0ce57,tt10343028,Drama,Bronze,2023-08-10,2023-03-16,3967.0,15000000.0,0,0,1,3,90,4130.463755463186,first_views,5313.96388384198,0.777284875424647
41,Armageddon Time,GZK1nDg0nFaXCwgEAABAp,1e047963-2433-4a1a-8095-830022a0ce57,tt10343028,Drama,Bronze,2023-08-10,2023-03-16,3967.0,15000000.0,0,0,1,3,105,3749.0994854598757,first_views,5313.96388384198,0.705518435467666
42,Armageddon Time,GZK1nDg0nFaXCwgEAABAp,1e047963-2433-4a1a-8095-830022a0ce57,tt10343028,Drama,Bronze,2023-08-10,2023-03-16,3967.0,15000000.0,0,0,1,3,120,3374.459973021845,first_views,5313.96388384198,0.6350174835178068
43,Armageddon Time,GZK1nDg0nFaXCwgEAABAp,1e047963-2433-4a1a-8095-830022a0ce57,tt10343028,Drama,Bronze,2023-08-10,2023-03-16,3967.0,15000000.0,0,0,1,3,135,3006.6197339020327,first_views,5313.96388384198,0.5657960422057396
44,Armageddon Time,GZK1nDg0nFaXCwgEAABAp,1e047963-2433-4a1a-8095-830022a0ce57,tt10343028,Drama,Bronze,2023-08-10,2023-03-16,3967.0,15000000.0,0,0,1,3,150,2645.6408524736016,first_views,5313.96388384198,0.4978657947823333
45,Armageddon Time,GZK1nDg0nFaXCwgEAABAp,1e047963-2433-4a1a-8095-830022a0ce57,tt10343028,Drama,Bronze,2023-08-10,2023-03-16,3967.0,15000000.0,0,0,1,3,165,2291.573448331981,first_views,5313.96388384198,0.4312361729254322
46,Armageddon Time,GZK1nDg0nFaXCwgEAABAp,1e047963-2433-4a1a-8095-830022a0ce57,tt10343028,Drama,Bronze,2023-08-10,2023-03-16,3967.0,15000000.0,0,0,1,3,180,1944.4561477713087,first_views,5313.96388384198,0.3659144454639148
