title_number,title_name,offering_start_date,genre,medal,pred_type,M1,M2,M3,M4,M5
112.0,GOLDEN BOY: OSCAR DE LA HOYA PROJECT,2023-07-01,other,Bronze,future,0.0,0.0,0.0,0.0,0.0
113.0,TRUE DETECTIVE S4,2024-01-01,drama,Gold,future,-0.0037508651481075973,-0.0016024669242497049,-0.0008253898159069956,-0.0005443204938397239,-0.00044265752763056543
114.0,CURB YOUR ENTHUSIASM S12,2024-02-01,action,Silver,future,-0.000979972147855416,-0.0004186695313257361,-0.00021564599066443472,-0.00014221223701922685,-0.00011565119805369488
115.0,THE REGIME S1,2024-02-01,drama,Silver,future,-0.001653316424498787,-0.0007063396792376742,-0.0003638175421853157,-0.0002399270507260292,-0.0001951157751509348
116.0,THE REHEARSAL S2,2025-03-01,action,Silver,future,-0.0005345302624665904,-0.00022836519890494702,-0.00011762508581696443,-7.757031110139648e-05,-6.308247166565177e-05
117.0,PETE ROSE DOC,2024-04-01,other,Bronze,future,0.0,0.0,0.0,0.0,0.0
118.0,EUPHORIA S3,2025-07-01,drama,Platinum,future,-0.027341199489380304,-0.011680869911612197,-0.006016517982418462,-0.0039677180118667865,-0.0032266656599289675
119.0,REAL TIME WITH BILL MAHER S22,2024-01-01,other,Bronze,future,0.0,0.0,0.0,0.0,0.0
120.0,LAST WEEK TONIGHT WITH JOHN OLIVER S11,2024-02-01,other,Silver,future,-0.004384434373154915,-0.001873144137978136,-0.0009648087407089119,-0.0006362632056787246,-0.0005174280607391084
121.0,A KNIGHT OF THE SEVEN KINGDOMS S1,2025-06-01,drama,Platinum,future,-0.012539470867388368,-0.005357187347223234,-0.0027593504810554496,-0.0018197111081077644,-0.0014798429036442689
122.0,TBD '24A FILM HBO,2024-05-01,drama,Silver,future,-0.0015705903652376456,-0.00023750448804255953,-0.00014567969615672432,-0.00013935467797963726,-0.00013891900201327926
123.0,THE SYMPATHIZER S1,2024-04-01,drama,Gold,future,-0.004376009339458863,-0.00186954474495799,-0.0009629547852248279,-0.0006350405761463447,-0.0005164337822356597
124.0,THE RIGHTEOUS GEMSTONES S4,2025-03-01,action,Silver,future,-0.0008017953936998856,-0.00034254779835742055,-0.0001764376287254466,-0.00011635546665209469,-9.462370749847764e-05
125.0,HOUSE OF THE DRAGON S2,2024-06-01,drama,Platinum,future,-0.027341199489380304,-0.011680869911612197,-0.006016517982418462,-0.0039677180118667865,-0.0032266656599289675
126.0,HARD KNOCKS S19,2024-08-01,other,Silver,future,-0.0021922171865774577,-0.000936572068989068,-0.00048240437035445595,-0.0003181316028393623,-0.0002587140303695542
127.0,CELTICS PROJECT,2025-04-01,other,Silver,future,-0.003945990935839423,-0.0016858297241803231,-0.0008683278666380208,-0.0005726368851108521,-0.0004656852546651974
128.0,THE REHEARSAL S3 / TBD,2026-03-01,action,Silver,future,-0.0005345302624665904,-0.00022836519890494702,-0.00011762508581696443,-7.757031110139648e-05,-6.308247166565177e-05
129.0,REAL TIME WITH BILL MAHER S23,2025-01-01,other,Bronze,future,0.0,0.0,0.0,0.0,0.0
130.0,THE LAST OF US S2,2025-04-01,drama,Platinum,future,-0.02392354955320777,-0.010220761172660678,-0.005264453234616155,-0.0034717532603834385,-0.0028233324524378463
131.0,LAST WEEK TONIGHT WITH JOHN OLIVER S12,2025-02-01,other,Silver,future,-0.004384434373154915,-0.001873144137978136,-0.0009648087407089119,-0.0006362632056787246,-0.0005174280607391084
132.0,A KNIGHT OF THE SEVEN KINGDOMS S2 / TBD,2026-11-01,drama,Gold,future,-0.0037508651481075973,-0.0016024669242497049,-0.0008253898159069956,-0.0005443204938397239,-0.00044265752763056543
133.0,TBD '25A FILM HBO,2025-05-01,drama,Silver,future,-0.0015705903652376456,-0.00023750448804255953,-0.00014567969615672432,-0.00013935467797963726,-0.00013891900201327926
