,,Title (if known),Premiere Date,Year,Tier,Category,Region,Our Market,Scenario Reach,Incl. in Scenario,Season,Series / Movie,M1 Date,M2 Date,M3 Date,M4 Date,M5 Date,U.S. Content Strategy Assumption Hours / Sub,M1-M3 Retention,M1,M2,M3,M4,M5,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,total,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446. Bronze: Kids - Animated Series,,SCOOBY DOO AND THE MYSTERY PUPS -S1A,10/1/24,2024,Gold,Kids - Animated Series,NA,U.S.,Include,Include,New,series,10/1/24,11/1/24,12/1/24,1/1/25,2/1/25,N/A,-0.20%,-0.10%,0.00%,0.00%,0.00%,0.00%,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,-0.10%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,-,-,-,0.00%,-0.20%,0.00%,0.00%,0.00%,-0.20%,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447. Bronze: Kids - Animated Series,,SCOOBY DOO AND THE MYSTERY PUPS -S1B,9/1/23,2023,Gold,Kids - Animated Series,NA,U.S.,Include,Include,New,series,9/1/23,10/1/23,11/1/23,12/1/23,1/1/24,N/A,-0.20%,-0.10%,0.00%,0.00%,0.00%,0.00%,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,-0.10%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,-,-,-,-0.20%,0.00%,0.00%,0.00%,0.00%,-0.20%,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448. Silver: Kids - Scripted Series,,TBD SESAME SPECIAL '23 #1,8/1/24,2024,Silver,Kids - Scripted Series,NA,U.S.,Include,Include,New,series,8/1/24,9/1/24,10/1/24,11/1/24,12/1/24,N/A,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,-,-,-,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449. Silver: Kids - Scripted Series,,TBD SESAME SPECIAL '23 #2,10/1/24,2024,Silver,Kids - Scripted Series,NA,U.S.,Include,Include,New,series,10/1/24,11/1/24,12/1/24,1/1/25,2/1/25,N/A,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,-,-,-,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
450. Silver: Kids - Scripted Series,,TBD SESAME SPECIAL '23 #3,12/1/24,2024,Silver,Kids - Scripted Series,NA,U.S.,Include,Include,New,series,12/1/24,1/1/25,2/1/25,3/1/25,4/1/25,N/A,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,-,-,-,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
451. Silver: Scripted Series - Animated Comedy,,HARLEY QUINN S3B A VERY PROBLEMATIC VALENTINE'S DAY SPECIAL,2/1/23,2023,Gold,Scripted Series - Animated Comedy,NA,U.S.,Include,Include,New,series,2/1/23,3/1/23,4/1/23,5/1/23,6/1/23,N/A,-0.10%,0.00%,0.00%,0.00%,0.00%,0.00%,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,-,-,-,-0.10%,0.00%,0.00%,0.00%,0.00%,-0.10%,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
452. Silver: Scripted Series - Animated Comedy,,CREATURE COMMANDOS S1,10/1/24,2024,Silver,Scripted Series - Animated Comedy,NA,U.S.,Include,Include,New,series,10/1/24,11/1/24,12/1/24,1/1/25,2/1/25,N/A,-0.40%,-0.20%,-0.10%,-0.10%,0.00%,0.00%,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,-0.20%,-0.10%,-0.10%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,-,-,-,0.00%,-0.40%,-0.10%,0.00%,0.00%,-0.50%,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
453. Gold: Scripted Series - Animated Comedy,,TBD GAME OF THRONES ANIMATION S1,6/1/25,2025,Bronze,Scripted Series - Animated Comedy,NA,U.S.,Include,Include,New,series,6/1/25,7/1/25,8/1/25,9/1/25,10/1/25,N/A,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,-,-,-,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
454. Silver: Scripted Series - Animated Comedy,,VELMA S2B SPECIAL,1/1/24,2024,Silver,Scripted Series - Animated Comedy,NA,U.S.,Include,Include,Returning,series,1/1/24,2/1/24,3/1/24,4/1/24,5/1/24,N/A,-0.10%,0.00%,0.00%,0.00%,0.00%,0.00%,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,-,-,-,0.00%,-0.10%,0.00%,0.00%,0.00%,-0.10%,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
455. Silver: Scripted Series - Animated Comedy,,CREATURE COMMANDOS S2 / TBD,10/1/25,2025,Silver,Scripted Series - Animated Comedy,NA,U.S.,Include,Include,Returning,series,10/1/25,11/1/25,12/1/25,1/1/26,2/1/26,N/A,-0.40%,-0.20%,-0.10%,-0.10%,0.00%,0.00%,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,-0.20%,-0.10%,-0.10%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,-,-,-,0.00%,0.00%,-0.40%,-0.10%,0.00%,-0.50%,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
456. Silver: Scripted Series - Animated Comedy,,NOONAN'S S2 / TBD,4/1/25,2025,Silver,Scripted Series - Animated Comedy,NA,U.S.,Include,Include,Returning,series,4/1/25,5/1/25,6/1/25,7/1/25,8/1/25,N/A,-0.50%,-0.30%,-0.10%,-0.10%,0.00%,0.00%,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,-0.30%,-0.10%,-0.10%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,-,-,-,0.00%,0.00%,-0.60%,0.00%,0.00%,-0.60%,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
457. Silver: Scripted Series - Animated Comedy,,CREATURE COMMANDOS S3 / TBD,10/1/26,2026,Bronze,Scripted Series - Animated Comedy,NA,U.S.,Include,Include,Returning,series,10/1/26,11/1/26,12/1/26,1/1/27,2/1/27,N/A,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,-,-,-,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
458. Gold: Scripted Series - Live Action Drama,,DUSTER S1,8/1/24,2024,Gold,Scripted Series - Live Action Drama,NA,U.S.,Include,Include,New,series,8/1/24,9/1/24,10/1/24,11/1/24,12/1/24,N/A,-0.40%,-0.20%,-0.10%,0.00%,0.00%,0.00%,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,-0.20%,-0.10%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,-,-,-,0.00%,-0.40%,0.00%,0.00%,0.00%,-0.40%,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
411. Gold: Scripted Series - Live Action Comedy,,OUR FLAG MEANS DEATH S3 / TBD MULTICAM,9/1/24,2024,Platinum,Scripted Series - Live Action Comedy,NA,U.S.,Include,Include,Returning,series,9/1/24,10/1/24,11/1/24,12/1/24,1/1/25,N/A,-0.60%,-0.40%,-0.20%,-0.10%,-0.10%,0.00%,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,-0.40%,-0.20%,-0.10%,-0.10%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,-,-,-,0.00%,-0.70%,0.00%,0.00%,0.00%,-0.70%,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
460. Platinum: Scripted Series - Live Action Comedy,,TBD MULTICAM S2,8/1/25,2025,Platinum,Scripted Series - Live Action Comedy,NA,U.S.,Include,Include,Returning,series,8/1/25,9/1/25,10/1/25,11/1/25,12/1/25,N/A,-0.80%,-0.50%,-0.20%,-0.10%,-0.10%,-0.10%,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,-0.50%,-0.20%,-0.10%,-0.10%,-0.10%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,-,-,-,0.00%,0.00%,-0.90%,0.00%,0.00%,-0.90%,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
461. Platinum: Scripted Series - Live Action Comedy,,TBD MULTICAM S3,8/1/26,2026,Platinum,Scripted Series - Live Action Comedy,NA,U.S.,Include,Include,Returning,series,8/1/26,9/1/26,10/1/26,11/1/26,12/1/26,N/A,-0.80%,-0.50%,-0.20%,-0.10%,-0.10%,-0.10%,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,-0.50%,-0.20%,-0.10%,-0.10%,-0.10%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,-,-,-,0.00%,0.00%,0.00%,-0.90%,0.00%,-0.90%,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
462. Silver: Scripted Series - Live Action Comedy,,HOW TO BE A BOOKIE S2 / TBD,3/1/25,2025,Platinum,Scripted Series - Live Action Comedy,NA,U.S.,Include,Include,Returning,series,3/1/25,4/1/25,5/1/25,6/1/25,7/1/25,N/A,-0.60%,-0.40%,-0.20%,-0.10%,-0.10%,0.00%,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,-0.40%,-0.20%,-0.10%,-0.10%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,-,-,-,0.00%,0.00%,-0.70%,0.00%,0.00%,-0.70%,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
463. Bronze: Unscripted Series - Docufollow / Reality,,CONAN TRAVEL SERIES,10/1/23,2023,Platinum,Unscripted Series - Docufollow / Reality,NA,U.S.,Include,Include,New,series,10/1/23,11/1/23,12/1/23,1/1/24,2/1/24,N/A,-0.50%,-0.30%,-0.10%,-0.10%,0.00%,0.00%,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,-0.30%,-0.10%,-0.10%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,-,-,-,-0.50%,-0.10%,0.00%,0.00%,0.00%,-0.60%,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
464. Silver: Kids - Animated Series,,LOONEY TUNES SEASON -1_I,4/1/23,2023,Gold,Kids - Animated Series,NA,U.S.,Include,Include,New,series,4/1/23,5/1/23,6/1/23,7/1/23,8/1/23,N/A,-0.20%,-0.10%,0.00%,0.00%,0.00%,0.00%,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,-0.10%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,-,-,-,-0.20%,0.00%,0.00%,0.00%,0.00%,-0.20%,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
465. Bronze: Special / Stand-Up,,MARLON WAYANS: GOD LOVES ME,3/1/23,2023,Bronze,Special / Stand-Up,NA,U.S.,Include,Include,New,special,3/1/23,4/1/23,5/1/23,6/1/23,7/1/23,N/A,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,-,-,-,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
