,tier,prequel_featured_count,category_Docu-Series,category_Documentary Features,season_number,current_year_budget,prequel_count,category_International,category_Kids & Family,category_Pay1,category_Popcorn,category_Scripted Comedy Series,category_Scripted Drama Series,category_Scripted Features,category_Specials,category_Unscripted Series,match_id,title_name
0,0.2085757851600647,0.1385943442583084,0.00649467296898365,0.007403133902698755,0.010551052168011665,0.01504285354167223,0.1666063666343689,0.004945003427565098,0.008394699543714523,0.012941563501954079,0.3729996681213379,0.005242392886430025,0.007955175824463367,0.020469723269343376,0.011099927127361298,0.0026836118195205927,GV7xdwg1cosPDWwEAAABT-5,Insecure
0,0.045302439481019974,0.03387518972158432,0.0033895617816597223,0.0056578475050628185,0.003981807269155979,0.0061323922127485275,0.030741756781935692,0.002846177900210023,0.0021446149330586195,0.0077483272179961205,0.825373113155365,0.004984843544661999,0.010829931125044823,0.010629278607666492,0.004510794300585985,0.0018519075820222497,GVU2cCgUFTYNJjhsJATuH-8,Last Week Tonight with John Oliver
0,0.013608478009700775,0.009060155600309372,0.0016319922870025039,0.002011548262089491,0.0015836380189284682,0.003476212965324521,0.0046275919303298,0.0016205842839553952,0.0008338999468833208,0.003379252040758729,0.9436818361282349,0.0012664288515225053,0.0045211436226964,0.004088147077709436,0.003930977545678616,0.000678132229950279,GW79voAQfEsN5wwEAAADo-4,Axios
0,0.24867329001426697,0.11431489884853363,0.006551516242325306,0.0077551077120006084,0.014038166031241417,0.018530111759901047,0.17109991610050201,0.005936192348599434,0.009116105735301971,0.016176696866750717,0.3376936614513397,0.003979026339948177,0.007317137438803911,0.024939974769949913,0.010551247745752335,0.003326893551275134,GWukCJAq-nIuHwwEAAAB4-3,Succession
0,0.2450118362903595,0.04973476007580757,0.08171087503433228,0.03499698266386986,0.04786399006843567,0.055769722908735275,0.1244630441069603,0.02439696155488491,0.01882784813642502,0.03350206837058067,0.0,0.02903757616877556,0.1114606186747551,0.0660952553153038,0.05879795551300049,0.018330492079257965,GX0P9SwLUP4vDIQEAAAAe,Class Action Park
0,0.1860155165195465,0.06483764201402664,0.0880085676908493,0.03583484888076782,0.05376402288675308,0.06661895662546158,0.04913284629583359,0.024349451065063477,0.024957366287708282,0.04065566137433052,0.0,0.036208122968673706,0.12655925750732422,0.12112075835466385,0.06006266921758652,0.021874340251088142,GX0WFcAlf5r5cuAEAAADu-1,Raised by Wolves
0,0.2544138431549072,0.07888519018888474,0.10183639824390411,0.03582027181982994,0.041190505027770996,0.11479100584983826,0.026539810001850128,0.025342151522636414,0.026467198505997658,0.04001999646425247,0.0,0.032645534723997116,0.07979274541139603,0.052476491779088974,0.07161552459001541,0.01816333830356598,GX0_18wy2RrCttQEAAARx-1,Patria
0,0.18771997094154358,0.08221808075904846,0.07570770382881165,0.04181447997689247,0.035303834825754166,0.06783701479434967,0.06262262910604477,0.022306574508547783,0.021548660472035408,0.044341325759887695,0.0,0.018023617565631866,0.08257189393043518,0.18906699120998383,0.05284201353788376,0.01607520505785942,GX0aLWQmkpBTCwwEAAANI,Wild Card: The Downfall of a Radio Loudmouth
0,0.13576480746269226,0.12363418191671371,0.06663136929273605,0.04081721603870392,0.037558674812316895,0.053826093673706055,0.12153158336877823,0.017936334013938904,0.017639918252825737,0.04357728734612465,0.0,0.019659070298075676,0.0857417955994606,0.160213440656662,0.06049054116010666,0.01497763954102993,GX0aOXAiLMxTCwwEAAANL-1,The Undoing
0,0.2131272256374359,0.08269745111465454,0.07976096868515015,0.030420120805501938,0.03932756558060646,0.14004622399806976,0.05008673295378685,0.020956063643097878,0.02524048276245594,0.033629752695560455,0.0,0.02649974636733532,0.10407872498035431,0.06709553301334381,0.05673201382160187,0.03030136413872242,GX0gQ9AKAgr5cuAEAAAG_-2,The Great Pottery Throw Down
