,Type,Channel,Title,Year,Genre,Runtime,Bucket,MPM from Prior List,Tentpole,Additional Titles to Pull,PRODUCT ID,Product ID,Co-Fi?,Unnamed: 13,UPDATED PRODUCT ID,Different than Original?,imdb_id,MPM_NUMBER
175,Movie,Rom-Coms,You're a Big Boy Now,1967.0,COMEDY ,1.6,CLASSIC,not in prior list,No,,2001478.0,1000844.0,No,,,,,
176,Movie,Rom-Coms,Any Wednesday,1966.0,COMEDY ,1.81,CLASSIC,not in prior list,No,,2001464.0,1000831.0,No,,2001464.0,No,,
177,Movie,Rom-Coms,"Family Way, The",1966.0,COMEDY ,1.91,CLASSIC,not in prior list,No,,2001473.0,1000840.0,No,,,,,
178,Movie,Rom-Coms,"Glass Bottom Boat, The",1966.0,COMEDY ,1.83,CLASSIC,2009844,No,,2009844.0,1007734.0,No,,2009844.0,No,,
179,Movie,Rom-Coms,Made in Paris,1966.0,COMEDY ,1.68,CLASSIC,not in prior list,No,,2009827.0,1007717.0,No,,2009827.0,No,,
180,Movie,Comedy,"Hangover, The",2009.0,COMEDY ,1.66,A,not in prior list,Yes,,2047417.0,1028917.0,Yes,,2047417.0,No,tt1119646,2047417.0
181,Movie,Comedy,We're The Millers,2013.0,COMEDY ,1.82,A,not in prior list,Yes,,2054437.0,1032738.0,No,,2054437.0,No,tt1723121,2054437.0
182,Movie,Comedy,Horrible Bosses 2011,2011.0,COMEDY ,1.55,A,not in prior list,Yes,,2050818.0,1030888.0,No,,,,,
183,Movie,Comedy,Austin Powers: The Spy Who Shagged Me,1999.0,COMEDY ,1.58,A,not in prior list,Yes,,2017127.0,1013436.0,No,,,,,
184,Movie,Comedy,Friday,1995.0,COMEDY ,1.48,A,not in prior list,Yes,,2012700.0,1010269.0,No,,2012700.0,No,,
185,Movie,Comedy,Miss Congeniality,2000.0,COMEDY ,1.83,A,not in prior list,Yes,,2004597.0,1003688.0,Yes,,2004597.0,No,tt0212346,2004597.0
186,Movie,Comedy,Tammy,2014.0,COMEDY ,1.62,A,not in prior list,Yes,,2060911.0,1035405.0,No,,2060911.0,No,tt2103254,2060911.0
187,Movie,Comedy,"Mask, The (1994)",1994.0,COMEDY ,1.68,A,not in prior list,Yes,,2016956.0,1013270.0,No,,2016956.0,No,tt0110475,2016956.0
188,Movie,Comedy,Analyze This,1999.0,COMEDY ,1.77,B,not in prior list,Yes,,2003583.0,1002706.0,Yes,,2003583.0,No,tt0122933,2003583.0
189,Movie,Comedy,Cop Out,2010.0,COMEDY ,1.78,B,not in prior list,Yes,,2049086.0,1029786.0,No,,2049086.0,No,tt1385867,2049086.0
190,Movie,Comedy,Observe And Report,2009.0,COMEDY ,1.43,B,not in prior list,Yes,,2043643.0,1026905.0,No,,2043643.0,No,tt1197628,2043643.0
191,Movie,Comedy,"House, The",2017.0,COMEDY,1.46,B,not in prior list,Yes,,2027664.0,1021524.0,No,,,,,
192,Movie,Comedy,Central Intelligence,2016.0,COMEDY ,1.78,A,not in prior list,Yes,,2061711.0,1035543.0,Yes,,2061711.0,No,tt1489889,2061711.0
193,Movie,Comedy,Caddyshack,1980.0,COMEDY ,1.67,B,not in prior list,Yes,,2001961.0,1001311.0,Yes,,2001961.0,No,tt0080487,2001961.0
194,Movie,Comedy,Fist Fight,2017.0,COMEDY ,1.51,B,not in prior list,Yes,,2068424.0,1038423.0,Yes,,2068424.0,No,tt3401882,2068424.0
195,Movie,Comedy,War Dogs (2016),2016.0,COMEDY ,1.9,B,not in prior list,No,x,2058075.0,1034622.0,No,,2058075.0,No,tt2005151,2058075.0
196,Movie,Comedy,Our Brand Is Crisis,2015.0,COMEDY ,1.78,C,not in prior list,No,x,2046605.0,1028494.0,Yes,,2046605.0,No,tt1018765,2046605.0
197,Movie,Comedy,"Campaign, The",2012.0,COMEDY ,1.41,B,not in prior list,No,x,2056635.0,1033985.0,No,,2056635.0,No,tt1790886,2056635.0
198,Movie,Comedy,Arthur (2011),2011.0,COMEDY ,1.83,C,2051903,No,,2051903.0,1031375.0,No,,2051903.0,No,tt1334512,2051903.0
199,Movie,Comedy,"Invention Of Lying, The",2009.0,COMEDY,1.75,C,not in prior list,No,,2047946.0,1029180.0,No,,2047946.0,No,tt1058017,2047946.0
200,Movie,Comedy,"Kiss Kiss, Bang Bang",2005.0,COMEDY ,1.71,C,not in prior list,No,,2026982.0,1020902.0,No,,2026982.0,No,tt0373469,2026982.0
201,Movie,Comedy,Everything Is Illuminated,2005.0,COMEDY ,1.76,C,not in prior list,No,,2026954.0,1020874.0,No,,2026954.0,No,tt0404030,2026954.0
202,Movie,Comedy,Criminal,2004.0,COMEDY ,1.45,C,not in prior list,No,,2025612.0,1019782.0,Yes,,2025612.0,No,tt0362526,2025612.0
203,Movie,Comedy,Matchstick Men,2003.0,COMEDY ,1.93,C,not in prior list,No,,2024151.0,1018479.0,No,,2024151.0,No,tt0325805,2024151.0
204,Movie,Comedy,"In-Laws, The (2003)",2003.0,COMEDY,1.63,C,not in prior list,No,,2024139.0,1018467.0,No,,2024139.0,No,tt0314786,2024139.0
205,Movie,Comedy,About Schmidt,2002.0,COMEDY ,2.08,C,not in prior list,No,,2016904.0,1013226.0,No,,2016904.0,No,tt0257360,2016904.0
206,Movie,Comedy,Real Women Have Curves,2002.0,COMEDY ,1.5,C,not in prior list,No,,2025622.0,1019802.0,No,,2025622.0,No,tt0296166,2025622.0
207,Movie,Comedy,Eight Legged Freaks,2002.0,COMEDY ,1.65,C,2004680,No,,2004680.0,1003771.0,Yes,,2004680.0,No,tt0271367,2004680.0
208,Movie,Comedy,Hedwig and the Angry Inch,2001.0,COMEDY ,1.46,C,2016887,No,,2016887.0,1013209.0,No,,2016887.0,No,tt0248845,2016887.0
209,Movie,Comedy,Sugar and Spice,2001.0,COMEDY ,1.35,C,not in prior list,No,,2016845.0,1013170.0,No,,,,,
210,Movie,Comedy,Detroit Rock City,1999.0,COMEDY ,1.56,C,not in prior list,No,,2017130.0,1013439.0,No,,2017130.0,No,tt0165710,2017130.0
211,Movie,Comedy,Drop Dead Gorgeous,1999.0,COMEDY ,1.63,C,not in prior list,No,,2017128.0,1013437.0,No,,2017128.0,No,tt0157503,2017128.0
212,Movie,Comedy,Almost Heroes,1998.0,COMEDY ,1.53,C,not in prior list,No,,2016424.0,1012750.0,No,,,,,
213,Movie,Comedy,SubUrbia,1997.0,COMEDY ,2.01,C,not in prior list,No,,2015337.0,1011888.0,No,,2015337.0,No,,
214,Movie,Comedy,DRACULA: DEAD & LOVING IT,1995.0,COMEDY,1.5,C,not in prior list,No,,2015321.0,1011874.0,No,,2015321.0,No,,
215,Movie,Comedy,National Lampoon's Senior Trip,1995.0,COMEDY ,1.51,C,not in prior list,No,,2016994.0,1013304.0,No,,2016994.0,No,,
216,Movie,Comedy,"Hudsucker Proxy, The",1994.0,COMEDY ,1.91,C,not in prior list,No,,2003263.0,1002386.0,No,,2003263.0,No,tt0110074,2003263.0
217,Movie,Comedy,Hangin' With The Homeboys,1991.0,COMEDY ,1.46,C,not in prior list,No,,2016725.0,1013051.0,No,,2016725.0,No,,
218,Movie,Comedy,Nothing But Trouble,1991.0,COMEDY ,1.55,C,not in prior list,No,,2002488.0,1001826.0,No,,2002488.0,No,tt0102558,2002488.0
219,Movie,Comedy,Young Einstein,1989.0,COMEDY ,1.5,C,not in prior list,No,,2002326.0,1001667.0,No,,,,,
220,Movie,Comedy,One Crazy Summer,1986.0,COMEDY ,1.55,C,not in prior list,No,,2002198.0,1001543.0,No,,2002198.0,No,tt0091680,2002198.0
221,Movie,Comedy,Wise Guys (1986),1986.0,COMEDY ,1.51,C,not in prior list,No,,2012803.0,1010350.0,No,,2012803.0,No,,
222,Movie,Comedy,Spies Like Us,1985.0,COMEDY,1.71,C,not in prior list,No,,2002158.0,1001503.0,No,,2002158.0,No,tt0090056,2002158.0
223,Movie,Comedy,"OH GOD, YOU DEVIL",1984.0,COMEDY ,1.6,C,not in prior list,No,,2002114.0,1001459.0,No,,2002114.0,No,,
224,Movie,Comedy,Strange Brew,1983.0,COMEDY ,1.5,C,2012132,No,,2012132.0,1009785.0,No,,2012132.0,No,,
225,Movie,Comedy,"Man With Two Brains, The",1983.0,COMEDY ,1.5,C,not in prior list,No,,2002067.0,1001413.0,No,,2002067.0,No,tt0085894,2002067.0
226,Movie,Comedy,Smorgasbord,1983.0,COMEDY,1.51,CLASSIC,not in prior list,No,,2002069.0,1001415.0,No,,2002069.0,No,,
227,Movie,Comedy,Creepshow,1982.0,COMEDY ,2.01,C,not in prior list,No,,2002045.0,1001393.0,No,,2002045.0,No,tt0083767,2002045.0
228,Movie,Comedy,"World According to Garp, The",1982.0,COMEDY ,2.28,CLASSIC,2002032,No,,2002032.0,1001380.0,No,,2002032.0,No,tt0084917,2002032.0
