,Type,Channel,Title,Year,Genre,Runtime,Bucket,MPM from Prior List,Tentpole,Additional Titles to Pull,PRODUCT ID,Product ID,Co-Fi?,Unnamed: 13,UPDATED PRODUCT ID,Different than Original?,imdb_id,MPM_NUMBER
93,Movie,Rom-Coms,"CRAZY, STUPID, LOVE 2011",2011.0,COMEDY ,1.83,A,not in prior list,Yes,,2053676.0,1032338.0,No,,,,,
94,Movie,Rom-Coms,"Wedding Singer, The",1998.0,COMEDY ,1.6,A,not in prior list,Yes,,2017099.0,1013408.0,No,,2017099.0,No,tt0120888,2017099.0
95,Movie,Rom-Coms,He's Just Not That Into You,2009.0,COMEDY ,2.12,B,not in prior list,Yes,,2047069.0,1028735.0,No,,2047069.0,No,tt1001508,2047069.0
96,Movie,Rom-Coms,Ghosts Of Girlfriends Past,2009.0,COMEDY ,1.68,B,not in prior list,Yes,,2046422.0,1028328.0,No,,2046422.0,No,tt0821640,2046422.0
97,Movie,Rom-Coms,Life As We Know It,2010.0,COMEDY ,1.92,B,not in prior list,Yes,,2051950.0,1031408.0,No,,2051950.0,No,tt1055292,2051950.0
98,Movie,Rom-Coms,Two Weeks Notice,2002.0,COMEDY ,1.7,A,not in prior list,Yes,,2004700.0,1003791.0,Yes,,2004700.0,No,tt0313737,2004700.0
99,Movie,Rom-Coms,You've Got Mail,1998.0,COMEDY ,1.98,A,not in prior list,Yes,,2003667.0,1002790.0,No,,2003667.0,No,tt0128853,2003667.0
100,Movie,Rom-Coms,Just Friends,2005.0,COMEDY ,1.57,A,not in prior list,Yes,,2021432.0,1016422.0,No,,2040158.0,Yes,tt0433400,2040158.0
101,Movie,Rom-Coms,Love Don't Cost a Thing,2003.0,COMEDY ,1.75,B,not in prior list,Yes,,2024772.0,1018942.0,No,,2024772.0,No,tt0337592,2024772.0
102,Movie,Rom-Coms,How To Be Single,2016.0,COMEDY ,1.83,A,not in prior list,Yes,,2051603.0,1031226.0,Yes,,2051603.0,No,tt1292566,2051603.0
103,Movie,Rom-Coms,Blended,2014.0,COMEDY ,1.95,A,not in prior list,Yes,,2046990.0,1028676.0,No,,2046990.0,No,tt1086772,2046990.0
104,Movie,Rom-Coms,Something Borrowed 2011,2011.0,COMEDY ,1.88,B,not in prior list,Yes,,2054357.0,1032677.0,No,,,,,
105,Movie,Rom-Coms,Flipped,2010.0,COMEDY ,1.5,C,not in prior list,No,x,2051018.0,1030870.0,No,,2051018.0,No,tt0817177,2051018.0
106,Movie,Rom-Coms,Chaos Theory,2008.0,COMEDY ,1.46,C,not in prior list,No,x,2037673.0,1024982.0,Yes,,2037673.0,No,tt0460745,2037673.0
107,Movie,Rom-Coms,Over Her Dead Body,2008.0,COMEDY ,1.58,C,not in prior list,No,x,2047462.0,1028961.0,No,,,,,
108,Movie,Rom-Coms,In the Land of Women,2007.0,COMEDY ,1.65,C,not in prior list,No,x,2031210.0,1023534.0,No,,,,,
109,Movie,Rom-Coms,Full Of It,2007.0,COMEDY ,1.55,C,not in prior list,No,x,2044439.0,1027292.0,No,,2044439.0,No,tt0446752,2044439.0
110,Movie,Rom-Coms,"Upside Of Anger, The",2005.0,COMEDY ,1.93,C,not in prior list,No,x,2034207.0,1023815.0,No,,2034207.0,No,tt0365885,2034207.0
111,Movie,Rom-Coms,Laws Of Attraction,2004.0,COMEDY ,1.45,C,not in prior list,No,x,2026834.0,1020764.0,No,,2026834.0,No,tt0323033,2026834.0
112,Movie,Rom-Coms,Chasing Liberty,2004.0,COMEDY ,1.85,C,not in prior list,No,x,2026972.0,1020892.0,No,,2026972.0,No,tt0360139,2026972.0
113,Movie,Rom-Coms,How To Deal,2003.0,COMEDY ,1.68,C,not in prior list,No,x,2024499.0,1018680.0,No,,2024499.0,No,tt0319524,2024499.0
114,Movie,Rom-Coms,Alex & Emma,2003.0,COMEDY ,1.66,C,not in prior list,No,x,2024154.0,1018482.0,No,,2024154.0,No,tt0318283,2024154.0
115,Movie,Rom-Coms,Human Nature,2002.0,COMEDY ,1.6,C,not in prior list,No,x,2016888.0,1013210.0,No,,,,,
116,Movie,Rom-Coms,Storytelling,2002.0,COMEDY ,1.45,C,not in prior list,No,,2016893.0,1013215.0,No,,,,,
117,Movie,Rom-Coms,Town & Country,2001.0,COMEDY ,1.76,C,not in prior list,No,,2017123.0,1013432.0,No,,2017123.0,No,,
118,Movie,Rom-Coms,"Bachelor, The (1999)",1999.0,COMEDY ,1.7,C,not in prior list,No,,2017132.0,1013441.0,No,,2017132.0,No,tt0120596,2017132.0
119,Movie,Rom-Coms,Man Of The Century,1999.0,COMEDY ,1.3,C,not in prior list,No,,2017159.0,1013468.0,No,,2017159.0,No,,
120,Movie,Rom-Coms,Three to Tango,1999.0,COMEDY ,1.63,C,not in prior list,No,,2003706.0,1002829.0,Yes,,2003706.0,No,tt0144640,2003706.0
121,Movie,Rom-Coms,Lost And Found,1999.0,COMEDY ,1.66,C,not in prior list,No,,2003720.0,1002843.0,No,,2003720.0,No,,
122,Movie,Rom-Coms,Theory Of Flight,1998.0,COMEDY ,1.63,C,not in prior list,No,,2017112.0,1013421.0,No,,2017112.0,No,,
123,Movie,Rom-Coms,Home Fries,1998.0,COMEDY ,1.53,C,not in prior list,No,,2003568.0,1002691.0,No,,2003568.0,No,tt0119304,2003568.0
124,Movie,Rom-Coms,Living Out Loud,1998.0,COMEDY ,1.66,C,not in prior list,No,,2017110.0,1013419.0,No,,2017110.0,No,tt0120722,2017110.0
