,Title,imdb_id,PRODUCT ID,page_views
0,"""10""",tt0078721,2001931.0,48202.568024400316
1,15 Minutes,tt0179626,2017124.0,2464.132707123241
2,300 (2007),tt0416449,2035604.0,62243.02533599048
3,36 Hours,tt0057809,2009741.0,1558.8735266240556
4,42 (2013),tt0453562,2062442.0,40585.01399859042
5,8 Seconds,tt0109021,2016661.0,6767.921598172405
6,About Schmidt,tt0257360,2016904.0,8398.97745886699
7,"Accidental Tourist, The",tt0094606,2002321.0,6781.82828638783
8,"Accountant, The",tt2140479,2063725.0,40348.60029892823
9,"Accursed, The",tt0051105,2000793.0,84.10235254089
10,Across the Pacific,tt0034428,2000018.0,843.6724184023135
11,"Adventures Of Pinocchio, The",tt0115472,2017041.0,4007.1128757868137
12,Adventures of Tartu,tt0035612,2007779.0,275.4848713150411
13,Air Force,tt0035616,2000128.0,1054.2594113787152
14,Alaska,tt0115493,2015329.0,2875.373344350742
15,Alex & Emma,tt0318283,2024154.0,1364.1798916081368
16,Alfred the Great,tt0064000,2010466.0,1385.3710355554472
17,Alibi Ike,tt0026055,2000141.0,245.02260189078186
18,Alice Doesn't Live Here Anymore,tt0071115,2001735.0,11822.009429606047
19,"All American Boy, The",tt0069689,2001653.0,359.5872238559312
20,All the Marbles,tt0081964,2011951.0,845.659088147374
21,"Alphabet Murders, The",tt0060094,2009814.0,1347.6243103992997
22,American Anthem,tt0090631,2002390.0,1436.3622256786643
23,American Flyers,tt0088707,2002151.0,2664.78635137434
24,American Kickboxer,tt0101325,2002624.0,274.1604248183342
25,"American President, The",tt0112346,2015319.0,10822.71454784067
26,American Sniper,tt2179136,2062723.0,39373.14545410358
27,American Wrestler: The Wizard (2016),tt4303202,2077725.0,1976.736396335091
28,"American in Paris, An",tt0043278,2008299.0,12043.854217804455
29,Analyze This,tt0122933,2003583.0,11331.302002576127
30,Andy Hardy Comes Home,tt0051360,2006827.0,370.8450190779401
31,Angel Baby,tt0054628,2000737.0,460.24515760565777
32,Angel Face,tt0044357,2000159.0,7167.242216929544
33,Angels in the Outfield,tt0043286,2008282.0,2074.0832138430505
34,"Angry Hills, The",tt0052563,2009111.0,326.47606143825794
35,"Ant Bully, The",tt0429589,2025709.0,9094.97409288648
36,Any Given Sunday,tt0146838,2003713.0,15245.041400345106
37,Any Wednesday,tt0060112,2001464.0,527.7919289377111
38,Appaloosa,tt0800308,2047827.0,8781.080273166937
39,April in Paris,tt0044370,2000407.0,576.7964493158676
40,Arena,tt0045515,2008414.0,127.80908693221862
41,Arthur,tt0082031,2001997.0,23457.271903176406
42,Arthur (2011),tt1334512,2051903.0,4361.402313655916
43,"Astronaut Farmer, The",tt0469263,2039618.0,3542.894378691034
44,Avalanche Express,tt0078812,2011347.0,1902.567392519503
45,"BIG LEAGUER, THE",tt0045556,2008423.0,209.9247697280482
46,"Bachelor, The (1999)",tt0120596,2017132.0,2399.897052032956
47,Badman's Country,tt0051394,2000602.0,92.71125476948501
48,"Band Plays On, The",tt0024862,2007285.0,36.422278659440536
