,request_date,total_viewing_accounts
214,2020-12-27,5892322
215,2020-12-28,5284243
216,2020-12-29,5086611
217,2020-12-30,4921845
218,2020-12-31,4883902
219,2021-01-01,4973475
220,2021-01-02,5215634
221,2021-01-03,5376126
222,2021-01-04,4792294
223,2021-01-05,4564731
224,2021-01-06,4349710
225,2021-01-07,4157200
226,2021-01-08,4410211
227,2021-01-09,4816762
228,2021-01-10,5048417
229,2021-01-11,4694045
230,2021-01-12,4468111
231,2021-01-13,4544082
232,2021-01-14,4481297
233,2021-01-15,4573565
234,2021-01-16,5024387
235,2021-01-17,5034776
236,2021-01-18,5120756
237,2021-01-19,4723404
238,2021-01-20,4500404
239,2021-01-21,4443696
240,2021-01-22,4552117
241,2021-01-23,5290198
242,2021-01-24,5351369
243,2021-01-25,4821735
244,2021-01-26,4679667
245,2021-01-27,4586887
246,2021-01-28,4511459
247,2021-01-29,4807490
248,2021-01-30,6198768
249,2021-01-31,6362237
250,2021-02-01,5493635
251,2021-02-02,5005005
252,2021-02-03,4810353
253,2021-02-04,4730940
254,2021-02-05,4745083
255,2021-02-06,5394739
256,2021-02-07,5468251
257,2021-02-08,4300497
258,2021-02-09,4598584
259,2021-02-10,4483559
260,2021-02-11,4468529
261,2021-02-12,4622680
262,2021-02-13,5458105
263,2021-02-14,5826813
264,2021-02-15,5636656
265,2021-02-16,4979150
266,2021-02-17,4664335
267,2021-02-18,4684978
268,2021-02-19,4723001
269,2021-02-20,5066652
270,2021-02-21,5335710
271,2021-02-22,5019823
272,2021-02-23,4649856
273,2021-02-24,4489747
274,2021-02-25,4418446
275,2021-02-26,4726314
276,2021-02-27,5899413
277,2021-02-28,6104903
278,2021-03-01,5403460
279,2021-03-02,5062362
280,2021-03-03,4794404
281,2021-03-04,4677751
282,2021-03-05,4615980
283,2021-03-06,5086051
284,2021-03-07,5341300
285,2021-03-08,4936199
286,2021-03-09,4734759
287,2021-03-10,4618893
288,2021-03-11,4537713
289,2021-03-12,4661893
290,2021-03-13,5160852
291,2021-03-14,5450010
292,2021-03-15,5215139
293,2021-03-16,4842807
294,2021-03-17,4693309
295,2021-03-18,5737671
296,2021-03-19,6228036
297,2021-03-20,6482682
298,2021-03-21,6582177
299,2021-03-22,5965441
300,2021-03-23,5588728
301,2021-03-24,5476862
302,2021-03-25,5385599
303,2021-03-26,5326463
304,2021-03-27,5768970
305,2021-03-28,6230286
306,2021-03-29,5564219
307,2021-03-30,5359534
308,2021-03-31,7023633
309,2021-04-01,7875773
310,2021-04-02,7430433
311,2021-04-03,7602757
312,2021-04-04,7623218
313,2021-04-05,7096770
314,2021-04-06,6407261
315,2021-04-07,6251119
316,2021-04-08,6092335
317,2021-04-09,5988726
318,2021-04-10,6614714
319,2021-04-11,7145112
320,2021-04-12,6744415
321,2021-04-13,6211229
322,2021-04-14,6086868
323,2021-04-15,6076953
324,2021-04-16,6122928
325,2021-04-17,6685627
326,2021-04-18,6937011
327,2021-04-19,6745513
328,2021-04-20,6249194
329,2021-04-21,6274305
330,2021-04-22,6150997
331,2021-04-23,7685989
332,2021-04-24,9638797
333,2021-04-25,9088415
334,2021-04-26,8016285
335,2021-04-27,7175869
336,2021-04-28,6802379
337,2021-04-29,6521158
338,2021-04-30,6250754
339,2021-05-01,6792833
340,2021-05-02,7355359
341,2021-05-03,7245060
342,2021-05-04,6678327
343,2021-05-05,6267153
344,2021-05-06,6052968
345,2021-05-07,6120140
346,2021-05-08,6588886
347,2021-05-09,6908581
348,2021-05-10,6969150
349,2021-05-11,6509519
350,2021-05-12,6215100
351,2021-05-13,6117681
352,2021-05-14,6385327
353,2021-05-15,7189221
354,2021-05-16,7530719
355,2021-05-17,7366984
356,2021-05-18,6709300
357,2021-05-19,6358095
358,2021-05-20,6111543
359,2021-05-21,6180887
360,2021-05-22,6475449
361,2021-05-23,6824545
362,2021-05-24,6947738
363,2021-05-25,6222284
364,2021-05-26,6016241
365,2021-05-27,6825528
366,2021-05-28,7836729
367,2021-05-29,7646778
368,2021-05-30,7484249
369,2021-05-31,7956460
370,2021-06-01,7285489
371,2021-06-02,6786458
372,2021-06-03,6669807
373,2021-06-04,6939303
374,2021-06-05,7917147
375,2021-06-06,8222994
376,2021-06-07,7703761
