,title_id,title,home_territory_observed_medal,pillar_genres,imdb_id,theatrical_release_date,offering_start_date,days_from_theatrical2,pct_actives,days_from_max_launch,cumulative_viewing_subs,cumulative_first_views,area_gross,budget,genre_Action/Adventure ,genre_Comedy,genre_Drama,genre_Horror ,genre_Kids/Family,genre_Romance,genre_Sci-Fi,genre_Suspense/Thriller,medal_Bronze,medal_Gold,medal_Platinum,medal_Silver,medal_number,log_cumulative_first_views,platform
56,GYIHBbgg_NZ2TjQEAAADx,Kajillionaire,Bronze,Drama,tt8143990,2020-09-25,2021-06-01,249,0.021706,-128,589660,2482,215675.0,,0,0,1,0,0,0,0,0,1,0,0,0,3,11.277287400130357,1.0
57,GYf0z_wyIUiisRgEAAAAl,The Night House,Silver,Horror ,tt9731534,2021-07-16,2022-04-08,266,0.089133,-422,2626609,15068,2859409.0,,0,0,0,1,0,0,0,0,0,0,0,1,2,13.879200317947392,1.0
58,GXrRz_ApV_r7DwgEAAANN,Last Christmas,Bronze,Romance,tt8623904,2019-11-15,2020-07-12,187,0.031453,187,284190,13893,11441055.0,25000000.0,0,0,0,0,0,1,0,0,1,0,0,0,3,13.76207054242485,1.0
59,GYm0w6AY16rM7wgEAAADM,Blue Bayou,Bronze,Drama,tt11121664,2021-09-17,2022-06-24,257,0.019541,-485,581802,2387,329840.0,,0,0,1,0,0,0,0,0,1,0,0,0,3,11.220982851081777,1.0
60,GYOxtow3Wz8PDwgEAAAdw,The Suicide Squad,Platinum,Action/Adventure ,tt6334354,2021-08-05,2021-08-05,0,0.553013,-442,15244718,606075,26205415.0,185000000.0,1,0,0,0,0,0,0,0,0,0,1,0,0,19.209136808453426,1.0
61,GXtp1iAUbtcJHjQEAAAg3,Jojo Rabbit,Silver,Comedy,tt2584384,2019-10-18,2020-08-02,215,0.072122,215,712043,29846,349555.0,14000000.0,0,1,0,0,0,0,0,0,0,0,0,1,2,14.86524997211658,1.0
62,GYiDbSAmIpMNvYAEAAAAI,The Batman,Platinum,Action/Adventure ,tt1877830,2022-03-04,2022-04-18,45,0.489894,-653,14370490,442000,134008624.0,200000000.0,1,0,0,0,0,0,0,0,0,0,1,0,0,18.75368684405352,1.0
63,GYSaXpgVATMNHogEAAACz,Voyagers,Bronze,Sci-Fi,tt9664108,2021-04-09,2021-10-10,175,0.042678,-324,1245370,7007,1379988.0,,0,0,0,0,0,0,1,0,1,0,0,0,3,12.774581180893598,1.0
64,GYd9PZAt4esLDJwEAAAAK,Nightmare Alley,Silver,,tt7740496,2021-12-03,2022-02-01,60,0.104756,-562,3229178,14783,2811703.0,60000000.0,0,0,0,0,0,0,0,0,0,0,0,1,2,13.851651453223718,2.0
65,GXtqzpwFCbMPCwgEAAAaj,Richard Jewell,Bronze,Drama,tt3513548,2019-12-13,2020-08-09,159,0.037247,159,373567,13141,4705265.0,45000000.0,0,0,1,0,0,0,0,0,1,0,0,0,3,13.681787445175187,1.0
66,GYA79hQZbUsI3gQEAAAB0,The Little Things,Platinum,Drama,tt10016180,2021-01-29,2021-01-29,0,0.419559,-254,10191116,673112,4705527.0,30000000.0,0,0,1,0,0,0,0,0,0,0,1,0,0,19.360487051190567,1.0
67,GYnEqqwAqmj3DwwEAAAAD,The Card Counter,Silver,Action/Adventure ,tt11196036,2021-09-17,2022-06-10,257,0.083114,-485,2469568,8855,1039580.0,,1,0,0,0,0,0,0,0,0,0,0,1,2,13.112276591639276,1.0
68,GXtq0PQyT7MPCwgEAAAaq,Birds of Prey: Harley Quinn,Gold,Action/Adventure ,tt7713068,2020-02-07,2020-08-16,103,0.153001,103,1551286,80504,33010017.0,84500000.0,1,0,0,0,0,0,0,0,0,1,0,0,1,16.29677284770583,1.0
