Region,Country,Company,Business Line,Business model,Distribution/Technology,Digital/Analogue,Year,Quarter,Value
North America,USA,Amazon,Subscription OTT,Subscription,OTT,,2019,Q4,"2,494"
North America,USA,Amazon,Subscription OTT,Subscription,OTT,,2020,Q2,"2,255"
North America,USA,Amazon,Subscription OTT,Subscription,OTT,,2015,Q3,"2,174"
North America,USA,Amazon,Subscription OTT,Subscription,OTT,,2015,Q2,"2,158"
North America,USA,Amazon,Subscription OTT,Subscription,OTT,,2019,Q2,"2,097"
North America,USA,Amazon,Subscription OTT,Subscription,OTT,,2016,Q1,"2,079"
North America,USA,Amazon,Subscription OTT,Subscription,OTT,,2020,Q1,"2,013"
North America,USA,Amazon,Subscription OTT,Subscription,OTT,,2019,Q3,"1,818"
North America,USA,Amazon,Subscription OTT,Subscription,OTT,,2019,Q1,"1,480"
North America,USA,Amazon,Subscription OTT,Subscription,OTT,,2018,Q2,"1,415"
North America,USA,Amazon,Subscription OTT,Subscription,OTT,,2022,Q3,"1,345"
North America,USA,Amazon,Subscription OTT,Subscription,OTT,,2014,Q4,"1,291"
North America,USA,Amazon,Subscription OTT,Subscription,OTT,,2011,Q1,"1,287"
North America,USA,Amazon,Subscription OTT,Subscription,OTT,,2013,Q3,"1,243"
North America,USA,Amazon,Subscription OTT,Subscription,OTT,,2012,Q4,"1,219"
North America,USA,Amazon,Subscription OTT,Subscription,OTT,,2021,Q4,"1,212"
North America,USA,Amazon,Subscription OTT,Subscription,OTT,,2020,Q4,"1,139"
North America,USA,Amazon,Subscription OTT,Subscription,OTT,,2014,Q1,"1,008"
North America,USA,Amazon,Subscription OTT,Subscription,OTT,,2017,Q4,983
North America,USA,Amazon,Subscription OTT,Subscription,OTT,,2018,Q1,967
North America,USA,Amazon,Subscription OTT,Subscription,OTT,,2017,Q3,950
North America,USA,Amazon,Subscription OTT,Subscription,OTT,,2014,Q2,919
North America,USA,Amazon,Subscription OTT,Subscription,OTT,,2014,Q3,886
North America,USA,Amazon,Subscription OTT,Subscription,OTT,,2020,Q3,873
North America,USA,Amazon,Subscription OTT,Subscription,OTT,,2013,Q4,784
North America,USA,Amazon,Subscription OTT,Subscription,OTT,,2013,Q2,675
North America,USA,Amazon,Subscription OTT,Subscription,OTT,,2021,Q2,567
North America,USA,Amazon,Subscription OTT,Subscription,OTT,,2016,Q4,521
North America,USA,Amazon,Subscription OTT,Subscription,OTT,,2017,Q2,518
North America,USA,Amazon,Subscription OTT,Subscription,OTT,,2017,Q1,457
North America,USA,Amazon,Subscription OTT,Subscription,OTT,,2016,Q2,446
North America,USA,Amazon,Subscription OTT,Subscription,OTT,,2016,Q3,445
North America,USA,Amazon,Subscription OTT,Subscription,OTT,,2022,Q4,408
North America,USA,Amazon,Subscription OTT,Subscription,OTT,,2013,Q1,251
North America,USA,Amazon,Subscription OTT,Subscription,OTT,,2012,Q3,238
North America,USA,Amazon,Subscription OTT,Subscription,OTT,,2012,Q2,225
North America,USA,Amazon,Subscription OTT,Subscription,OTT,,2012,Q1,212
North America,USA,Amazon,Subscription OTT,Subscription,OTT,,2011,Q4,198
North America,USA,Amazon,Subscription OTT,Subscription,OTT,,2011,Q3,185
North America,USA,Amazon,Subscription OTT,Subscription,OTT,,2011,Q2,172
North America,USA,Amazon,Subscription OTT,Subscription,OTT,,2021,Q3,154
North America,USA,Amazon,Subscription OTT,Subscription,OTT,,2023,Q4,81
North America,USA,Amazon,Subscription OTT,Subscription,OTT,,2025,Q4,9
North America,USA,Amazon,Subscription OTT,Subscription,OTT,,2026,Q4,2
North America,USA,Amazon,Subscription OTT,Subscription,OTT,,2024,Q4,2
North America,USA,Amazon,Subscription OTT,Subscription,OTT,,2027,Q4,1
North America,USA,Amazon,Subscription OTT,Subscription,OTT,,2027,Q1,-1
North America,USA,Amazon,Subscription OTT,Subscription,OTT,,2026,Q1,-3
North America,USA,Amazon,Subscription OTT,Subscription,OTT,,2027,Q3,-4
North America,USA,Amazon,Subscription OTT,Subscription,OTT,,2027,Q2,-5
North America,USA,Amazon,Subscription OTT,Subscription,OTT,,2025,Q1,-11
North America,USA,Amazon,Subscription OTT,Subscription,OTT,,2026,Q3,-12
North America,USA,Amazon,Subscription OTT,Subscription,OTT,,2026,Q2,-16
North America,USA,Amazon,Subscription OTT,Subscription,OTT,,2024,Q1,-16
North America,USA,Amazon,Subscription OTT,Subscription,OTT,,2025,Q3,-32
North America,USA,Amazon,Subscription OTT,Subscription,OTT,,2022,Q1,-41
North America,USA,Amazon,Subscription OTT,Subscription,OTT,,2025,Q2,-43
North America,USA,Amazon,Subscription OTT,Subscription,OTT,,2023,Q1,-73
North America,USA,Amazon,Subscription OTT,Subscription,OTT,,2024,Q3,-75
North America,USA,Amazon,Subscription OTT,Subscription,OTT,,2024,Q2,-92
North America,USA,Amazon,Subscription OTT,Subscription,OTT,,2023,Q3,-152
North America,USA,Amazon,Subscription OTT,Subscription,OTT,,2023,Q2,-223
North America,USA,Amazon,Subscription OTT,Subscription,OTT,,2022,Q2,-244
North America,USA,Amazon,Subscription OTT,Subscription,OTT,,2028,Q1,"-56,523"
North America,USA,Apple TV+,Subscription OTT,Subscription,OTT,,2019,Q4,"7,775"
North America,USA,Apple TV+,Subscription OTT,Subscription,OTT,,2020,Q3,"3,917"
North America,USA,Apple TV+,Subscription OTT,Subscription,OTT,,2021,Q1,"3,360"
North America,USA,Apple TV+,Subscription OTT,Subscription,OTT,,2021,Q2,"3,317"
North America,USA,Apple TV+,Subscription OTT,Subscription,OTT,,2020,Q1,"3,063"
North America,USA,Apple TV+,Subscription OTT,Subscription,OTT,,2020,Q2,"3,024"
North America,USA,Apple TV+,Subscription OTT,Subscription,OTT,,2023,Q1,953
North America,USA,Apple TV+,Subscription OTT,Subscription,OTT,,2023,Q2,953
North America,USA,Apple TV+,Subscription OTT,Subscription,OTT,,2020,Q4,899
North America,USA,Apple TV+,Subscription OTT,Subscription,OTT,,2023,Q3,771
North America,USA,Apple TV+,Subscription OTT,Subscription,OTT,,2023,Q4,646
North America,USA,Apple TV+,Subscription OTT,Subscription,OTT,,2024,Q1,566
North America,USA,Apple TV+,Subscription OTT,Subscription,OTT,,2025,Q1,553
North America,USA,Apple TV+,Subscription OTT,Subscription,OTT,,2025,Q2,529
North America,USA,Apple TV+,Subscription OTT,Subscription,OTT,,2024,Q2,515
North America,USA,Apple TV+,Subscription OTT,Subscription,OTT,,2022,Q4,505
North America,USA,Apple TV+,Subscription OTT,Subscription,OTT,,2026,Q1,494
North America,USA,Apple TV+,Subscription OTT,Subscription,OTT,,2024,Q3,487
North America,USA,Apple TV+,Subscription OTT,Subscription,OTT,,2024,Q4,475
North America,USA,Apple TV+,Subscription OTT,Subscription,OTT,,2025,Q3,462
North America,USA,Apple TV+,Subscription OTT,Subscription,OTT,,2026,Q2,462
North America,USA,Apple TV+,Subscription OTT,Subscription,OTT,,2027,Q1,420
North America,USA,Apple TV+,Subscription OTT,Subscription,OTT,,2025,Q4,419
North America,USA,Apple TV+,Subscription OTT,Subscription,OTT,,2026,Q3,419
North America,USA,Apple TV+,Subscription OTT,Subscription,OTT,,2027,Q2,397
North America,USA,Apple TV+,Subscription OTT,Subscription,OTT,,2026,Q4,395
North America,USA,Apple TV+,Subscription OTT,Subscription,OTT,,2022,Q2,383
North America,USA,Apple TV+,Subscription OTT,Subscription,OTT,,2022,Q3,381
