Region,Country,Company,Business Line,Business model,Distribution/Technology,Digital/Analogue,Year,Quarter,Value
North America,USA,Acorn TV,Subscription OTT,Subscription,OTT,,2012,Q1,85
North America,USA,Acorn TV,Subscription OTT,Subscription,OTT,,2011,Q4,35
North America,USA,Acorn TV,Subscription OTT,Subscription,OTT,,2011,Q3,7
North America,USA,Amazon,Subscription OTT,Subscription,OTT,,2027,Q3,"1,951,577"
North America,USA,Amazon,Subscription OTT,Subscription,OTT,,2027,Q4,"1,946,643"
North America,USA,Amazon,Subscription OTT,Subscription,OTT,,2027,Q2,"1,942,114"
North America,USA,Amazon,Subscription OTT,Subscription,OTT,,2027,Q1,"1,931,609"
North America,USA,Amazon,Subscription OTT,Subscription,OTT,,2026,Q4,"1,921,566"
North America,USA,Amazon,Subscription OTT,Subscription,OTT,,2026,Q3,"1,913,021"
North America,USA,Amazon,Subscription OTT,Subscription,OTT,,2026,Q2,"1,904,213"
North America,USA,Amazon,Subscription OTT,Subscription,OTT,,2026,Q1,"1,893,921"
North America,USA,Amazon,Subscription OTT,Subscription,OTT,,2025,Q4,"1,883,818"
North America,USA,Amazon,Subscription OTT,Subscription,OTT,,2025,Q3,"1,876,575"
North America,USA,Amazon,Subscription OTT,Subscription,OTT,,2025,Q2,"1,868,894"
North America,USA,Amazon,Subscription OTT,Subscription,OTT,,2025,Q1,"1,858,728"
North America,USA,Amazon,Subscription OTT,Subscription,OTT,,2024,Q4,"1,848,040"
North America,USA,Amazon,Subscription OTT,Subscription,OTT,,2024,Q3,"1,842,791"
North America,USA,Amazon,Subscription OTT,Subscription,OTT,,2024,Q2,"1,837,301"
North America,USA,Amazon,Subscription OTT,Subscription,OTT,,2024,Q1,"1,826,208"
North America,USA,Amazon,Subscription OTT,Subscription,OTT,,2023,Q4,"1,811,944"
North America,USA,Amazon,Subscription OTT,Subscription,OTT,,2023,Q2,"1,807,705"
North America,USA,Amazon,Subscription OTT,Subscription,OTT,,2023,Q3,"1,806,750"
North America,USA,Amazon,Subscription OTT,Subscription,OTT,,2023,Q1,"1,793,368"
North America,USA,Amazon,Subscription OTT,Subscription,OTT,,2022,Q4,"1,753,170"
North America,USA,Amazon,Subscription OTT,Subscription,OTT,,2022,Q3,"1,684,386"
North America,USA,Amazon,Subscription OTT,Subscription,OTT,,2022,Q2,"1,624,860"
North America,USA,Amazon,Subscription OTT,Subscription,OTT,,2022,Q1,"1,591,877"
North America,USA,Amazon,Subscription OTT,Subscription,OTT,,2021,Q4,"1,544,320"
North America,USA,Amazon,Subscription OTT,Subscription,OTT,,2021,Q3,"1,510,610"
North America,USA,Amazon,Subscription OTT,Subscription,OTT,,2021,Q2,"1,494,553"
North America,USA,Amazon,Subscription OTT,Subscription,OTT,,2021,Q1,"1,444,129"
North America,USA,Amazon,Subscription OTT,Subscription,OTT,,2020,Q4,"1,385,809"
North America,USA,Amazon,Subscription OTT,Subscription,OTT,,2020,Q3,"1,358,003"
North America,USA,Amazon,Subscription OTT,Subscription,OTT,,2020,Q2,"1,314,765"
North America,USA,Amazon,Subscription OTT,Subscription,OTT,,2020,Q1,"1,255,775"
North America,USA,Amazon,Subscription OTT,Subscription,OTT,,2019,Q4,"1,193,482"
North America,USA,Amazon,Subscription OTT,Subscription,OTT,,2019,Q3,"1,133,877"
North America,USA,Amazon,Subscription OTT,Subscription,OTT,,2019,Q2,"1,079,766"
North America,USA,Amazon,Subscription OTT,Subscription,OTT,,2019,Q1,"1,030,293"
North America,USA,Amazon,Subscription OTT,Subscription,OTT,,2018,Q4,"961,149"
North America,USA,Amazon,Subscription OTT,Subscription,OTT,,2018,Q3,"867,880"
North America,USA,Amazon,Subscription OTT,Subscription,OTT,,2018,Q2,"759,831"
North America,USA,Amazon,Subscription OTT,Subscription,OTT,,2018,Q1,"672,349"
North America,USA,Amazon,Subscription OTT,Subscription,OTT,,2017,Q4,"581,002"
North America,USA,Amazon,Subscription OTT,Subscription,OTT,,2017,Q3,"533,951"
North America,USA,Amazon,Subscription OTT,Subscription,OTT,,2017,Q2,"506,136"
North America,USA,Amazon,Subscription OTT,Subscription,OTT,,2017,Q1,"496,355"
North America,USA,Amazon,Subscription OTT,Subscription,OTT,,2016,Q4,"488,497"
North America,USA,Amazon,Subscription OTT,Subscription,OTT,,2016,Q3,"481,663"
North America,USA,Amazon,Subscription OTT,Subscription,OTT,,2016,Q2,"470,255"
North America,USA,Amazon,Subscription OTT,Subscription,OTT,,2016,Q1,"442,573"
North America,USA,Amazon,Subscription OTT,Subscription,OTT,,2015,Q4,"392,473"
North America,USA,Amazon,Subscription OTT,Subscription,OTT,,2015,Q3,"339,846"
North America,USA,Amazon,Subscription OTT,Subscription,OTT,,2015,Q2,"296,582"
North America,USA,Amazon,Subscription OTT,Subscription,OTT,,2015,Q1,"242,627"
North America,USA,Amazon,Subscription OTT,Subscription,OTT,,2014,Q4,"197,064"
North America,USA,Amazon,Subscription OTT,Subscription,OTT,,2014,Q3,"173,473"
North America,USA,Amazon,Subscription OTT,Subscription,OTT,,2014,Q2,"153,119"
North America,USA,Amazon,Subscription OTT,Subscription,OTT,,2014,Q1,"135,728"
North America,USA,Amazon,Subscription OTT,Subscription,OTT,,2013,Q4,"118,821"
North America,USA,Amazon,Subscription OTT,Subscription,OTT,,2013,Q3,"99,690"
North America,USA,Amazon,Subscription OTT,Subscription,OTT,,2013,Q2,"82,420"
North America,USA,Amazon,Subscription OTT,Subscription,OTT,,2013,Q1,"74,349"
North America,USA,Amazon,Subscription OTT,Subscription,OTT,,2012,Q4,"60,822"
North America,USA,Amazon,Subscription OTT,Subscription,OTT,,2012,Q3,"46,649"
North America,USA,Amazon,Subscription OTT,Subscription,OTT,,2012,Q2,"42,591"
North America,USA,Amazon,Subscription OTT,Subscription,OTT,,2012,Q1,"37,902"
North America,USA,Amazon,Subscription OTT,Subscription,OTT,,2011,Q4,"33,722"
North America,USA,Amazon,Subscription OTT,Subscription,OTT,,2011,Q3,"28,985"
North America,USA,Amazon,Subscription OTT,Subscription,OTT,,2011,Q2,"25,652"
North America,USA,Amazon,Subscription OTT,Subscription,OTT,,2011,Q1,"12,022"
North America,USA,Apple TV+,Subscription OTT,Subscription,OTT,,2027,Q4,"429,475"
North America,USA,Apple TV+,Subscription OTT,Subscription,OTT,,2027,Q3,"423,822"
North America,USA,Apple TV+,Subscription OTT,Subscription,OTT,,2027,Q2,"414,494"
North America,USA,Apple TV+,Subscription OTT,Subscription,OTT,,2027,Q1,"404,481"
North America,USA,Apple TV+,Subscription OTT,Subscription,OTT,,2026,Q4,"394,548"
North America,USA,Apple TV+,Subscription OTT,Subscription,OTT,,2026,Q3,"384,817"
North America,USA,Apple TV+,Subscription OTT,Subscription,OTT,,2026,Q2,"374,633"
North America,USA,Apple TV+,Subscription OTT,Subscription,OTT,,2026,Q1,"363,683"
North America,USA,Apple TV+,Subscription OTT,Subscription,OTT,,2025,Q4,"353,195"
North America,USA,Apple TV+,Subscription OTT,Subscription,OTT,,2025,Q3,"343,217"
North America,USA,Apple TV+,Subscription OTT,Subscription,OTT,,2025,Q2,"332,468"
North America,USA,Apple TV+,Subscription OTT,Subscription,OTT,,2025,Q1,"320,634"
North America,USA,Apple TV+,Subscription OTT,Subscription,OTT,,2024,Q4,"309,455"
North America,USA,Apple TV+,Subscription OTT,Subscription,OTT,,2024,Q3,"299,033"
North America,USA,Apple TV+,Subscription OTT,Subscription,OTT,,2024,Q2,"288,653"
North America,USA,Apple TV+,Subscription OTT,Subscription,OTT,,2024,Q1,"277,530"
North America,USA,Apple TV+,Subscription OTT,Subscription,OTT,,2023,Q4,"264,936"
North America,USA,Apple TV+,Subscription OTT,Subscription,OTT,,2023,Q3,"247,800"
North America,USA,Apple TV+,Subscription OTT,Subscription,OTT,,2023,Q2,"227,961"
North America,USA,Apple TV+,Subscription OTT,Subscription,OTT,,2023,Q1,"206,966"
North America,USA,Apple TV+,Subscription OTT,Subscription,OTT,,2022,Q4,"190,184"
North America,USA,Apple TV+,Subscription OTT,Subscription,OTT,,2022,Q3,"134,054"
North America,USA,Apple TV+,Subscription OTT,Subscription,OTT,,2022,Q2,"119,022"
North America,USA,Apple TV+,Subscription OTT,Subscription,OTT,,2022,Q1,"106,030"
North America,USA,Apple TV+,Subscription OTT,Subscription,OTT,,2021,Q4,"102,425"
North America,USA,Apple TV+,Subscription OTT,Subscription,OTT,,2021,Q3,"96,274"
North America,USA,Apple TV+,Subscription OTT,Subscription,OTT,,2021,Q2,"16,777"
North America,USA,Apple TV+,Subscription OTT,Subscription,OTT,,2021,Q1,"14,413"
North America,USA,Apple TV+,Subscription OTT,Subscription,OTT,,2020,Q4,"12,906"
North America,USA,Apple TV+,Subscription OTT,Subscription,OTT,,2020,Q3,"11,201"
North America,USA,Apple TV+,Subscription OTT,Subscription,OTT,,2020,Q2,"8,744"
North America,USA,Apple TV+,Subscription OTT,Subscription,OTT,,2020,Q1,"6,589"
North America,USA,Apple TV+,Subscription OTT,Subscription,OTT,,2019,Q4,"2,752"
North America,USA,AT+T,Fixed-line Broadband,Subscription,DSL,,2010,Q3,"2,371,086"
North America,USA,AT+T,Fixed-line Broadband,Subscription,DSL,,2010,Q2,"2,356,277"
North America,USA,AT+T,Fixed-line Broadband,Subscription,DSL,,2010,Q1,"2,351,228"
North America,USA,AT+T,Fixed-line Broadband,Subscription,DSL,,2013,Q2,"2,335,013"
North America,USA,AT+T,Fixed-line Broadband,Subscription,DSL,,2013,Q1,"2,333,092"
North America,USA,AT+T,Fixed-line Broadband,Subscription,DSL,,2012,Q3,"2,331,098"
North America,USA,AT+T,Fixed-line Broadband,Subscription,DSL,,2009,Q4,"2,327,505"
North America,USA,AT+T,Fixed-line Broadband,Subscription,DSL,,2012,Q4,"2,326,418"
North America,USA,AT+T,Fixed-line Broadband,Subscription,DSL,,2012,Q2,"2,326,253"
North America,USA,AT+T,Fixed-line Broadband,Subscription,DSL,,2013,Q3,"2,325,636"
North America,USA,AT+T,Fixed-line Broadband,Subscription,DSL,,2014,Q1,"2,320,323"
North America,USA,AT+T,Fixed-line Broadband,Subscription,DSL,,2013,Q4,"2,319,729"
North America,USA,AT+T,Fixed-line Broadband,Subscription,DSL,,2014,Q2,"2,316,103"
North America,USA,AT+T,Fixed-line Broadband,Subscription,DSL,,2009,Q3,"2,310,476"
North America,USA,AT+T,Fixed-line Broadband,Subscription,DSL,,2014,Q3,"2,307,695"
North America,USA,AT+T,Fixed-line Broadband,Subscription,DSL,,2012,Q1,"2,303,829"
