Region,Country,Company,Business Line,Business model,Distribution/Technology,Digital/Analogue,Year,Quarter,Value
North America,USA,Acorn TV,Subscription OTT,Subscription,OTT,,2011,Q3,1
North America,USA,Amazon,Subscription OTT,Subscription,OTT,,2022,Q4,"57,187"
North America,USA,Amazon,Subscription OTT,Subscription,OTT,,2023,Q1,"57,114"
North America,USA,Amazon,Subscription OTT,Subscription,OTT,,2023,Q2,"56,891"
North America,USA,Amazon,Subscription OTT,Subscription,OTT,,2023,Q4,"56,820"
North America,USA,Amazon,Subscription OTT,Subscription,OTT,,2024,Q1,"56,805"
North America,USA,Amazon,Subscription OTT,Subscription,OTT,,2022,Q3,"56,779"
North America,USA,Amazon,Subscription OTT,Subscription,OTT,,2023,Q3,"56,739"
North America,USA,Amazon,Subscription OTT,Subscription,OTT,,2024,Q2,"56,712"
North America,USA,Amazon,Subscription OTT,Subscription,OTT,,2024,Q4,"56,639"
North America,USA,Amazon,Subscription OTT,Subscription,OTT,,2024,Q3,"56,638"
North America,USA,Amazon,Subscription OTT,Subscription,OTT,,2025,Q1,"56,628"
North America,USA,Amazon,Subscription OTT,Subscription,OTT,,2025,Q2,"56,585"
North America,USA,Amazon,Subscription OTT,Subscription,OTT,,2025,Q4,"56,562"
North America,USA,Amazon,Subscription OTT,Subscription,OTT,,2026,Q1,"56,558"
North America,USA,Amazon,Subscription OTT,Subscription,OTT,,2025,Q3,"56,553"
North America,USA,Amazon,Subscription OTT,Subscription,OTT,,2026,Q2,"56,543"
North America,USA,Amazon,Subscription OTT,Subscription,OTT,,2026,Q4,"56,532"
North America,USA,Amazon,Subscription OTT,Subscription,OTT,,2027,Q1,"56,531"
North America,USA,Amazon,Subscription OTT,Subscription,OTT,,2026,Q3,"56,531"
North America,USA,Amazon,Subscription OTT,Subscription,OTT,,2027,Q2,"56,526"
North America,USA,Amazon,Subscription OTT,Subscription,OTT,,2027,Q4,"56,523"
North America,USA,Amazon,Subscription OTT,Subscription,OTT,,2027,Q3,"56,522"
North America,USA,Amazon,Subscription OTT,Subscription,OTT,,2021,Q4,"55,720"
North America,USA,Amazon,Subscription OTT,Subscription,OTT,,2022,Q1,"55,679"
North America,USA,Amazon,Subscription OTT,Subscription,OTT,,2022,Q2,"55,435"
North America,USA,Amazon,Subscription OTT,Subscription,OTT,,2021,Q3,"54,507"
North America,USA,Amazon,Subscription OTT,Subscription,OTT,,2021,Q2,"54,353"
North America,USA,Amazon,Subscription OTT,Subscription,OTT,,2021,Q1,"53,786"
North America,USA,Amazon,Subscription OTT,Subscription,OTT,,2020,Q4,"50,705"
North America,USA,Amazon,Subscription OTT,Subscription,OTT,,2020,Q3,"49,566"
North America,USA,Amazon,Subscription OTT,Subscription,OTT,,2020,Q2,"48,693"
North America,USA,Amazon,Subscription OTT,Subscription,OTT,,2020,Q1,"46,438"
North America,USA,Amazon,Subscription OTT,Subscription,OTT,,2019,Q4,"44,425"
North America,USA,Amazon,Subscription OTT,Subscription,OTT,,2019,Q3,"41,930"
North America,USA,Amazon,Subscription OTT,Subscription,OTT,,2019,Q2,"40,112"
North America,USA,Amazon,Subscription OTT,Subscription,OTT,,2019,Q1,"38,015"
North America,USA,Amazon,Subscription OTT,Subscription,OTT,,2018,Q4,"36,535"
North America,USA,Amazon,Subscription OTT,Subscription,OTT,,2018,Q3,"33,012"
North America,USA,Amazon,Subscription OTT,Subscription,OTT,,2018,Q2,"29,796"
North America,USA,Amazon,Subscription OTT,Subscription,OTT,,2018,Q1,"28,381"
North America,USA,Amazon,Subscription OTT,Subscription,OTT,,2017,Q4,"27,414"
North America,USA,Amazon,Subscription OTT,Subscription,OTT,,2017,Q3,"26,431"
North America,USA,Amazon,Subscription OTT,Subscription,OTT,,2017,Q2,"25,480"
North America,USA,Amazon,Subscription OTT,Subscription,OTT,,2017,Q1,"24,962"
North America,USA,Amazon,Subscription OTT,Subscription,OTT,,2016,Q4,"24,505"
North America,USA,Amazon,Subscription OTT,Subscription,OTT,,2016,Q3,"23,984"
North America,USA,Amazon,Subscription OTT,Subscription,OTT,,2016,Q2,"23,539"
North America,USA,Amazon,Subscription OTT,Subscription,OTT,,2016,Q1,"23,093"
North America,USA,Amazon,Subscription OTT,Subscription,OTT,,2015,Q4,"21,015"
North America,USA,Amazon,Subscription OTT,Subscription,OTT,,2015,Q3,"18,100"
North America,USA,Amazon,Subscription OTT,Subscription,OTT,,2015,Q2,"15,926"
North America,USA,Amazon,Subscription OTT,Subscription,OTT,,2015,Q1,"13,768"
North America,USA,Amazon,Subscription OTT,Subscription,OTT,,2014,Q4,"10,792"
North America,USA,Amazon,Subscription OTT,Subscription,OTT,,2014,Q3,"9,502"
North America,USA,Amazon,Subscription OTT,Subscription,OTT,,2014,Q2,"8,615"
North America,USA,Amazon,Subscription OTT,Subscription,OTT,,2014,Q1,"7,697"
North America,USA,Amazon,Subscription OTT,Subscription,OTT,,2013,Q4,"6,689"
North America,USA,Amazon,Subscription OTT,Subscription,OTT,,2013,Q3,"5,905"
North America,USA,Amazon,Subscription OTT,Subscription,OTT,,2013,Q2,"4,661"
