Date,Service,Distributor,Sign-ups (Indexed),Subscribers (Indexed),Net Subscriber Adds (Indexed),Gross Subscriber Adds (Indexed),Cancels (Indexed),Sign-ups,Subscribers,Net Subscriber Adds,Gross Subscriber Adds,Cancels
2019-11-01,Apple TV+,All,2.10,0.74,0.74,0.74,,"892,778","315,770","315,770","315,770",
2019-12-01,Apple TV+,All,0.78,1.03,0.28,0.39,0.104,"330,183","436,132","120,361","164,637","44,275"
2020-01-01,Apple TV+,All,0.68,1.41,0.39,0.56,0.173,"287,725","600,899","164,767","238,256","73,489"
2020-02-01,Apple TV+,All,0.34,2.13,0.71,0.95,0.235,"145,161","904,074","303,176","402,893","99,717"
2020-03-01,Apple TV+,All,0.50,2.24,0.12,0.40,0.282,"214,106","954,193","50,118","169,960","119,842"
2020-04-01,Apple TV+,All,0.63,2.44,0.19,0.48,0.287,"269,158","1,035,472","81,280","203,199","121,920"
2020-05-01,Apple TV+,All,0.51,2.67,0.24,0.53,0.291,"215,404","1,136,228","100,756","224,233","123,478"
2020-06-01,Apple TV+,All,0.36,2.73,0.05,0.35,0.297,"152,302","1,159,599","23,371","149,705","126,334"
2020-07-01,Apple TV+,All,0.84,3.16,0.43,0.69,0.259,"355,112","1,341,245","181,646","291,750","110,104"
2020-08-01,Apple TV+,All,0.56,3.35,0.20,0.53,0.331,"237,996","1,425,511","84,266","225,142","140,876"
2020-09-01,Apple TV+,All,0.52,3.49,0.13,0.45,0.319,"219,689","1,482,251","56,740","192,163","135,423"
2020-10-01,Apple TV+,All,1.07,3.84,0.35,0.63,0.281,"455,608","1,631,177","148,926","268,249","119,323"
2020-11-01,Apple TV+,All,1.76,4.49,0.65,0.98,0.321,"747,747","1,909,294","278,117","414,578","136,462"
2020-12-01,Apple TV+,All,1.59,5.81,1.31,1.64,0.329,"677,634","2,467,475","558,181","698,149","139,967"
2021-01-01,Apple TV+,All,1.39,6.74,0.93,1.40,0.474,"589,732","2,862,967","395,492","597,133","201,641"
2021-02-01,Apple TV+,All,1.18,7.56,0.83,1.29,0.465,"499,883","3,213,924","350,957","548,703","197,746"
2021-03-01,Apple TV+,All,1.16,8.37,0.81,1.23,0.419,"492,093","3,558,000","344,075","522,345","178,270"
2021-04-01,Apple TV+,All,0.83,8.72,0.35,0.89,0.538,"354,203","3,706,796","148,796","377,314","228,518"
2021-05-01,Apple TV+,All,0.85,9.21,0.49,0.94,0.451,"359,267","3,915,838","209,042","400,556","191,514"
2021-06-01,Apple TV+,All,0.89,9.90,0.69,1.22,0.530,"379,392","4,208,887","293,048","518,320","225,272"
2021-07-01,Apple TV+,All,1.53,22.13,12.22,12.73,0.509,"651,536","9,404,555","5,195,669","5,411,852","216,183"
2021-08-01,Apple TV+,All,1.54,23.31,1.18,3.64,2.458,"654,652","9,905,737","501,182","1,546,132","1,044,951"
2021-09-01,Apple TV+,All,1.79,24.87,1.56,3.37,1.804,"762,939","10,570,906","665,169","1,432,003","766,834"
2021-10-01,Apple TV+,All,1.61,26.50,1.63,3.22,1.583,"684,126","11,265,289","694,383","1,367,343","672,960"
2021-11-01,Apple TV+,All,1.69,28.34,1.83,3.47,1.643,"720,091","12,043,809","778,519","1,476,928","698,408"
2021-12-01,Apple TV+,All,1.52,30.07,1.73,3.55,1.821,"647,251","12,778,832","735,023","1,508,868","773,845"
2022-01-01,Apple TV+,All,1.60,31.53,1.46,3.64,2.179,"679,062","13,401,024","622,192","1,548,210","926,017"
2022-02-01,Apple TV+,All,1.12,32.27,0.74,2.95,2.208,"477,291","13,717,314","316,290","1,254,772","938,482"
2022-03-01,Apple TV+,All,1.58,33.70,1.43,3.22,1.789,"672,700","14,324,964","607,650","1,367,992","760,342"
2022-04-01,Apple TV+,All,1.83,35.05,1.35,3.33,1.979,"778,260","14,897,428","572,464","1,413,436","840,972"
2022-05-01,Apple TV+,All,1.78,35.82,0.77,2.84,2.065,"757,485","15,225,143","327,716","1,205,562","877,847"
2022-06-01,Apple TV+,All,1.73,36.73,0.91,2.95,2.047,"736,971","15,610,638","385,494","1,255,421","869,927"
2022-07-01,Apple TV+,All,1.68,37.49,0.77,2.87,2.103,"713,210","15,936,146","325,508","1,219,196","893,687"
2022-08-01,Apple TV+,All,2.02,38.37,0.88,2.96,2.076,"856,813","16,309,695","373,549","1,256,070","882,521"
2022-09-01,Apple TV+,All,1.63,38.71,0.34,2.51,2.173,"691,267","16,453,038","143,343","1,067,153","923,810"
2022-10-01,Apple TV+,All,1.24,38.75,0.04,2.21,2.177,"525,072","16,469,138","16,100","941,338","925,238"
2022-11-01,Apple TV+,All,2.58,38.81,0.06,2.93,2.869,"1,094,809","16,495,885","26,747","1,246,202","1,219,455"
2022-12-01,Apple TV+,All,1.86,39.11,0.30,3.11,2.812,"789,556","16,624,037","128,152","1,323,197","1,195,045"
2023-01-01,Apple TV+,All,1.37,39.16,0.05,3.00,2.949,"583,500","16,644,292","20,255","1,273,598","1,253,343"
2023-02-01,Apple TV+,All,1.22,39.57,0.41,3.30,2.890,"520,528","16,819,056","174,764","1,403,308","1,228,544"
2023-03-01,Apple TV+,All,1.60,40.99,1.42,3.98,2.554,"680,880","17,423,720","604,664","1,690,125","1,085,461"
2019-11-01,Apple TV+,iTunes,2.10,0.74,0.74,0.74,0.000,"892,778","315,770","315,770","315,770",0
2019-12-01,Apple TV+,iTunes,0.78,1.03,0.28,0.39,0.104,"330,183","436,132","120,361","164,637","44,275"
2020-01-01,Apple TV+,iTunes,0.68,1.41,0.39,0.56,0.173,"287,725","600,899","164,767","238,256","73,489"
2020-02-01,Apple TV+,iTunes,0.34,2.13,0.71,0.95,0.235,"145,161","904,074","303,176","402,893","99,717"
2020-03-01,Apple TV+,iTunes,0.50,2.24,0.12,0.40,0.282,"214,106","954,193","50,118","169,960","119,842"
2020-04-01,Apple TV+,iTunes,0.63,2.44,0.19,0.48,0.287,"269,158","1,035,472","81,280","203,199","121,920"
2020-05-01,Apple TV+,iTunes,0.51,2.67,0.24,0.53,0.291,"215,404","1,136,228","100,756","224,233","123,478"
2020-06-01,Apple TV+,iTunes,0.36,2.73,0.05,0.35,0.297,"152,302","1,159,599","23,371","149,705","126,334"
2020-07-01,Apple TV+,iTunes,0.84,3.16,0.43,0.69,0.259,"355,112","1,341,245","181,646","291,750","110,104"
2020-08-01,Apple TV+,iTunes,0.56,3.35,0.20,0.53,0.331,"237,996","1,425,511","84,266","225,142","140,876"
2020-09-01,Apple TV+,iTunes,0.52,3.49,0.13,0.45,0.319,"219,689","1,482,251","56,740","192,163","135,423"
2020-10-01,Apple TV+,iTunes,1.07,3.84,0.35,0.63,0.281,"455,608","1,631,177","148,926","268,249","119,323"
2020-11-01,Apple TV+,iTunes,1.76,4.49,0.65,0.98,0.321,"747,747","1,909,294","278,117","414,578","136,462"
2020-12-01,Apple TV+,iTunes,1.59,5.81,1.31,1.64,0.329,"677,634","2,467,475","558,181","698,149","139,967"
2021-01-01,Apple TV+,iTunes,1.39,6.74,0.93,1.40,0.474,"589,732","2,862,967","395,492","597,133","201,641"
2021-02-01,Apple TV+,iTunes,1.18,7.56,0.83,1.29,0.465,"499,883","3,213,924","350,957","548,703","197,746"
2021-03-01,Apple TV+,iTunes,1.16,8.37,0.81,1.23,0.419,"492,093","3,558,000","344,075","522,345","178,270"
2021-04-01,Apple TV+,iTunes,0.83,8.72,0.35,0.89,0.538,"354,203","3,706,796","148,796","377,314","228,518"
2021-05-01,Apple TV+,iTunes,0.85,9.21,0.49,0.94,0.451,"359,267","3,915,838","209,042","400,556","191,514"
2021-06-01,Apple TV+,iTunes,0.89,9.90,0.69,1.22,0.530,"379,392","4,208,887","293,048","518,320","225,272"
2021-07-01,Apple TV+,iTunes,1.53,22.13,12.22,12.73,0.509,"651,536","9,404,555","5,195,669","5,411,852","216,183"
2021-08-01,Apple TV+,iTunes,1.54,23.31,1.18,3.64,2.458,"654,652","9,905,737","501,182","1,546,132","1,044,951"
2021-09-01,Apple TV+,iTunes,1.79,24.87,1.56,3.37,1.804,"762,939","10,570,906","665,169","1,432,003","766,834"
2021-10-01,Apple TV+,iTunes,1.61,26.50,1.63,3.22,1.583,"684,126","11,265,289","694,383","1,367,343","672,960"
2021-11-01,Apple TV+,iTunes,1.69,28.34,1.83,3.47,1.643,"720,091","12,043,809","778,519","1,476,928","698,408"
2021-12-01,Apple TV+,iTunes,1.52,30.07,1.73,3.55,1.821,"647,251","12,778,832","735,023","1,508,868","773,845"
2022-01-01,Apple TV+,iTunes,1.60,31.53,1.46,3.64,2.179,"679,062","13,401,024","622,192","1,548,210","926,017"
2022-02-01,Apple TV+,iTunes,1.12,32.27,0.74,2.95,2.208,"477,291","13,717,314","316,290","1,254,772","938,482"
2022-03-01,Apple TV+,iTunes,1.58,33.70,1.43,3.22,1.789,"672,700","14,324,964","607,650","1,367,992","760,342"
2022-04-01,Apple TV+,iTunes,1.83,35.05,1.35,3.33,1.979,"778,260","14,897,428","572,464","1,413,436","840,972"
2022-05-01,Apple TV+,iTunes,1.78,35.82,0.77,2.84,2.065,"757,485","15,225,143","327,716","1,205,562","877,847"
2022-06-01,Apple TV+,iTunes,1.73,36.73,0.91,2.95,2.047,"736,971","15,610,638","385,494","1,255,421","869,927"
2022-07-01,Apple TV+,iTunes,1.68,37.49,0.77,2.87,2.103,"713,210","15,936,146","325,508","1,219,196","893,687"
2022-08-01,Apple TV+,iTunes,2.02,38.37,0.88,2.96,2.076,"856,813","16,309,695","373,549","1,256,070","882,521"
2022-09-01,Apple TV+,iTunes,1.63,38.71,0.34,2.51,2.173,"691,267","16,453,038","143,343","1,067,153","923,810"
2022-10-01,Apple TV+,iTunes,1.24,38.75,0.04,2.21,2.177,"525,072","16,469,138","16,100","941,338","925,238"
2022-11-01,Apple TV+,iTunes,2.58,38.81,0.06,2.93,2.869,"1,094,809","16,495,885","26,747","1,246,202","1,219,455"
2022-12-01,Apple TV+,iTunes,1.86,39.11,0.30,3.11,2.812,"789,556","16,624,037","128,152","1,323,197","1,195,045"
2023-01-01,Apple TV+,iTunes,1.37,39.16,0.05,3.00,2.949,"583,500","16,644,292","20,255","1,273,598","1,253,343"
2023-02-01,Apple TV+,iTunes,1.22,39.57,0.41,3.30,2.890,"520,528","16,819,056","174,764","1,403,308","1,228,544"
2023-03-01,Apple TV+,iTunes,1.60,40.99,1.42,3.98,2.554,"680,880","17,423,720","604,664","1,690,125","1,085,461"
2019-01-01,DAZN,All,0.03,0.76,0.02,0.11,0.094,"11,826","302,914","7,620","45,353","37,733"
2019-02-01,DAZN,All,0.04,0.75,-0.01,0.03,0.038,"16,403","298,741","-4,173","11,017","15,190"
2019-03-01,DAZN,All,0.03,0.72,-0.03,0.04,0.071,"13,677","286,030","-12,711","15,678","28,389"
2019-04-01,DAZN,All,0.03,0.72,0.01,0.04,0.032,"12,714","288,053","2,022","14,722","12,700"
2019-05-01,DAZN,All,0.44,0.81,0.09,0.12,0.035,"177,506","322,685","34,633","48,735","14,102"
2019-06-01,DAZN,All,0.08,0.88,0.08,0.19,0.109,"33,581","353,204","30,519","74,203","43,684"
2019-07-01,DAZN,All,0.02,0.88,-0.01,0.06,0.073,"7,815","349,974","-3,230","25,887","29,117"
2019-08-01,DAZN,All,0.04,0.85,-0.02,0.03,0.050,"15,762","341,425","-8,549","11,358","19,907"
2019-09-01,DAZN,All,0.06,0.86,0.01,0.05,0.042,"24,771","344,745","3,320","20,086","16,766"
2019-10-01,DAZN,All,0.08,0.89,0.03,0.07,0.035,"30,068","357,517","12,773","26,815","14,043"
2019-11-01,DAZN,All,0.97,1.09,0.20,0.26,0.055,"387,889","437,612","80,095","102,176","22,081"
2019-12-01,DAZN,All,0.24,1.17,0.07,0.35,0.276,"95,301","466,734","29,122","139,252","110,130"
2020-01-01,DAZN,All,0.14,1.16,-0.01,0.13,0.139,"55,992","463,474","-3,260","52,351","55,611"
2020-02-01,DAZN,All,0.08,1.13,-0.03,0.08,0.108,"30,238","452,222","-11,252","31,825","43,077"
2020-03-01,DAZN,All,0.02,1.13,0.00,0.09,0.094,"6,472","451,294",-928,"36,554","37,482"
2020-04-01,DAZN,All,0.01,1.08,-0.05,0.03,0.082,"3,383","429,843","-21,450","11,460","32,910"
2020-05-01,DAZN,All,0.00,1.03,-0.05,0.03,0.082,855,"410,461","-19,382","13,588","32,970"
2020-06-01,DAZN,All,0.02,1.01,-0.02,0.03,0.046,"6,695","404,162","-6,300","11,920","18,219"
2020-07-01,DAZN,All,0.03,1.03,0.02,0.03,0.014,"10,013","412,582","8,420","13,982","5,562"
2020-08-01,DAZN,All,0.04,1.04,0.01,0.04,0.030,"15,498","415,327","2,746","14,629","11,884"
2020-09-01,DAZN,All,0.05,1.05,0.01,0.04,0.028,"20,816","418,344","3,017","14,373","11,356"
2020-10-01,DAZN,All,0.04,1.06,0.02,0.06,0.040,"14,633","425,655","7,311","23,244","15,933"
2020-11-01,DAZN,All,0.08,1.07,0.01,0.06,0.048,"31,206","429,642","3,986","23,118","19,131"
2020-12-01,DAZN,All,0.40,1.16,0.09,0.15,0.065,"158,691","464,056","34,414","60,418","26,004"
2021-01-01,DAZN,All,0.12,1.17,0.01,0.18,0.167,"48,352","468,395","4,339","70,967","66,628"
2021-02-01,DAZN,All,0.33,1.25,0.07,0.17,0.096,"132,407","497,684","29,289","67,743","38,454"
2021-03-01,DAZN,All,0.04,1.23,-0.01,0.14,0.155,"16,241","491,820","-5,864","55,921","61,785"
2021-04-01,DAZN,All,0.04,1.22,-0.01,0.06,0.078,"14,409","485,909","-5,911","25,380","31,291"
2021-05-01,DAZN,All,0.71,1.32,0.11,0.21,0.100,"282,295","527,912","42,003","81,960","39,957"
2021-06-01,DAZN,All,0.03,1.37,0.05,0.31,0.265,"13,677","546,564","18,652","124,523","105,871"
2021-07-01,DAZN,All,0.04,1.28,-0.09,0.09,0.175,"14,288","511,999","-34,565","35,523","70,088"
2021-08-01,DAZN,All,0.05,1.26,-0.02,0.07,0.092,"18,739","503,662","-8,337","28,565","36,901"
2021-09-01,DAZN,All,0.12,1.23,-0.03,0.07,0.097,"49,401","493,628","-10,034","28,669","38,704"
2021-10-01,DAZN,All,0.04,1.25,0.01,0.10,0.086,"17,551","499,337","5,710","40,136","34,427"
2021-11-01,DAZN,All,0.27,1.26,0.01,0.12,0.102,"106,537","504,600","5,263","46,153","40,890"
2021-12-01,DAZN,All,0.08,1.24,-0.03,0.14,0.168,"33,060","494,161","-10,440","56,530","66,970"
2022-01-01,DAZN,All,0.03,1.20,-0.04,0.08,0.111,"11,112","479,927","-14,234","30,020","44,254"
2022-02-01,DAZN,All,0.04,1.17,-0.03,0.06,0.086,"17,717","468,509","-11,418","22,898","34,316"
2022-03-01,DAZN,All,0.04,1.17,0.00,0.08,0.081,"15,895","467,820",-689,"31,602","32,291"
2022-04-01,DAZN,All,0.19,1.21,0.04,0.10,0.064,"74,694","483,103","15,283","40,702","25,419"
2022-05-01,DAZN,All,0.40,1.21,0.00,0.18,0.180,"159,593","485,015","1,912","73,918","72,006"
2022-06-01,DAZN,All,0.02,1.19,-0.03,0.24,0.264,"7,147","474,339","-10,676","94,918","105,594"
2022-07-01,DAZN,All,0.11,1.11,-0.08,0.12,0.197,"45,788","443,789","-30,550","48,283","78,834"
2022-08-01,DAZN,All,0.32,1.12,0.01,0.19,0.176,"126,762","447,935","4,146","74,677","70,531"
2022-09-01,DAZN,All,0.53,1.15,0.03,0.26,0.229,"211,850","459,825","11,890","103,537","91,647"
2022-10-01,DAZN,All,0.04,1.04,-0.11,0.27,0.378,"17,760","417,214","-42,612","108,597","151,209"
2022-11-01,DAZN,All,0.10,0.95,-0.09,0.09,0.182,"38,442","380,975","-36,239","36,617","72,856"
2022-12-01,DAZN,All,0.03,0.88,-0.08,0.09,0.163,"13,767","350,170","-30,805","34,426","65,231"
2023-01-01,DAZN,All,0.07,0.81,-0.06,0.07,0.133,"29,848","324,412","-25,758","27,569","53,327"
2023-02-01,DAZN,All,0.05,0.74,-0.07,0.08,0.154,"21,183","295,652","-28,760","32,886","61,645"
2023-03-01,DAZN,All,0.03,0.67,-0.07,0.08,0.152,"13,304","266,155","-29,497","31,291","60,787"
2019-01-01,DAZN,Amazon Fire TV,0.00,0.02,0.00,0.01,0.002,611,"8,059","1,710","2,320",611
2019-02-01,DAZN,Amazon Fire TV,0.00,0.02,0.00,0.00,0.002,977,"7,815",-244,611,855
2019-03-01,DAZN,Amazon Fire TV,0.00,0.02,0.00,,0.000,122,"7,693",-122,,0
2019-04-01,DAZN,Amazon Fire TV,0.00,0.02,0.00,0.00,0.001,488,"8,059",366,611,244
2019-05-01,DAZN,Amazon Fire TV,0.02,0.03,0.01,0.01,0.000,"8,426","13,677","5,617","5,739",122
2019-06-01,DAZN,Amazon Fire TV,0.00,0.03,0.00,0.00,0.004,"1,465","13,310",-366,"1,099","1,465"
2019-07-01,DAZN,Amazon Fire TV,0.00,0.03,0.00,0.00,0.001,244,"13,432",122,488,366
2019-08-01,DAZN,Amazon Fire TV,0.00,0.03,0.00,,0.000,122,"13,432",0,,0
2019-09-01,DAZN,Amazon Fire TV,0.00,0.03,0.00,0.00,0.001,244,"13,554",122,366,244
2019-10-01,DAZN,Amazon Fire TV,0.00,0.03,0.00,0.00,0.000,855,"13,677",122,244,122
2019-11-01,DAZN,Amazon Fire TV,0.02,0.05,0.01,0.01,0.001,"7,327","18,805","5,129","5,495",366
2019-12-01,DAZN,Amazon Fire TV,0.01,0.05,0.00,0.00,0.005,"3,419","18,561",-244,"1,587","1,832"
2020-01-01,DAZN,Amazon Fire TV,0.00,0.04,0.00,,0.002,488,"17,462","-1,099",,855
2020-02-01,DAZN,Amazon Fire TV,0.00,0.04,0.00,0.00,0.001,977,"17,706",244,488,244
2020-03-01,DAZN,Amazon Fire TV,,0.04,0.00,0.00,0.001,,"17,340",-366,122,488
2020-04-01,DAZN,Amazon Fire TV,,0.04,0.00,,0.002,,"16,485",-855,,855
2020-05-01,DAZN,Amazon Fire TV,,0.04,0.00,0.00,0.002,,"15,997",-488,122,611
2020-06-01,DAZN,Amazon Fire TV,,0.04,0.00,,0.001,,"15,508",-488,,366
2020-07-01,DAZN,Amazon Fire TV,0.00,0.04,0.00,,0.001,122,"15,264",-244,,244
2020-08-01,DAZN,Amazon Fire TV,0.00,0.04,0.00,0.00,0.001,366,"15,142",-122,366,488
2020-09-01,DAZN,Amazon Fire TV,0.00,0.04,0.00,0.00,0.001,122,"15,142",0,244,244
2020-10-01,DAZN,Amazon Fire TV,0.00,0.04,0.00,0.00,0.001,244,"15,020",-122,122,244
2020-11-01,DAZN,Amazon Fire TV,0.00,0.04,0.00,0.00,0.001,611,"14,898",-122,244,366
2020-12-01,DAZN,Amazon Fire TV,0.01,0.04,0.01,0.01,0.002,"3,908","17,218","2,320","2,931",611
2021-01-01,DAZN,Amazon Fire TV,0.00,0.04,0.00,0.00,0.004,855,"16,241",-977,733,"1,710"
2021-02-01,DAZN,Amazon Fire TV,0.01,0.04,0.00,0.00,0.001,"2,809","17,950","1,710","1,954",244
2021-03-01,DAZN,Amazon Fire TV,0.00,0.04,0.00,0.00,0.002,366,"17,462",-488,488,977
2021-04-01,DAZN,Amazon Fire TV,0.00,0.04,0.00,0.00,0.002,244,"16,974",-488,488,977
2021-05-01,DAZN,Amazon Fire TV,0.02,0.06,0.02,0.02,0.001,"8,914","23,568","6,594","6,960",366
2021-06-01,DAZN,Amazon Fire TV,0.00,0.05,0.00,0.00,0.009,244,"21,736","-1,832","1,587","3,419"
2021-07-01,DAZN,Amazon Fire TV,0.00,0.05,0.00,0.00,0.004,122,"20,393","-1,343",122,"1,465"
2021-08-01,DAZN,Amazon Fire TV,0.00,0.05,0.00,,0.002,244,"19,538",-855,,611
2021-09-01,DAZN,Amazon Fire TV,0.00,0.05,0.00,0.00,0.001,488,"19,904",366,855,488
2021-10-01,DAZN,Amazon Fire TV,0.00,0.05,0.00,0.00,0.001,488,"19,782",-122,244,366
2021-11-01,DAZN,Amazon Fire TV,0.01,0.05,0.00,0.00,0.002,"2,198","20,393",611,"1,221",611
2021-12-01,DAZN,Amazon Fire TV,0.00,0.05,0.00,0.00,0.004,611,"19,904",-488,"1,099","1,587"
2022-01-01,DAZN,Amazon Fire TV,0.00,0.05,0.00,0.00,0.002,122,"19,172",-733,244,977
2022-02-01,DAZN,Amazon Fire TV,,0.05,0.00,,0.001,,"18,805",-366,,366
2022-03-01,DAZN,Amazon Fire TV,0.00,0.05,0.00,0.00,0.002,122,"18,317",-488,122,611
2022-04-01,DAZN,Amazon Fire TV,0.01,0.05,0.00,0.00,0.000,"2,198","19,904","1,587","1,710",122
2022-05-01,DAZN,Amazon Fire TV,0.01,0.06,0.01,0.01,0.004,"5,739","22,346","2,442","3,908","1,465"
2022-06-01,DAZN,Amazon Fire TV,0.00,0.05,-0.01,0.00,0.011,122,"19,049","-3,297",977,"4,274"
2022-07-01,DAZN,Amazon Fire TV,0.00,0.05,0.00,0.00,0.002,977,"18,805",-244,366,611
2022-08-01,DAZN,Amazon Fire TV,0.00,0.05,0.00,0.00,0.002,733,"18,927",122,977,855
2022-09-01,DAZN,Amazon Fire TV,0.01,0.05,0.01,0.01,0.002,"5,617","21,003","2,076","2,809",733
2022-10-01,DAZN,Amazon Fire TV,0.00,0.05,-0.01,0.00,0.009,244,"18,927","-2,076","1,587","3,663"
2022-11-01,DAZN,Amazon Fire TV,,0.05,0.00,0.00,0.003,,"18,073",-855,244,"1,099"
2022-12-01,DAZN,Amazon Fire TV,0.00,0.05,0.00,0.00,0.002,488,"18,073",0,855,855
2023-01-01,DAZN,Amazon Fire TV,0.00,0.04,0.00,0.00,0.003,244,"17,340",-733,366,"1,099"
2023-02-01,DAZN,Amazon Fire TV,0.00,0.04,0.00,0.00,0.002,244,"16,729",-611,366,977
2023-03-01,DAZN,Amazon Fire TV,0.00,0.04,0.00,0.00,0.001,122,"16,485",-244,244,488
2019-01-01,DAZN,Direct,0.02,0.63,-0.02,0.07,0.091,"7,082","251,794","-9,769","26,498","36,267"
2019-02-01,DAZN,Direct,0.01,0.62,-0.01,0.02,0.027,"4,762","248,619","-3,175","7,815","10,990"
2019-03-01,DAZN,Direct,0.02,0.59,-0.03,0.03,0.066,"9,525","234,821","-13,799","12,700","26,498"
2019-04-01,DAZN,Direct,0.02,0.59,0.00,0.03,0.026,"7,449","234,577",-244,"10,257","10,502"
2019-05-01,DAZN,Direct,0.31,0.61,0.02,0.05,0.025,"124,065","244,101","9,525","19,660","10,135"
2019-06-01,DAZN,Direct,0.06,0.71,0.10,0.17,0.071,"23,934","284,398","40,297","68,871","28,574"
2019-07-01,DAZN,Direct,0.01,0.70,-0.01,0.05,0.063,"5,983","278,415","-5,983","19,049","25,033"
2019-08-01,DAZN,Direct,0.03,0.69,-0.01,0.03,0.039,"12,211","275,606","-2,809","12,822","15,630"
2019-09-01,DAZN,Direct,0.05,0.70,0.01,0.04,0.036,"18,683","278,781","3,175","17,462","14,287"
2019-10-01,DAZN,Direct,0.05,0.71,0.01,0.04,0.029,"18,439","284,276","5,495","16,974","11,478"
2019-11-01,DAZN,Direct,0.65,0.78,0.07,0.11,0.040,"260,220","311,263","26,987","43,105","16,119"
2019-12-01,DAZN,Direct,0.16,0.88,0.10,0.30,0.204,"64,231","350,094","38,832","120,524","81,693"
2020-01-01,DAZN,Direct,0.10,0.89,0.02,0.12,0.101,"41,884","356,200","6,106","46,280","40,175"
2020-02-01,DAZN,Direct,0.05,0.87,-0.02,0.05,0.075,"20,271","346,431","-9,769","20,271","30,039"
2020-03-01,DAZN,Direct,0.01,0.89,0.02,0.10,0.074,"5,495","355,101","8,670","38,343","29,673"
2020-04-01,DAZN,Direct,0.00,0.86,-0.03,0.03,0.066,"1,099","342,401","-12,700","13,554","26,254"
2020-05-01,DAZN,Direct,0.00,0.82,-0.03,0.04,0.069,611,"329,335","-13,066","14,531","27,597"
2020-06-01,DAZN,Direct,0.01,0.82,-0.01,0.03,0.035,"4,762","327,137","-2,198","11,723","13,921"
2020-07-01,DAZN,Direct,0.02,0.83,0.02,0.02,0.008,"7,815","333,731","6,594","9,769","3,175"
2020-08-01,DAZN,Direct,0.03,0.85,0.01,0.02,0.013,"10,990","338,371","4,640","9,891","5,251"
2020-09-01,DAZN,Direct,0.04,0.85,0.00,0.03,0.020,"16,363","340,325","1,954","10,013","8,059"
2020-10-01,DAZN,Direct,0.02,0.87,0.01,0.04,0.027,"9,525","345,942","5,617","16,241","10,624"
2020-11-01,DAZN,Direct,0.04,0.87,0.00,0.04,0.033,"17,218","347,652","1,710","14,898","13,188"
2020-12-01,DAZN,Direct,0.22,0.87,0.00,0.04,0.046,"86,821","346,431","-1,221","16,974","18,195"
2021-01-01,DAZN,Direct,0.08,0.89,0.03,0.15,0.126,"31,383","357,299","10,868","61,056","50,188"
2021-02-01,DAZN,Direct,0.19,0.92,0.02,0.10,0.074,"75,465","366,946","9,647","39,198","29,551"
2021-03-01,DAZN,Direct,0.02,0.93,0.01,0.13,0.116,"9,769","370,731","3,785","50,310","46,525"
2021-04-01,DAZN,Direct,0.02,0.93,0.00,0.06,0.060,"8,914","372,196","1,465","25,277","23,812"
2021-05-01,DAZN,Direct,0.41,0.91,-0.02,0.05,0.071,"163,630","363,893","-8,304","20,026","28,330"
2021-06-01,DAZN,Direct,0.02,1.00,0.09,0.28,0.194,"6,594","399,671","35,779","113,198","77,419"
2021-07-01,DAZN,Direct,0.02,0.96,-0.04,0.09,0.131,"6,106","384,163","-15,508","36,878","52,386"
2021-08-01,DAZN,Direct,0.02,0.95,-0.01,0.06,0.068,"9,280","381,721","-2,442","24,789","27,231"
2021-09-01,DAZN,Direct,0.07,0.93,-0.03,0.05,0.081,"29,185","370,853","-10,868","21,370","32,237"
2021-10-01,DAZN,Direct,0.03,0.94,0.02,0.08,0.067,"10,746","376,959","6,106","32,848","26,742"
2021-11-01,DAZN,Direct,0.14,0.91,-0.03,0.05,0.077,"55,927","365,480","-11,478","19,294","30,772"
2021-12-01,DAZN,Direct,0.05,0.91,0.00,0.13,0.131,"20,515","364,503",-977,"51,531","52,508"
2022-01-01,DAZN,Direct,0.02,0.90,-0.02,0.07,0.088,"6,106","358,031","-6,472","28,574","35,046"
2022-02-01,DAZN,Direct,0.03,0.88,-0.01,0.06,0.071,"11,845","353,147","-4,884","23,568","28,452"
2022-03-01,DAZN,Direct,0.02,0.88,0.00,0.07,0.068,"9,158","353,513",366,"27,475","27,109"
2022-04-01,DAZN,Direct,0.10,0.88,0.00,0.05,0.047,"40,175","352,903",-611,"18,317","18,927"
2022-05-01,DAZN,Direct,0.23,0.86,-0.03,0.12,0.149,"93,171","342,767","-10,135","49,333","59,468"
2022-06-01,DAZN,Direct,0.01,0.88,0.02,0.23,0.210,"4,518","350,827","8,059","91,828","83,769"
2022-07-01,DAZN,Direct,0.07,0.79,-0.09,0.09,0.174,"26,742","316,025","-34,802","34,802","69,604"
2022-08-01,DAZN,Direct,0.22,0.72,-0.07,0.08,0.149,"86,577","286,474","-29,551","30,162","59,713"
2022-09-01,DAZN,Direct,0.33,0.69,-0.03,0.15,0.183,"130,904","275,118","-11,356","61,789","73,145"
2022-10-01,DAZN,Direct,0.03,0.70,0.01,0.28,0.269,"12,455","277,926","2,809","110,389","107,580"
2022-11-01,DAZN,Direct,0.06,0.65,-0.05,0.09,0.136,"24,056","258,388","-19,538","34,924","54,462"
2022-12-01,DAZN,Direct,0.02,0.60,-0.05,0.08,0.129,"7,815","238,850","-19,538","31,871","51,409"
2023-01-01,DAZN,Direct,0.06,0.55,-0.05,0.06,0.106,"22,591","220,778","-18,073","24,300","42,373"
2023-02-01,DAZN,Direct,0.04,0.50,-0.05,0.08,0.133,"14,531","200,385","-20,393","32,848","53,241"
