,Sundance Movie,Cast ,contributor_name,2021_score,2021_ranking,2020_score,2020_ranking,overall_score,overall_ranking,average_score,average_ranking
67,Sharp Stick,Scott Speedman,Scott Speedman,0.23340787204669355,8210.0,,,93.41509967915017,5329.0,5.838443729946886,6198.6875
68,Something In The Dirt,Justin Benson,Justin Benson,,,,,4.010459700826843,82510.0,0.8020919401653686,10261.0
69,Something In The Dirt,Aaron Moorhead,Aaron Moorhead,,,0.01237165394984139,26004.0,7.230100202508032,55051.0,1.4460200405016062,12563.4
70,Summering,Ashley Madekwe,Ashley Madekwe,,,,,2.8502272147997827,102434.0,0.5700454429599565,12646.8
71,Summering,Lake Bell,Lake Bell,,,,,55.60555944625082,9175.0,3.475347465390677,7393.375
72,Summering,Megan Mullally,Megan Mullally,,,,,31.148160857851792,16073.0,1.639376887255357,5900.473684210527
73,Watcher,Burn Gorman,Burn Gorman,,,5.4016181127061325,564.0,58.304632753494694,8780.0,4.164616625249621,4170.785714285715
74,Watcher,Maika Monroe,Maika Monroe,,,0.30250645076174765,7774.0,31.376561620639727,15973.0,3.4862846245155263,5449.666666666667
75,Watcher,Karl Glusman,Karl Glusman,,,2.4916890838637977,1523.0,19.49169893001481,24240.0,3.8983397860029614,3622.6
76,When You Finish Saving the World,Finn Wolfhard,Finn Wolfhard,6.94278828293204,654.0,2.16659839723247,1827.0,28.570758726567938,17330.0,4.761793121094656,3553.1666666666665
77,When You Finish Saving the World,Julianne Moore,Julianne Moore,5.218840898546058,874.0,1.0212933304220917,3387.0,683.7699782850856,492.0,22.79233260950286,1498.0333333333333
78,You Won't Be Alone,Noomi Rapace,Noomi Rapace,9.86206323891335,318.0,1.8419693366038536,2084.0,254.59707251935347,1690.0,13.399845922071236,6218.0
79,You Won't Be Alone,Anamaria Marinca,Anamaria Marinca,,,4.302965332091171,794.0,31.284564315986078,16013.0,2.2346117368561482,9559.07142857143
80,You Won't Be Alone,Alice Englert,Alice Englert,2.1162629677207567,2001.0,,,9.40749216481796,44932.0,1.175936520602245,13380.625
