SEGMENT_NAME,START_DATE,END_DATE,DAYS_ON_HBO_MAX,COHORT_SUBS
Buzzy HBO Originals,2022-08-22,2022-10-04,43,1856784
Thrilling Action Movies,2022-08-22,2022-10-05,44,1598291
Buzzy HBO Originals,2022-08-22,2022-10-05,44,1857761
Buzzy HBO Originals,2022-08-22,2022-10-06,45,1858536
Thrilling Action Movies,2022-08-22,2022-10-06,45,1599220
Thrilling Action Movies,2022-08-22,2022-10-07,46,1600302
Buzzy HBO Originals,2022-08-22,2022-10-07,46,1859442
Thrilling Action Movies,2022-08-22,2022-10-08,47,1601527
Buzzy HBO Originals,2022-08-22,2022-10-08,47,1860434
Buzzy HBO Originals,2022-08-22,2022-10-09,48,1861664
Thrilling Action Movies,2022-08-22,2022-10-09,48,1602973
Buzzy HBO Originals,2022-08-22,2022-10-10,49,1863067
Thrilling Action Movies,2022-08-22,2022-10-10,49,1604658
Buzzy HBO Originals,2022-08-22,2022-10-11,50,1864575
Thrilling Action Movies,2022-08-22,2022-10-11,50,1606370
Thrilling Action Movies,2022-08-22,2022-10-12,51,1607513
Buzzy HBO Originals,2022-08-22,2022-10-12,51,1865623
Thrilling Action Movies,2022-08-22,2022-10-13,52,1608620
Buzzy HBO Originals,2022-08-22,2022-10-13,52,1866583
Buzzy HBO Originals,2022-08-22,2022-10-14,53,1867509
Thrilling Action Movies,2022-08-22,2022-10-14,53,1609740
Buzzy HBO Originals,2022-08-22,2022-10-15,54,1868486
Thrilling Action Movies,2022-08-22,2022-10-15,54,1610948
Thrilling Action Movies,2022-08-22,2022-10-16,55,1612461
Buzzy HBO Originals,2022-08-22,2022-10-16,55,1869706
Thrilling Action Movies,2022-08-22,2022-10-17,56,1614130
Buzzy HBO Originals,2022-08-22,2022-10-17,56,1871041
Buzzy HBO Originals,2022-08-22,2022-10-18,57,1872449
Thrilling Action Movies,2022-08-22,2022-10-18,57,1615714
Buzzy HBO Originals,2022-08-22,2022-10-19,58,1873515
Thrilling Action Movies,2022-08-22,2022-10-19,58,1616918
Buzzy HBO Originals,2022-08-22,2022-10-20,59,1874349
Thrilling Action Movies,2022-08-22,2022-10-20,59,1617918
Thrilling Action Movies,2022-08-22,2022-10-21,60,1618983
Buzzy HBO Originals,2022-08-22,2022-10-21,60,1875287
