,date_month,sub_month,is_cancel,subscriber_count
175,2022-03-01,20,False,235276
176,2023-03-01,20,False,176392
177,2022-10-01,20,False,281171
178,2022-05-01,20,False,97930
179,2023-04-01,20,False,197533
180,2023-02-01,20,False,305787
181,2022-06-01,20,True,4411
182,2023-03-01,19,False,206010
183,2022-11-01,19,False,590731
184,2022-05-01,19,True,4543
185,2022-12-01,19,True,11436
186,2022-07-01,19,True,22110
187,2023-03-01,19,True,7487
188,2023-08-01,19,False,1
189,2022-04-01,19,False,100403
190,2022-05-01,19,False,152003
191,2022-08-01,19,True,14169
192,2023-02-01,19,True,8066
193,2023-02-01,19,False,180035
194,2022-10-01,19,True,17368
195,2022-09-01,19,False,290800
196,2022-03-01,19,False,170951
197,2022-08-01,19,False,390771
198,2022-11-01,19,True,24989
199,2022-06-01,19,False,209925
200,2022-12-01,19,False,328905
201,2022-04-01,19,True,2740
202,2022-10-01,19,False,478373
203,2023-06-01,19,False,1
204,2022-01-01,19,False,816994
205,2023-06-01,19,True,12
206,2022-02-01,19,False,234681
207,2022-09-01,19,True,11236
208,2023-05-01,19,False,143919
209,2022-02-01,19,True,6884
210,2022-07-01,19,False,713679
211,2023-04-01,19,True,4548
212,2022-03-01,19,True,4184
213,2023-04-01,19,False,115047
214,2022-01-01,19,True,14206
215,2023-01-01,19,True,11878
216,2023-01-01,19,False,320191
217,2023-05-01,19,True,83348
218,2022-06-01,19,True,5840
219,2022-09-01,18,True,19819
220,2023-04-01,18,True,8479
221,2023-01-01,18,False,192212
222,2022-07-01,18,True,14304
223,2022-10-01,18,True,25861
224,2022-05-01,18,True,5979
225,2022-04-01,18,True,4810
226,2023-04-01,18,False,226140
227,2023-03-01,18,True,4364
228,2023-05-01,18,False,136303
229,2023-05-01,18,True,45384
230,2022-11-01,18,True,12152
231,2022-12-01,18,True,11686
232,2022-07-01,18,False,405272
233,2022-08-01,18,True,12766
234,2022-06-01,18,True,21663
235,2023-02-01,18,False,211162
236,2022-01-01,18,True,5799
237,2024-02-01,18,False,1
238,2022-08-01,18,False,302323
239,2023-06-01,18,True,26
240,2023-03-01,18,False,119559
241,2023-10-01,18,False,1
242,2022-10-01,18,False,616535
243,2022-01-01,18,False,250513
244,2022-04-01,18,False,155360
245,2022-03-01,18,False,102374
246,2023-02-01,18,True,9789
247,2022-11-01,18,False,336654
248,2022-02-01,18,False,172160
249,2022-02-01,18,True,4929
250,2022-06-01,18,False,733976
251,2022-03-01,18,True,2785
252,2022-12-01,18,False,332461
253,2023-01-01,18,True,9437
254,2022-09-01,18,False,493935
255,2022-05-01,18,False,216036
256,2022-04-01,17,False,222323
257,2022-05-01,17,True,22117
258,2022-06-01,17,False,417392
259,2022-05-01,17,False,758992
260,2022-06-01,17,True,14652
261,2022-02-01,17,True,3468
262,2023-03-01,17,False,236334
263,2022-08-01,17,True,23667
264,2022-07-01,17,True,13332
265,2023-04-01,17,False,181877
266,2022-09-01,17,False,642704
267,2023-02-01,17,True,5447
268,2023-03-01,17,True,8495
269,2022-12-01,17,True,8864
270,2022-02-01,17,False,104724
271,2022-07-01,17,False,315381
272,2023-04-01,17,True,7410
273,2023-05-01,17,False,199816
274,2023-01-01,17,True,10372
275,2023-06-01,17,True,19
276,2022-10-01,17,True,13261
277,2022-03-01,17,False,161327
278,2022-08-01,17,False,516467
279,2023-02-01,17,False,122477
280,2023-05-01,17,True,118179
281,2022-11-01,17,True,12365
282,2023-01-01,17,False,224704
283,2022-01-01,17,False,181625
284,2022-12-01,17,False,201926
285,2022-01-01,17,True,4965
286,2022-03-01,17,True,5105
287,2022-04-01,17,True,6540
288,2022-09-01,17,True,29599
289,2022-11-01,17,False,344371
290,2022-10-01,17,False,353297
291,2023-06-01,16,True,4
292,2023-01-01,16,False,130033
293,2022-05-01,16,True,14675
294,2022-03-01,16,True,6869
295,2023-04-01,16,True,13787
296,2023-03-01,16,False,189479
297,2023-02-01,16,False,240673
298,2022-03-01,16,False,228790
299,2023-05-01,16,False,167836
300,2022-12-01,16,True,10692
301,2022-10-01,16,True,13123
302,2022-09-01,16,True,14929
303,2023-11-01,16,False,1
304,2022-07-01,16,False,540714
305,2022-07-01,16,True,24492
306,2022-02-01,16,True,5787
307,2023-01-01,16,True,6191
308,2022-12-01,16,False,235359
309,2022-10-01,16,False,357097
310,2022-02-01,16,False,162644
311,2022-11-01,16,False,209482
312,2023-02-01,16,True,10824
313,2022-06-01,16,True,13661
314,2022-09-01,16,False,363085
315,2022-11-01,16,True,9862
