,days_on_hbo_max,monthly_average_hours_viewed,monthly_average_hours_viewed_60d,target
0,63,0.0011310173207457876,0.0011310173207457876,1.0
1,70,0.0010473549961809614,0.0011310173207457876,0.9260291394037541
2,77,0.0009576395940293525,0.0011310173207457876,0.846706391196458
3,84,0.0008665275782309785,0.0011310173207457876,0.7661488134059646
4,91,0.0008204239001599597,0.0011310173207457876,0.7253857965844202
5,98,0.0007286268297266826,0.0011310173207457876,0.6442225210540803
6,105,0.000689308528589853,0.0011310173207457876,0.6094588614569811
7,112,0.0007217681676528107,0.0011310173207457876,0.6381583680583072
8,119,0.0006776050086640276,0.0011310173207457876,0.5991110801178694
9,126,0.0006227985572835722,0.0011310173207457876,0.5506534213577753
10,133,0.0006295033261515344,0.0011310173207457876,0.5565815081739357
11,140,0.0005577977247816525,0.0011310173207457876,0.4931823010578152
12,147,0.0006911265781606583,0.0011310173207457876,0.6110663077245648
13,154,0.0006015184931532103,0.0011310173207457876,0.5318384450174218
14,161,0.0005721990722490463,0.0011310173207457876,0.505915392941764
15,168,0.0005454759488605343,0.0011310173207457876,0.4822878826478537
16,175,0.0005468241150729944,0.0011310173207457876,0.4834798769592858
17,182,0.0005597634264135759,0.0011310173207457876,0.49492029533594634
18,189,0.0005360181388624385,0.0011310173207457876,0.47392566765378147
19,196,0.0005770945562147773,0.0011310173207457876,0.5102437828575815
20,203,0.000533334680607882,0.0011310173207457876,0.4715530618542637
21,210,0.0005666515758537509,0.0011310173207457876,0.5010105198743583
22,217,0.0006168673469741895,0.0011310173207457876,0.5454092838891539
23,224,0.0007149153842736074,0.0011310173207457876,0.6320994127677864
24,231,0.0005614045212486063,0.0011310173207457876,0.4963712853472648
25,238,0.0005609824497495627,0.0011310173207457876,0.4959981067130373
26,245,0.00054741890232114,0.0011310173207457876,0.4840057639083498
27,252,0.0005551492431015208,0.0011310173207457876,0.4908406201378578
28,259,0.0005504220182697084,0.0011310173207457876,0.48666099817707714
29,266,0.0005584654158945531,0.0011310173207457876,0.49377264667025933
30,273,0.0005429719235587405,0.0011310173207457876,0.48007392424433193
31,280,0.000509721377956819,0.0011310173207457876,0.45067512990933783
32,287,0.0005169180556329113,0.0011310173207457876,0.4570381426979897
33,294,0.0005293709828362585,0.0011310173207457876,0.4680485197938381
