,date_month,tenure,is_cancel,subscriber_count
132,2022-02-01,Month 4-6,True,110251
133,2024-01-01,Month 7-12,False,11
134,2022-11-01,Month 7-12,False,1635956
135,2022-10-01,Month 1-3,True,272906
136,2022-05-01,Month 1-3,False,1369833
137,2023-01-01,Month 1-3,True,289502
138,2022-12-01,Month 7-12,True,100046
139,2023-06-01,Month 13+,True,636
140,2023-11-01,Month 7-12,False,10
141,2023-06-01,Month 7-12,False,4
142,2023-12-01,Month 13+,False,5
143,2023-04-01,Month 13+,False,5583929
144,2022-02-01,Month 13+,False,2996267
145,2022-11-01,Month 4-6,True,75241
146,2022-03-01,Month 7-12,True,185887
147,2022-11-01,Month 1-3,True,330622
148,2022-06-01,Month 1-3,True,271918
149,2023-02-01,Month 4-6,True,95611
150,2023-06-01,Month 7-12,True,178
151,2023-07-01,Month 13+,False,6
152,2023-08-01,Month 13+,False,9
153,2023-07-01,Month 7-12,False,11
154,2023-02-01,Month 7-12,False,1129656
155,2023-07-01,Month 7-12,True,11
156,2022-10-01,Month 13+,True,163546
157,2022-11-01,Month 13+,True,171148
158,2022-12-01,Month 1-3,False,1121365
159,2022-10-01,Month 1-3,False,1438574
160,2022-04-01,Month 4-6,True,147076
161,2023-04-01,Month 13+,True,177414
162,2023-04-01,Month 7-12,True,85495
163,2022-12-01,Month 1-3,True,260187
164,2023-10-01,Month 13+,False,13
