,a,b,c,agg_level,mean,entertainment_segment_lifetime
0,0.011683096430067012,-0.4120203639739709,0.040570568750475544,new,2.437732,genpop
1,0.010707770345615758,-0.38694432189066974,0.044877750368330194,library,4.982145,genpop
2,0.010707770345615758,-0.38694432189066974,0.044877750368330194,new,,
3,0.010707770345615758,-0.38694432189066974,0.044877750368330194,new,4.847931346691336,Sci-Fi & Fantasy Watchers
4,0.010707770345615758,-0.38694432189066974,0.044877750368330194,new,6.159455748209985,Pay-1 Movie Watchers
5,0.010707770345615758,-0.38694432189066974,0.044877750368330194,new,4.814810821407567,Drama Originals Watchers
6,0.010707770345615758,-0.38694432189066974,0.044877750368330194,new,6.941283024026795,Seasonal Movies
7,0.010707770345615758,-0.38694432189066974,0.044877750368330194,new,6.614350624763347,Ghost Hunters
8,0.010707770345615758,-0.38694432189066974,0.044877750368330194,new,3.1880422894640903,Fantasy Footballers
9,0.010707770345615758,-0.38694432189066974,0.044877750368330194,new,3.6027387758741987,Comedy Originals Watchers
10,0.010707770345615758,-0.38694432189066974,0.044877750368330194,new,6.035721210815469,Nostalgia Drama Watchers
11,0.010707770345615758,-0.38694432189066974,0.044877750368330194,new,5.353927625772286,Armchair Detectives
12,0.010707770345615758,-0.38694432189066974,0.044877750368330194,new,6.233227987358483,Factual
13,0.010707770345615758,-0.38694432189066974,0.044877750368330194,new,5.237783349536919,Food & Home Watchers
14,0.010707770345615758,-0.38694432189066974,0.044877750368330194,new,4.04631217838765,Wizards & Hobbits
15,0.010707770345615758,-0.38694432189066974,0.044877750368330194,new,,
16,0.010707770345615758,-0.38694432189066974,0.044877750368330194,new,,
17,0.010707770345615758,-0.38694432189066974,0.044877750368330194,new,4.847931346691336,Sci-Fi & Fantasy Watchers
18,0.010707770345615758,-0.38694432189066974,0.044877750368330194,new,4.847931346691336,Sci-Fi & Fantasy Watchers
19,0.010707770345615758,-0.38694432189066974,0.044877750368330194,new,6.159455748209985,Pay-1 Movie Watchers
20,0.010707770345615758,-0.38694432189066974,0.044877750368330194,new,4.814810821407567,Drama Originals Watchers
21,0.010707770345615758,-0.38694432189066974,0.044877750368330194,new,6.941283024026795,Seasonal Movies
22,0.010707770345615758,-0.38694432189066974,0.044877750368330194,new,6.614350624763347,Ghost Hunters
23,0.010707770345615758,-0.38694432189066974,0.044877750368330194,new,3.1880422894640903,Fantasy Footballers
24,0.010707770345615758,-0.38694432189066974,0.044877750368330194,new,3.6027387758741987,Comedy Originals Watchers
25,0.010707770345615758,-0.38694432189066974,0.044877750368330194,new,6.035721210815469,Nostalgia Drama Watchers
26,0.010707770345615758,-0.38694432189066974,0.044877750368330194,new,5.353927625772286,Armchair Detectives
27,0.010707770345615758,-0.38694432189066974,0.044877750368330194,new,6.233227987358483,Factual
28,0.010707770345615758,-0.38694432189066974,0.044877750368330194,new,5.237783349536919,Food & Home Watchers
29,0.010707770345615758,-0.38694432189066974,0.044877750368330194,new,4.04631217838765,Wizards & Hobbits
30,0.010707770345615758,-0.38694432189066974,0.044877750368330194,new,4.847931346691336,Sci-Fi & Fantasy Watchers
31,0.010707770345615758,-0.38694432189066974,0.044877750368330194,new,6.159455748209985,Pay-1 Movie Watchers
32,0.010707770345615758,-0.38694432189066974,0.044877750368330194,new,4.814810821407567,Drama Originals Watchers
33,0.010707770345615758,-0.38694432189066974,0.044877750368330194,new,4.847931346691336,Sci-Fi & Fantasy Watchers
34,0.010707770345615758,-0.38694432189066974,0.044877750368330194,new,6.159455748209985,Pay-1 Movie Watchers
35,0.010707770345615758,-0.38694432189066974,0.044877750368330194,new,4.814810821407567,Drama Originals Watchers
36,0.010707770345615758,-0.38694432189066974,0.044877750368330194,new,6.941283024026795,Seasonal Movies
37,0.010707770345615758,-0.38694432189066974,0.044877750368330194,new,6.614350624763347,Ghost Hunters
38,0.010707770345615758,-0.38694432189066974,0.044877750368330194,new,3.1880422894640903,Fantasy Footballers
39,0.010707770345615758,-0.38694432189066974,0.044877750368330194,new,3.6027387758741987,Comedy Originals Watchers
40,0.010707770345615758,-0.38694432189066974,0.044877750368330194,new,6.035721210815469,Nostalgia Drama Watchers
41,0.010707770345615758,-0.38694432189066974,0.044877750368330194,new,5.353927625772286,Armchair Detectives
42,0.010707770345615758,-0.38694432189066974,0.044877750368330194,new,6.233227987358483,Factual
43,0.010707770345615758,-0.38694432189066974,0.044877750368330194,new,5.237783349536919,Food & Home Watchers
44,0.010707770345615758,-0.38694432189066974,0.044877750368330194,new,4.04631217838765,Wizards & Hobbits
45,0.010707770345615758,-0.38694432189066974,0.044877750368330194,new,6.1383904904397815,Nostalgia Comedy Watchers
46,0.010707770345615758,-0.38694432189066974,0.044877750368330194,new,6.379445385266723,Adult Animation Watchers
47,0.010707770345615758,-0.38694432189066974,0.044877750368330194,new,4.36102887648629,Procedurals Watchers
48,0.010707770345615758,-0.38694432189066974,0.044877750368330194,new,5.753540747620153,Reality Drama Divas
49,0.010707770345615758,-0.38694432189066974,0.044877750368330194,new,4.412070459139475,Satirical Comedy Watchers
50,0.010707770345615758,-0.38694432189066974,0.044877750368330194,new,4.7298850574712645,Supernatural Sleuths
51,0.010707770345615758,-0.38694432189066974,0.044877750368330194,new,5.163626312880044,DC Superfans
52,0.010707770345615758,-0.38694432189066974,0.044877750368330194,new,6.370683039140445,OWN Watchers
53,0.010707770345615758,-0.38694432189066974,0.044877750368330194,new,4.21259842519685,Family Movie Watchers
54,0.010707770345615758,-0.38694432189066974,0.044877750368330194,new,3.295302013422819,Family Animation Watchers
55,0.010707770345615758,-0.38694432189066974,0.044877750368330194,new,8.776942355889725,Nostalgia Millennial Watchers
56,0.009072942622801313,-0.2875655291909019,0.03278988772450855,new,4.847931346691336,Sci-Fi & Fantasy Watchers
57,0.0060597159057912174,-0.4280243620817583,0.027635171956661854,new,6.159455748209985,Pay-1 Movie Watchers
58,0.007615645912399576,-0.355831370326959,0.02752644191156571,new,4.814810821407567,Drama Originals Watchers
59,0.005537743553220361,-0.35567319263463876,0.03825468796522235,new,6.941283024026795,Seasonal Movies
60,0.007899088077265911,-0.5920821804328638,0.021852344818067512,new,6.614350624763347,Ghost Hunters
61,0.006208057245470114,-0.4375777370162126,0.04344351737706868,new,3.1880422894640903,Fantasy Footballers
62,0.008356049837303325,-0.39880678171778744,0.03185800781170479,new,3.6027387758741987,Comedy Originals Watchers
63,0.009150606424558531,-0.36115043220753473,0.024552590361318002,new,6.035721210815469,Nostalgia Drama Watchers
64,0.010703206154263258,-0.3690993092666046,0.033165685147958465,new,5.353927625772286,Armchair Detectives
65,0.010461119002896842,-0.5204605831544024,0.02972071416923301,new,6.233227987358483,Factual
66,0.007603607148694299,-0.4855772649514486,0.02564363083712271,new,5.237783349536919,Food & Home Watchers
67,0.004525668508891069,-1.2598885381219962,0.03974847982256223,new,4.04631217838765,Wizards & Hobbits
68,0.009483912648795492,-0.4840648108229819,0.02662356067989887,new,6.1383904904397815,Nostalgia Comedy Watchers
69,0.008609122084170046,-0.36501923670289843,0.03163822590386531,new,6.379445385266723,Adult Animation Watchers
70,0.00641482693877745,-0.5024745828145497,0.03074683770261287,new,4.36102887648629,Procedurals Watchers
71,0.009790157561595968,-0.6398199085806693,0.02480951865741233,new,5.753540747620153,Reality Drama Divas
72,0.0061859659624709205,-0.5525126452519605,0.021862606605219163,new,4.412070459139475,Satirical Comedy Watchers
73,0.011354661165764442,-0.23777426819846068,0.02868563957933048,new,4.7298850574712645,Supernatural Sleuths
74,0.014382458158857159,-0.034037648307658666,0.020214774595521456,new,5.163626312880044,DC Superfans
75,0.009701693112577386,-0.6179686519240489,0.036415736989328554,new,6.370683039140445,OWN Watchers
76,0.009072942622801313,-0.2875655291909019,0.03278988772450855,new,4.847931346691336,Sci-Fi & Fantasy Watchers
77,0.0060597159057912174,-0.4280243620817583,0.027635171956661854,new,6.159455748209985,Pay-1 Movie Watchers
78,0.007615645912399576,-0.355831370326959,0.02752644191156571,new,4.814810821407567,Drama Originals Watchers
79,0.005537743553220361,-0.35567319263463876,0.03825468796522235,new,6.941283024026795,Seasonal Movies
80,0.007899088077265911,-0.5920821804328638,0.021852344818067512,new,6.614350624763347,Ghost Hunters
81,0.006208057245470114,-0.4375777370162126,0.04344351737706868,new,3.1880422894640903,Fantasy Footballers
82,0.008356049837303325,-0.39880678171778744,0.03185800781170479,new,3.6027387758741987,Comedy Originals Watchers
83,0.009150606424558531,-0.36115043220753473,0.024552590361318002,new,6.035721210815469,Nostalgia Drama Watchers
84,0.010703206154263258,-0.3690993092666046,0.033165685147958465,new,5.353927625772286,Armchair Detectives
85,0.010461119002896842,-0.5204605831544024,0.02972071416923301,new,6.233227987358483,Factual
86,0.007603607148694299,-0.4855772649514486,0.02564363083712271,new,5.237783349536919,Food & Home Watchers
87,0.004525668508891069,-1.2598885381219962,0.03974847982256223,new,4.04631217838765,Wizards & Hobbits
88,0.009483912648795492,-0.4840648108229819,0.02662356067989887,new,6.1383904904397815,Nostalgia Comedy Watchers
89,0.008609122084170046,-0.36501923670289843,0.03163822590386531,new,6.379445385266723,Adult Animation Watchers
90,0.00641482693877745,-0.5024745828145497,0.03074683770261287,new,4.36102887648629,Procedurals Watchers
91,0.009790157561595968,-0.6398199085806693,0.02480951865741233,new,5.753540747620153,Reality Drama Divas
92,0.0061859659624709205,-0.5525126452519605,0.021862606605219163,new,4.412070459139475,Satirical Comedy Watchers
93,0.011354661165764442,-0.23777426819846068,0.02868563957933048,new,4.7298850574712645,Supernatural Sleuths
94,0.014382458158857159,-0.034037648307658666,0.020214774595521456,new,5.163626312880044,DC Superfans
95,0.009701693112577386,-0.6179686519240489,0.036415736989328554,new,6.370683039140445,OWN Watchers
96,0.0384303467480856,-0.017870647247863573,3.8723261504354184e-11,new,4.21259842519685,Family Movie Watchers
97,0.009902529165403866,-0.37029025487196604,0.05009052586094693,new,3.295302013422819,Family Animation Watchers
98,0.0007566019269437957,-1.341288381824571,3.2299017029202865e-39,new,8.776942355889725,Nostalgia Millennial Watchers
