lfm.fact.date_str,lfm.brand_view.id,lfm.brand.name,lfm.brand.title_category,lfm.brand_view.name,lfm.brand_view.set_ids,lfm.brand_view.set_names,lfm.brand_view.type,lfm.brand.broadcast_dayparts,lfm.brand.genres,lfm.brand.primary_genre,lfm.brand.programmers,lfm.brand.programmer_types,facebook.page_insight.fbpai_impressions_organic_unique,facebook.page_insight.fbpai_impressions_organic_unique_authorized,facebook.page_insight.fbpai_impressions_unique,facebook.page_insight.fbpai_impressions_unique_authorized,facebook.page_insight.fbpai_impressions_paid_unique,facebook.page_insight.fbpai_impressions_paid_unique_authorized,facebook.page_insight.fbpai_impressions_viral_unique,facebook.page_insight.fbpai_impressions_viral_unique_authorized,lfm.post_engagement_score.post_engagement_rate_fb,lfm.post_engagement_score.post_engagement_fb,lfm.audience_ratings.facebook_fan_acquisition_score,facebook.post_insight.fbpoi_video_views_organic,facebook.post_insight.fbpoi_video_views_organic_authorized,facebook.post_insight.fbpoi_video_views_organic_unique,facebook.post_insight.fbpoi_video_views_organic_unique_authorized,facebook.page_insight.fbpai_fan_removes_unique,facebook.page_insight.fbpai_fan_removes_unique_authorized,facebook.page_insight.fbpai_impressions,facebook.page_insight.fbpai_impressions_authorized,facebook.page_insight.fbpai_fan_adds_unique,facebook.page_insight.fbpai_fan_adds_unique_authorized,facebook.page_insight.fbpai_impressions_organic,facebook.page_insight.fbpai_impressions_organic_authorized,facebook.page_insight.fbpai_video_views_organic,facebook.page_insight.fbpai_video_views_organic_authorized,facebook.page_insight.fbpai_impressions_paid,facebook.page_insight.fbpai_impressions_paid_authorized,facebook.page_insight.fbpai_video_views_paid,facebook.page_insight.fbpai_video_views_paid_authorized,facebook.page.talking_about,facebook.page_insight.fbpai_video_views,facebook.page_insight.fbpai_video_views_authorized,facebook.page_insight.fbpai_impressions_viral,facebook.page_insight.fbpai_impressions_viral_authorized,facebook.post_insight.fbpoi_video_complete_views_paid,facebook.post_insight.fbpoi_video_complete_views_paid_authorized,facebook.post_insight.fbpoi_video_views_paid,facebook.post_insight.fbpoi_video_views_paid_authorized,facebook.post_insight.fbpoi_video_views_paid_unique,facebook.post_insight.fbpoi_video_views_paid_unique_authorized,facebook.page.total_post_angry_count_c,facebook.page.total_post_comments_c,facebook.page.total_post_haha_count_c,facebook.post.interactions_views,facebook.post.interactions_views_authorized,facebook.page.total_post_likes_c,facebook.page.total_post_love_count_c,facebook.page.total_post_reactions_count_c,facebook.page.total_post_sad_count_c,facebook.post.other,facebook.page.total_post_wow_count_c,facebook.post_video.views_c,facebook.page.likes,lfm.audience_ratings.facebook_audience_footprint,lfm.engagement_score.facebook,lfm.social_engagement_score.facebook_score,lfm.audience_ratings.private_facebook_audience_footprint,lfm.audience_ratings.private_facebook_audience_footprint_authorized
2022-01-29,60555,360,Movies,360 (Standard View),[3],"[""LF // Film - Majors + Independents""]",STANDARD,,"[""Drama"", ""Romance"", ""Thriller""]",,,,,unauthorized,,unauthorized,,unauthorized,,unauthorized,,0,-2,,unauthorized,,unauthorized,,unauthorized,,unauthorized,,unauthorized,,unauthorized,,unauthorized,,unauthorized,,unauthorized,7,,unauthorized,,unauthorized,,unauthorized,,unauthorized,,unauthorized,0,0,0,,unauthorized,0,0,0,0,0,0,0,19978,19978,-2,-2,,unauthorized
2022-01-29,60576,2016: Obama's America,Movies,2016: Obama's America (Standard View),[3],"[""LF // Film - Majors + Independents""]",STANDARD,,"[""Documentary"", ""Fantasy""]",,,,,unauthorized,,unauthorized,,unauthorized,,unauthorized,,-18,-19,,unauthorized,,unauthorized,,unauthorized,,unauthorized,,unauthorized,,unauthorized,,unauthorized,,unauthorized,,unauthorized,46,,unauthorized,,unauthorized,,unauthorized,,unauthorized,,unauthorized,0,-2,0,,unauthorized,-1,0,-1,0,0,0,16,278663,278663,-37,-37,,unauthorized
2022-01-29,60657,"3, 2, 1... Frankie Go Boom",Movies,"3, 2, 1... Frankie Go Boom (Standard View)",[3],"[""LF // Film - Majors + Independents""]",STANDARD,,"[""Comedy""]",,,,,unauthorized,,unauthorized,,unauthorized,,unauthorized,,0,0,,unauthorized,,unauthorized,,unauthorized,,unauthorized,,unauthorized,,unauthorized,,unauthorized,,unauthorized,,unauthorized,0,,unauthorized,,unauthorized,,unauthorized,,unauthorized,,unauthorized,0,0,0,,unauthorized,0,0,0,0,0,0,,3943,3943,0,0,,unauthorized
2022-01-29,60810,21 and Over,Movies,21 and Over (Standard View),[3],"[""LF // Film - Majors + Independents""]",STANDARD,,"[""Comedy""]",,,,,unauthorized,,unauthorized,,unauthorized,,unauthorized,,-3,-31,,unauthorized,,unauthorized,,unauthorized,,unauthorized,,unauthorized,,unauthorized,,unauthorized,,unauthorized,,unauthorized,71,,unauthorized,,unauthorized,,unauthorized,,unauthorized,,unauthorized,0,0,0,,unauthorized,0,0,0,0,0,0,2,469040,469040,-34,-34,,unauthorized
2022-01-29,60848,42,Movies,42 (Standard View),[3],"[""LF // Film - Majors + Independents""]",STANDARD,,"[""Biography"", ""Drama"", ""Sport""]",,,,,unauthorized,,unauthorized,,unauthorized,,unauthorized,,0,-12,,unauthorized,,unauthorized,,unauthorized,,unauthorized,,unauthorized,,unauthorized,,unauthorized,,unauthorized,,unauthorized,97,,unauthorized,,unauthorized,,unauthorized,,unauthorized,,unauthorized,0,0,0,,unauthorized,2,0,2,0,0,0,5,438866,438866,-12,-12,,unauthorized
2022-01-29,60919,100 Bloody Acres,Movies,100 Bloody Acres (Standard View),[3],"[""LF // Film - Majors + Independents""]",STANDARD,,"[""Comedy"", ""Horror""]",,,,,unauthorized,,unauthorized,,unauthorized,,unauthorized,,0,0,,unauthorized,,unauthorized,,unauthorized,,unauthorized,,unauthorized,,unauthorized,,unauthorized,,unauthorized,,unauthorized,0,,unauthorized,,unauthorized,,unauthorized,,unauthorized,,unauthorized,0,0,0,,unauthorized,0,0,0,0,0,0,,1383,1383,0,0,,unauthorized
2022-01-29,60946,2 Guns,Movies,2 Guns (Standard View),[3],"[""LF // Film - Majors + Independents""]",STANDARD,,"[""Action"", ""Comedy"", ""Crime"", ""Thriller""]",,,,,unauthorized,,unauthorized,,unauthorized,,unauthorized,,-4,-21,,unauthorized,,unauthorized,,unauthorized,,unauthorized,,unauthorized,,unauthorized,,unauthorized,,unauthorized,,unauthorized,59,,unauthorized,,unauthorized,,unauthorized,,unauthorized,,unauthorized,0,-3,0,,unauthorized,0,0,0,0,0,0,6,333759,333759,-25,-25,,unauthorized
2022-01-29,60991,12 Years a Slave,Movies,12 Years a Slave (Standard View),[3],"[""LF // Film - Majors + Independents""]",STANDARD,,"[""Biography"", ""Drama"", ""History""]",,,,,unauthorized,,unauthorized,,unauthorized,,unauthorized,,-4,-35,,unauthorized,,unauthorized,,unauthorized,,unauthorized,,unauthorized,,unauthorized,,unauthorized,,unauthorized,,unauthorized,224,,unauthorized,,unauthorized,,unauthorized,,unauthorized,,unauthorized,0,-1,0,,unauthorized,0,0,0,0,0,0,32,789490,789490,-39,-39,,unauthorized
2022-01-29,61027,47 Ronin,Movies,47 Ronin (Standard View),[3],"[""LF // Film - Majors + Independents""]",STANDARD,,"[""Action"", ""Drama"", ""Fantasy""]",,,,,unauthorized,,unauthorized,,unauthorized,,unauthorized,,3,-6,,unauthorized,,unauthorized,,unauthorized,,unauthorized,,unauthorized,,unauthorized,,unauthorized,,unauthorized,,unauthorized,139,,unauthorized,,unauthorized,,unauthorized,,unauthorized,,unauthorized,0,0,0,,unauthorized,5,0,5,0,0,0,51,473972,473972,-3,-3,,unauthorized
2022-01-29,61082,3 Days to Kill,Movies,3 Days to Kill (Standard View),[3],"[""LF // Film - Majors + Independents""]",STANDARD,,"[""Action"", ""Drama"", ""Thriller""]",,,,,unauthorized,,unauthorized,,unauthorized,,unauthorized,,0,-14,,unauthorized,,unauthorized,,unauthorized,,unauthorized,,unauthorized,,unauthorized,,unauthorized,,unauthorized,,unauthorized,26,,unauthorized,,unauthorized,,unauthorized,,unauthorized,,unauthorized,0,0,0,,unauthorized,0,0,0,0,0,0,,127195,127195,-14,-14,,unauthorized
