,expiration_month,content_pillar,pillar_rank,percent_viewing_subs,absolute churn reduction,number of users impacted,ckg_series_id
0,2022-01-01,Brand Halo - Comedy Series (OP),7.0,0.0016553706923806513,9.930355536609536e-05,402.0443463973884,7
1,2022-01-01,Brand Halo - Docu-Movies (Acq),7.0,8.718977236800505e-05,6.871045123285624e-07,2.781838812793911,2
2,2022-01-01,Brand Halo - Docu-Movies (OP),7.0,5.9861462850084934e-05,4.5429902587629245e-05,183.92932081237927,193
3,2022-01-01,Brand Halo - Docu-Series (OP),7.0,0.0001727668027375351,1.1566988919596566e-05,46.83057401943544,17
4,2022-01-01,Brand Halo - Drama Series (OP),7.0,0.0013124700516716726,0.00024368025012080907,986.5736078491125,32
5,2022-01-01,Brand Halo - Movies (OP),7.0,7.277297535650697e-05,2.7207821878018346e-05,110.15467596822019,95
6,2022-01-01,Brand Halo - Specials,7.0,0.00011163283597665974,4.521376374588132e-05,183.05425245212496,103
7,2022-01-01,Brand Halo - Unscripted Series (OP),7.0,0.0018847316629781855,0.000176032529628882,712.6923407566769,10
8,2022-01-01,Engagement Anchor - Comedy Series (Acq),2.0,0.01048599035725577,4.124108517396252e-05,166.9703070787116,1
9,2022-01-01,Engagement Anchor - Comedy Series (OP),2.0,0.017169691550742966,0.0014729048068803582,5963.261317328093,10
10,2022-01-01,Engagement Anchor - Docu-Series (OP),2.0,0.000680193137166343,1.874557070968841e-05,75.89406739807288,7
11,2022-01-01,Engagement Anchor - Drama Series (OP),2.0,0.007093598979269229,0.0013263797669307853,5370.034179586655,28
12,2022-01-01,Engagement Anchor - Movies (Acq),2.0,0.013414540478108779,0.0015217529076551606,6161.029692048989,31
13,2022-01-01,Engagement Anchor - Movies (OP),2.0,0.002837545447360101,0.00011124108849360631,450.3751205187543,10
14,2022-01-01,Engagement Anchor - Specials,2.0,0.082644954025714,0.0009345916689120909,3783.825214424248,3
15,2022-01-01,Experimentation - Adult Animation Series (OP),6.0,0.0009017843028770154,3.5528184423802567e-06,14.384082858558402,1
16,2022-01-01,Experimentation - Comedy Series (OP),6.0,5.816768099905154e-05,4.583988808537498e-07,1.8558920449797256,2
17,2022-01-01,Experimentation - Docu-Movies (OP),6.0,0.00019438626304141637,1.5318140602696428e-06,6.201763676970087,2
18,2022-01-01,Experimentation - Docu-Series (OP),6.0,0.00040556828959848243,3.1957398845400276e-06,12.938400326144137,2
19,2022-01-01,Experimentation - Kids Series (Acq),6.0,5.680920012646222e-06,2.2385105019617768e-08,0.09062923158662528,1
20,2022-01-01,Experimentation - Kids Series (OP),6.0,0.00017655311413215303,3.477901019753593e-06,14.080769184615187,5
