,entertainment_segment_lifetime,medal,content_sub_pillar,percent_viewing_subs
90,Drama Originals Watchers,Bronze,Experimentation,0.0064395923866429
92,Drama Originals Watchers,Bronze,News & Sports,0.0027773819687978824
93,Drama Originals Watchers,Bronze,Supporter: Broad Library,0.006859476832544867
94,Drama Originals Watchers,Bronze,Supporter: New Content,0.01134854874154581
95,Drama Originals Watchers,Bronze,Supporter: Segment-Specific Library,0.0010303611722140634
96,Drama Originals Watchers,Gold,Engagement Anchor,0.12347200087215936
97,Drama Originals Watchers,Gold,Experimentation,0.0296234963495062
98,Drama Originals Watchers,Gold,Supporter: New Content,0.10592063171757299
99,Drama Originals Watchers,Gold,Tentpole Anchor,0.10653537798066226
100,Drama Originals Watchers,Platinum,Engagement Anchor,0.20170962699122846
102,Drama Originals Watchers,Platinum,Supporter: New Content,0.10103020207712254
103,Drama Originals Watchers,Platinum,Tentpole Anchor,0.5950135048998253
104,Drama Originals Watchers,Silver,Buzz/Prestige/Brand Support,0.018868712471834016
105,Drama Originals Watchers,Silver,Engagement Anchor,0.08298553841569827
106,Drama Originals Watchers,Silver,Experimentation,0.05065044351253838
108,Drama Originals Watchers,Silver,Supporter: Broad Library,0.1642175029637034
109,Drama Originals Watchers,Silver,Supporter: New Content,0.04247089876332132
110,Factual,Bronze,Buzz/Prestige/Brand Support,0.005096211651556234
111,Factual,Bronze,Engagement Anchor,0.061273230525899565
112,Factual,Bronze,Experimentation,0.012079434725577686
114,Factual,Bronze,News & Sports,0.002558968557634628
115,Factual,Bronze,Supporter: Broad Library,0.009391639542704954
116,Factual,Bronze,Supporter: New Content,0.015606510002740099
117,Factual,Bronze,Supporter: Segment-Specific Library,0.002981945436796991
118,Factual,Gold,Engagement Anchor,0.0688164781722549
119,Factual,Gold,Experimentation,0.02332640296163732
120,Factual,Gold,Supporter: New Content,0.08781642366037629
121,Factual,Gold,Tentpole Anchor,0.04773426319077101
122,Factual,Platinum,Engagement Anchor,0.24400925644007523
124,Factual,Platinum,Supporter: New Content,0.15619227748051517
125,Factual,Platinum,Tentpole Anchor,0.5536210493709058
126,Factual,Silver,Buzz/Prestige/Brand Support,0.011140056707782207
127,Factual,Silver,Engagement Anchor,0.048337667432822286
128,Factual,Silver,Experimentation,0.07794485663778856
130,Factual,Silver,Supporter: Broad Library,0.161583945529475
131,Factual,Silver,Supporter: New Content,0.035342272784420634
132,Family Animation Watchers,Bronze,Buzz/Prestige/Brand Support,0.0025663336647164556
133,Family Animation Watchers,Bronze,Engagement Anchor,0.01010713563776026
134,Family Animation Watchers,Bronze,Experimentation,0.004096606964478752
136,Family Animation Watchers,Bronze,News & Sports,0.002071062679623507
137,Family Animation Watchers,Bronze,Supporter: Broad Library,0.00388081803130577
138,Family Animation Watchers,Bronze,Supporter: New Content,0.0060950812300232405
139,Family Animation Watchers,Bronze,Supporter: Segment-Specific Library,0.0010347194608076188
140,Family Animation Watchers,Gold,Engagement Anchor,0.020852535358720628
141,Family Animation Watchers,Gold,Experimentation,0.01720324404030474
142,Family Animation Watchers,Gold,Supporter: New Content,0.029683439515378843
143,Family Animation Watchers,Gold,Tentpole Anchor,0.009315424610051993
144,Family Animation Watchers,Platinum,Engagement Anchor,0.10689636872874059
146,Family Animation Watchers,Platinum,Supporter: New Content,0.04458665378295015
147,Family Animation Watchers,Platinum,Tentpole Anchor,0.41249367728882147
148,Family Animation Watchers,Silver,Buzz/Prestige/Brand Support,0.005373355567908097
149,Family Animation Watchers,Silver,Engagement Anchor,0.010970815255304685
150,Family Animation Watchers,Silver,Experimentation,0.04991395799418024
152,Family Animation Watchers,Silver,Supporter: Broad Library,0.11200401808136615
153,Family Animation Watchers,Silver,Supporter: New Content,0.008782942442807369
154,Family Movie Watchers,Bronze,Buzz/Prestige/Brand Support,0.0016298279006398489
155,Family Movie Watchers,Bronze,Engagement Anchor,0.009019607843137255
156,Family Movie Watchers,Bronze,Experimentation,0.0034408709085193925
158,Family Movie Watchers,Bronze,News & Sports,0.002716061777469395
159,Family Movie Watchers,Bronze,Supporter: Broad Library,0.005547278696747179
160,Family Movie Watchers,Bronze,Supporter: New Content,0.00462754837722156
161,Family Movie Watchers,Bronze,Supporter: Segment-Specific Library,0.0012230621986981237
162,Family Movie Watchers,Gold,Engagement Anchor,0.02528830446218162
163,Family Movie Watchers,Gold,Experimentation,0.019618430525557954
164,Family Movie Watchers,Gold,Supporter: New Content,0.031039247752150514
165,Family Movie Watchers,Gold,Tentpole Anchor,0.010422698320787493
166,Family Movie Watchers,Platinum,Engagement Anchor,0.10746451918266743
168,Family Movie Watchers,Platinum,Supporter: New Content,0.06762442478456117
169,Family Movie Watchers,Platinum,Tentpole Anchor,0.38173652694610777
170,Family Movie Watchers,Silver,Buzz/Prestige/Brand Support,0.0031909671084928816
171,Family Movie Watchers,Silver,Engagement Anchor,0.010122007011142922
172,Family Movie Watchers,Silver,Experimentation,0.0355839606647519
174,Family Movie Watchers,Silver,Supporter: Broad Library,0.07489393100903892
175,Family Movie Watchers,Silver,Supporter: New Content,0.008911731450246197
176,Fantasy Footballers,Bronze,Buzz/Prestige/Brand Support,0.004866955078576609
177,Fantasy Footballers,Bronze,Engagement Anchor,0.06880913284854172
