,entertainment_segment_lifetime,medal,content_sub_pillar,percent_viewing_subs
428,Sci-Fi & Fantasy Watchers,Gold,Supporter: New Content,0.07204076925868412
429,Sci-Fi & Fantasy Watchers,Gold,Tentpole Anchor,0.033739840541940874
430,Sci-Fi & Fantasy Watchers,Platinum,Engagement Anchor,0.20906601282318255
432,Sci-Fi & Fantasy Watchers,Platinum,Supporter: New Content,0.1252639495145493
433,Sci-Fi & Fantasy Watchers,Platinum,Tentpole Anchor,0.5641157968261312
434,Sci-Fi & Fantasy Watchers,Silver,Buzz/Prestige/Brand Support,0.00916243973258294
435,Sci-Fi & Fantasy Watchers,Silver,Engagement Anchor,0.026602769358781385
436,Sci-Fi & Fantasy Watchers,Silver,Experimentation,0.06332683182560357
438,Sci-Fi & Fantasy Watchers,Silver,Supporter: Broad Library,0.124791998661748
439,Sci-Fi & Fantasy Watchers,Silver,Supporter: New Content,0.023131330325898564
440,Seasonal Movies,Bronze,Buzz/Prestige/Brand Support,0.003678451529597415
441,Seasonal Movies,Bronze,Engagement Anchor,0.027266925421344654
442,Seasonal Movies,Bronze,Experimentation,0.008726575883689981
444,Seasonal Movies,Bronze,News & Sports,0.00166505755469785
445,Seasonal Movies,Bronze,Supporter: Broad Library,0.011564345971520762
446,Seasonal Movies,Bronze,Supporter: New Content,0.009026844573309286
447,Seasonal Movies,Bronze,Supporter: Segment-Specific Library,0.0010956093550071836
448,Seasonal Movies,Gold,Engagement Anchor,0.055935634003398765
449,Seasonal Movies,Gold,Experimentation,0.03245875223315935
450,Seasonal Movies,Gold,Supporter: New Content,0.08158742372125366
451,Seasonal Movies,Gold,Tentpole Anchor,0.0242163387031659
452,Seasonal Movies,Platinum,Engagement Anchor,0.19871725182766467
454,Seasonal Movies,Platinum,Supporter: New Content,0.18941461504316118
455,Seasonal Movies,Platinum,Tentpole Anchor,0.5239636262465039
456,Seasonal Movies,Silver,Buzz/Prestige/Brand Support,0.011806401759443636
457,Seasonal Movies,Silver,Engagement Anchor,0.026750451715358326
458,Seasonal Movies,Silver,Experimentation,0.0673238594306239
460,Seasonal Movies,Silver,Supporter: Broad Library,0.14769360678965524
461,Seasonal Movies,Silver,Supporter: New Content,0.023951688925261668
462,Supernatural Sleuths,Bronze,Buzz/Prestige/Brand Support,0.002910654912390183
463,Supernatural Sleuths,Bronze,Engagement Anchor,0.02518407854017714
464,Supernatural Sleuths,Bronze,Experimentation,0.006098207995761224
466,Supernatural Sleuths,Bronze,News & Sports,0.002224922215069788
467,Supernatural Sleuths,Bronze,Supporter: Broad Library,0.007531828323432691
468,Supernatural Sleuths,Bronze,Supporter: New Content,0.00941170866666352
469,Supernatural Sleuths,Bronze,Supporter: Segment-Specific Library,0.004302533523481887
470,Supernatural Sleuths,Gold,Engagement Anchor,0.0696599040301547
471,Supernatural Sleuths,Gold,Experimentation,0.024498352800239594
472,Supernatural Sleuths,Gold,Supporter: New Content,0.06776301658970867
473,Supernatural Sleuths,Gold,Tentpole Anchor,0.032491755419797805
474,Supernatural Sleuths,Platinum,Engagement Anchor,0.212779262848111
476,Supernatural Sleuths,Platinum,Supporter: New Content,0.17109148935451063
477,Supernatural Sleuths,Platinum,Tentpole Anchor,0.644441659355809
478,Supernatural Sleuths,Silver,Buzz/Prestige/Brand Support,0.00989794663715726
479,Supernatural Sleuths,Silver,Engagement Anchor,0.0376047104394123
480,Supernatural Sleuths,Silver,Experimentation,0.06364486669030513
482,Supernatural Sleuths,Silver,Supporter: Broad Library,0.10236606595562094
483,Supernatural Sleuths,Silver,Supporter: New Content,0.024637127494621915
484,Wizards & Hobbits,Bronze,Buzz/Prestige/Brand Support,0.0023060748822081294
485,Wizards & Hobbits,Bronze,Engagement Anchor,0.014731793265465936
486,Wizards & Hobbits,Bronze,Experimentation,0.009296183730200228
488,Wizards & Hobbits,Bronze,News & Sports,0.0018059274580323507
489,Wizards & Hobbits,Bronze,Supporter: Broad Library,0.0042070189325309785
490,Wizards & Hobbits,Bronze,Supporter: New Content,0.005214826005421718
491,Wizards & Hobbits,Bronze,Supporter: Segment-Specific Library,0.0009474727982226452
492,Wizards & Hobbits,Gold,Engagement Anchor,0.051777497238301655
493,Wizards & Hobbits,Gold,Experimentation,0.022258942457231725
494,Wizards & Hobbits,Gold,Supporter: New Content,0.039317245904770065
495,Wizards & Hobbits,Gold,Tentpole Anchor,0.018772738297356293
496,Wizards & Hobbits,Platinum,Engagement Anchor,0.12034788650032809
498,Wizards & Hobbits,Platinum,Supporter: New Content,0.06348882268441505
499,Wizards & Hobbits,Platinum,Tentpole Anchor,0.4629899864137272
500,Wizards & Hobbits,Silver,Buzz/Prestige/Brand Support,0.004509191814082553
501,Wizards & Hobbits,Silver,Engagement Anchor,0.02045946362902889
502,Wizards & Hobbits,Silver,Experimentation,0.035518429870477417
504,Wizards & Hobbits,Silver,Supporter: Broad Library,0.08580760095011876
505,Wizards & Hobbits,Silver,Supporter: New Content,0.013346489374724465
