,ckg_series_id,season_number,title_name,medal,content_sub_pillar,content_cost
53,f7b16534-5a7b-4e0e-906f-406d25e6b7af,1,Love & Death,Gold,Engagement Anchor,
54,cf514bb5-ddf6-4574-a417-efb57188584b,0,Because I Said So,Bronze,Supporter: Broad Library,
55,8092f1e1-87c2-421c-9dee-601286e6ad61,1,The Climb,Bronze,Supporter: New Content,21467082.0
56,a79db78a-4e4a-4628-9499-5fa3a7bb4827,1,Vegas: The Story of Sin City,Bronze,Supporter: New Content,
57,2db04370-2b7a-41c7-93ff-42aa5a6cd3c5,0,The Descent: Part 2,Bronze,Supporter: Broad Library,173864.0
58,a4d9a7f5-48a3-4f30-8201-58c818b4952c,1,Design Down Under,Bronze,Supporter: Segment-Specific Library,
59,68af2b13-0855-4d8f-aca4-040802d63fcb,1,"Murder in Boston: Roots, Rampage & Reckoning",Bronze,Supporter: New Content,3900000.0
60,5efcfb4b-bbd3-43f2-968f-f8d9d1844b5d,0,Enter the Warrior's Gate,Bronze,Supporter: Broad Library,125000.0
61,99252e25-e09d-4a13-898d-ba7c55955276,0,Dawn of the Monster Mako,Bronze,Supporter: New Content,
62,3b65c971-18c9-4cbc-b940-63bc7db85a95,16,Bering Sea Gold,Bronze,Supporter: Segment-Specific Library,
63,38dca08d-92c9-42bc-bbbb-d5ba9a6b3833,10,Spring Baking Championship,Bronze,Supporter: Segment-Specific Library,
64,03355dd8-ca70-4047-974a-184052540d52,0,Donyale Luna: Supermodel,Bronze,Supporter: New Content,1500000.0
65,GWZsY8g4GWaKDKwEAAABk,0,John Wick: Chapter 2,Bronze,Supporter: Broad Library,3307252.0
66,b7536a88-b044-4633-9f88-686cc124dce3,1,Royal Crackers,Bronze,Supporter: New Content,13062958.39
67,ef833c95-bddf-4204-8e34-bc231327ec4a,5,How It's Made,Bronze,Supporter: Segment-Specific Library,
68,6dfa7bdc-986c-493f-8ba2-34de8a4311bc,0,Splice (2009),Bronze,NaN,
69,ebf44dfe-509d-4226-a749-970f0ac2d234,0,Batman: The Doom That Came to Gotham,Bronze,Supporter: New Content,819000.0
70,b3659197-4073-4240-bf6c-4531d2b359cc,19,Puppy Bowl,Bronze,Supporter: New Content,
73,556fdbfd-1c39-4ac6-9f43-007391f59dd9,0,Time Bomb Y2K,Bronze,Supporter: New Content,1500000.0
74,1de52799-4fd3-4909-b9b3-8898c614b542,1,Fareed Zakaria Documentaries,Bronze,Supporter: Segment-Specific Library,
76,526fc3da-1c67-4646-9104-48215036ad51,0,Georgia Rule,Bronze,Supporter: Broad Library,
77,9d07cd86-067b-49ab-95c1-45a6b0e21399,0,I Am Love,Bronze,Supporter: Broad Library,60000.0
78,487b8c24-cac7-467c-86bc-d8a604fc6f50,1,"Justice, USA",Bronze,Supporter: New Content,
79,2e37ffa1-218d-40bf-919f-f582831a7a64,1,Vgly,Bronze,Supporter: New Content,1087250.0
80,200a6359-fb91-4334-8f6a-eb458031fdf1,4,Help! I Wrecked My House,Bronze,Supporter: Segment-Specific Library,
81,ab553cdc-e15d-4597-b65f-bec9201fd2dd,7,Rick and Morty,Gold,Supporter: New Content,16000000.0
82,2052f0f8-dc09-4cf0-a8a4-0b71bab290b2,0,The Craftsman: Preserving the Last Higgins Boat,Bronze,NaN,
83,1c3616b1-be1a-4ff5-aa0b-e3310fec3b57,1,Ride With Norman Reedus,Bronze,Supporter: Segment-Specific Library,30000.0
84,7aa1ec00-c0c5-4cd1-84ad-7411abfb9636,0,Pelican Brief,Bronze,Supporter: Broad Library,
86,8d35e796-3e67-41fb-ab72-e68857297121,2,Roadworthy Rescues,Bronze,Supporter: Segment-Specific Library,
87,510db597-3c12-41fe-803e-2a3707d20349,0,Wonderland,Bronze,Supporter: Broad Library,175000.0
88,ussf_soccer_men,0,USSF: Soccer (Men),Bronze,News & Sports,
89,fedcdfde-48ff-4a48-a4a7-1834316cfd08,10,Naked and Afraid XL,Bronze,Supporter: Segment-Specific Library,
90,cb7cf6fd-0b20-427a-b14a-a294032bd97e,0,Poltergeist,Bronze,Supporter: Broad Library,
91,34737423-1246-4a5e-b681-e68547ae4559,7,Expedition X,Bronze,Supporter: Segment-Specific Library,
92,8bcc344b-11f4-4702-9d05-8f44a444a7d3,1,Hot Dish with Franco,Bronze,Supporter: Segment-Specific Library,
93,GY6PrmQBKQwnCZwEAAAjb,0,Central Intelligence,Bronze,NaN,
94,44bbd686-3107-467e-9102-423f8c2f1226,0,Shut In,Bronze,Supporter: Broad Library,135000.0
95,13adf1d1-c979-4d69-9235-e29cd54648b8,0,Heist,Bronze,Supporter: Broad Library,150000.0
96,5ca084aa-943b-46dd-be60-a434018a32c4,0,Celeste and Jesse Forever,Bronze,Supporter: Broad Library,174483.0
97,5121629b-3eff-4f9c-bf7b-0c40ebba7ba5,0,Hellboy 2: The Golden Army,Bronze,Supporter: Broad Library,
98,GY879HQPwHsPCLwEAAAzc,0,The Best of Blaxploitation,Bronze,NaN,
99,4bb3fb77-9cb5-4713-bdc9-599bd2de231e,0,Jaws vs. Kraken,Bronze,Supporter: New Content,
100,707246c9-fcc1-46a9-8a44-6b14e0c4a5dd,0,RoboCop 2,Bronze,Supporter: Broad Library,216000.0
101,da9383c4-a0a0-418a-a133-e8425b89080d,1,Time of Essence,Bronze,Supporter: Segment-Specific Library,
102,a93af03d-6423-4915-bc20-546abdd63f74,0,Road House,Bronze,Supporter: Broad Library,432000.0
103,a56ddd67-f3d2-4990-8b29-fbf801e282ee,0,Saving the Gorillas: Ellen's Next Adventure,Bronze,NaN,
104,f897aaef-6232-4ffb-8cde-d0b7736a15aa,0,"Rory Scovel: Religion, Sex and a Few Things in Between",Bronze,Supporter: New Content,1280000.0
105,b945b1c9-9fd4-45b0-b11e-5bede3a63f49,2,How It's Made: Dream Cars,Bronze,Supporter: Segment-Specific Library,
106,272c5538-a8f1-409f-9a48-7ac6a6d969ea,0,Matriarch of Murder?,Bronze,Supporter: New Content,
107,d22406f6-ab51-4289-bf44-c8661802eb95,0,Love in the Time of Cholera,Bronze,Supporter: Broad Library,
108,e8626e0a-563a-4b60-b02d-941d27dfdb9e,0,Halloween's Most Extreme,Bronze,NaN,
109,miami_triathlon,0,MIAMI: Triathlon,Bronze,NaN,
110,450d589d-a73f-437e-93b6-19940720ac3e,0,Think Like a Man,Bronze,Supporter: Broad Library,69703.18471
111,43750a51-2152-419a-91ba-47071137495e,3,Awkwafina Is Nora From Queens,Bronze,Supporter: New Content,19125000.0
112,c3205f21-ada8-4143-801f-e0cdfe85fbff,1,Selena + Chef: Home for the Holidays,Bronze,Supporter: New Content,
113,26d1e67c-d991-4c76-bbc7-92ae6fcbcb35,0,Heartburn,Bronze,Supporter: Broad Library,185000.0
114,056986b9-9ba1-43d9-863d-55869b3d64a9,0,Piranha 3DD,Bronze,Supporter: Broad Library,300000.0
115,4c9a2af3-3e01-4e20-96ff-4cc309745f5d,0,The Story of a Three Day Pass,Bronze,Supporter: Broad Library,
116,5639c996-940d-440f-ab51-5eb5345bf52c,0,Gray Matter,Bronze,Supporter: New Content,
117,65637277-182d-4f67-8334-6110fb1261df,0,Take Shelter,Bronze,Supporter: Broad Library,92600.0
118,96f3d3b7-ad27-466c-852c-dc8652225938,1,White House Plumbers,Gold,Engagement Anchor,102500000.0
119,910155f3-bd8c-459b-80ed-fabc619ba244,0,Christmas Revisited,Bronze,NaN,
120,b59c1cf4-f1ec-4f16-9d39-9a361a1a8aac,0,Bigfoot: Fear in the Woods,Bronze,NaN,
121,fc9873ce-f4c0-4798-b867-7e144a39a2e1,0,50/50,Bronze,NaN,250000.0
122,c33f1b58-575e-41fe-9434-5c81a248a746,29,Real Sports with Bryant Gumbel,Bronze,Supporter: New Content,12300000.0
123,68901224-e032-47f4-b467-d0f536e7b528,0,Tiger Beach,Bronze,NaN,
124,c659b339-df03-4405-ba48-98a3e10921b8,1,Well Designed,Bronze,Supporter: Segment-Specific Library,
125,93bdfd84-bef4-41d4-9f25-863643502138,0,Spaceship Earth,Bronze,NaN,
126,9a0737a5-66e8-4a82-8c0c-5fbe5ccb5a22,3,Still A Mystery,Bronze,Supporter: Segment-Specific Library,
127,966044d9-18ee-434d-88e0-5f8cba9f014a,0,American Honey,Bronze,Supporter: Broad Library,475000.0
128,c0db5ba6-17e5-46e9-ba55-6579ad980055,0,88 Minutes,Bronze,Supporter: Broad Library,130861.0
129,0ad51240-62e5-4191-8741-ce313a3272bf,2,Real Time Crime,Bronze,Supporter: New Content,
130,6cc820da-5e8d-4398-ae1e-9e81a360fe95,3,Mysteries of the Abandoned: Hidden America,Bronze,Supporter: New Content,
131,574dcab8-3f7e-488c-b624-776637469c80,0,Species III,Bronze,Supporter: Broad Library,180000.0
132,GZabxjwzjOJaQVgEAACUN,0,Godzilla,Bronze,NaN,
133,85969931-6d9c-44d6-8376-91482ec71d48,1,Home Sweet Rome,Bronze,NaN,
134,8a8a9838-8621-499e-891b-86f9ccb646ba,0,Death Wish 3,Bronze,Supporter: Broad Library,225000.0
135,ef6e07f8-f134-4107-af94-3184d70a42da,0,The Comedian,Bronze,Supporter: Broad Library,92600.0
136,bc3b2729-e184-4aa0-93b1-b61381d1d87e,4,Ugliest House In America,Bronze,Supporter: New Content,
137,396f2dac-10f6-4099-9fe4-0264d801a4b3,0,Bulworth,Bronze,Supporter: Broad Library,230000.0
139,3b776d7d-2b7e-4399-a868-8a55630c1046,0,Teen Titans Go! & DC Super Hero Girls: Mayhem in the Multiverse,Bronze,Supporter: New Content,540000.0
140,54c28b58-f130-42e5-bea5-6370ca878121,1,I Survived Bear Grylls,Bronze,Supporter: New Content,340000.0
141,7b73340a-c71e-4c2b-9856-7b36094059ae,0,Mermaids,Bronze,Supporter: Broad Library,225000.0
142,2ed27779-abb0-4512-8681-837838f4eedc,0,The Visit,Bronze,Supporter: Broad Library,2695846.0
144,cfad0209-ac6d-46d5-ba24-0e6ca22ced30,1,Velma,Silver,Experimentation,14913000.0
145,8931dfbf-d113-43de-8ee2-43bb594330d1,7,Body Cam,Bronze,Supporter: Segment-Specific Library,
146,7763c6ba-6237-4018-9e65-929ce18838b3,1,Naked Attraction,Bronze,Supporter: New Content,
147,bc58fc62-6e7b-43ba-a88e-87aae451200d,0,ID Special Report: The Long Island Serial Killer,Bronze,Supporter: New Content,
148,376740da-2d45-4016-9138-7c7b981ce6cc,0,aka Mr. Chow,Bronze,Supporter: New Content,2500000.0
150,2e473658-9fc0-4aa1-b855-da3c52752257,1,Killing Eve,Bronze,Supporter: Segment-Specific Library,32000.0
151,5cd26e5c-3276-488e-a148-ccc5ce7b9056,1,Late Night Lockup,Bronze,Supporter: New Content,
152,eb26e00e-9582-4790-a61c-48d785926f58,14,Gold Rush,Bronze,Supporter: Segment-Specific Library,
153,c9999e42-f214-407e-807d-43dcf101301d,0,Khun Pan 3,Bronze,Supporter: New Content,237500.0
154,b7536a88-b044-4633-9f88-686cc124dce3,2,Royal Crackers,Bronze,Supporter: New Content,13062958.39
155,c4492a47-006e-49db-825a-be14f93fcee6,2,Texas Metal's Loud and Lifted,Bronze,Supporter: Segment-Specific Library,
157,37c8637f-39cf-488e-a955-bb9249f1cf1f,1,Exposed: Naked Crimes,Bronze,Supporter: New Content,
158,960eaa30-dfa5-492f-93bc-2a554fd47205,0,Insidious: Chapter 3,Bronze,Supporter: Broad Library,2440079.0
159,4dbf2e86-b4f9-423c-9e7a-4b65dbbb64fe,1,Big Little Brawlers,Bronze,Supporter: Segment-Specific Library,
160,1fa865f9-1fce-4aea-8bc0-5b3976f6cbc5,1,A Discovery of Witches,Bronze,Supporter: Segment-Specific Library,25000.0
161,31277dc0-213e-449d-9215-4b46a2fd3497,5,Rock the Block,Bronze,Supporter: Segment-Specific Library,
162,b9d34d1e-2a82-4807-9b87-1d62a7b1bc72,1,Eli Roth Presents: The Legion of Exorcists,Bronze,Supporter: Segment-Specific Library,
