,ckg_series_id,season_number,title_name,content_strategy_category,medal,content_cost
48838,3ae8157a-c5a5-49d5-ba08-8fcc2f11fea2,0,Tyrel,Movies (Acq),Bronze,60000.0
48645,3b65c971-18c9-4cbc-b940-63bc7db85a95,17,Bering Sea Gold,Unscripted Series (Acq),Bronze,
48911,3b65c971-18c9-4cbc-b940-63bc7db85a95,16,Bering Sea Gold,Unscripted Series (Acq),Bronze,
47944,3b776d7d-2b7e-4399-a868-8a55630c1046,0,Teen Titans Go! & DC Super Hero Girls: Mayhem in the Multiverse,Movies (Acq),Bronze,540000.0
47766,3b8d4811-796c-419e-bfba-d58abc9a2471,1,Evil Lives Here: The Killer Speaks,Docu-Series (Acq),Bronze,
47448,3bd94f1c-cabb-4f96-b3a1-07a504bde0c2,0,American Renegades,Movies (Acq),Bronze,
48907,3be11e34-4553-4526-9b95-fa9a5db03364,1,Wheeler Dealers: Dream Car,Unscripted Series (Acq),Bronze,
49693,3be11e34-4553-4526-9b95-fa9a5db03364,2,Wheeler Dealers: Dream Car,Unscripted Series (Acq),Bronze,
49160,3c1f4b79-f8b3-43c0-8326-c6db0fbe4ce8,0,Mandabi,Movies (Acq),Bronze,
47687,3c3aecdf-883e-4a29-9b6c-38c616382e23,2,Bobby's Triple Threat,Unscripted Series (Acq),Bronze,
48077,3c53e8c4-775d-4930-8b05-b12cb7a73d94,7,Guy's Ranch Kitchen,Unscripted Series (Acq),Bronze,
48617,3c53e8c4-775d-4930-8b05-b12cb7a73d94,6,Guy's Ranch Kitchen,Unscripted Series (Acq),Bronze,
48223,3c62cfa6-88c6-4ed3-85e6-be193eff060e,1,Tracked,Unscripted Series (Acq),Bronze,
47516,3c80efb5-7891-463e-87b9-9e8ca7d8e6c7,0,Gary Gulman: Born On 3rd Base,Specials,Bronze,1400000.0
48622,3c824507-6c13-40b6-a002-915d3c62f255,1,Head 2 Head Drag Race,Unscripted Series (Acq),Bronze,
49303,3c882ef7-83b7-452c-8b74-7c74c6fddf31,1,Motor Shed Squad,Unscripted Series (Acq),Bronze,
48497,3ce22b63-73e0-4bbf-8b70-0b24e22dd5c2,2,The Haunted Museum,Unscripted Series (OP),Bronze,
49774,3d18bdf6-177b-4ca9-9ef9-a1c17a607384,0,Lair of the Sawfish,Specials,Bronze,
47573,3d1d8419-deed-410b-a4c8-9815cb21af8b,6,Signs of a Psychopath,Docu-Series (Acq),Bronze,
47971,3d2daa6b-ea64-41a4-9449-8a4930cf4518,1,The Sympathizer,Drama Series (OP),Gold,
49264,3d34b1ac-398b-4379-9d68-cc03af57cd25,0,Maggie's Plan,Movies (Acq),Bronze,92600.0
47903,3d510db4-d741-417d-9f7d-c79d2294e118,0,American Pain,Docu-Movies (OP),Bronze,1000000.0
47696,3d7da3d2-2104-448a-86d7-2b300981e6ff,0,Crocodile Dundee II,Movies (Acq),Bronze,250000.0
48605,3dc32393-9f18-406d-8982-6ce9cf9da927,0,The Fantastic Four,Movies (Acq),Bronze,1907498.0
49252,3dcc82ce-7c0d-4e0e-a7c2-82a7f4ae59d0,0,Good Time,Movies (Acq),Bronze,475000.0
48890,3e4e70b4-fc1a-4703-a337-412687186ee4,0,The Sharks of Headstone Hell,Docu-Movies (Acq),Bronze,
47484,3e6dfdff-3915-4a84-9205-2eecdbc082fb,0,The Unbreakable Tatiana Suarez,Docu-Movies (OP),Bronze,
48226,3ea6b5a0-24fa-4b85-94a6-00b9e321f8d0,0,Mystery of the Black Demon Shark,Specials,Bronze,
47422,3ea7b0a4-da90-49bc-8843-e922c99fe051,1,Jack Osbourne's Night of Terror,Unscripted Series (Acq),Bronze,
47453,3ed5443d-37c7-4d6a-ab94-75a5f5d3d33d,0,Zola,Movies (Acq),Bronze,
49595,3ee7e259-f259-4e3f-8f70-46b04409d06f,0,The Painter and the Thief,Docu-Movies (Acq),Bronze,350000.0
48799,3f350bd0-bf3d-4019-854f-12f16420391c,0,Line of Duty,Movies (Acq),Bronze,
48939,3f4fea86-0d80-4ea3-b194-d27f5d574cbd,2022,HOT ROD Drag Week,Unscripted Series (Acq),Bronze,
49024,3fa91f93-6653-4edb-8d64-71e96ffb303e,0,Tyson vs. Jaws: Rumble on the Reef,Specials,Bronze,
47986,3fb01e2c-d8fc-425a-b34d-44200e5226cc,1,Motor MythBusters,Unscripted Series (Acq),Bronze,
47584,3fea4cd6-f154-4cd8-83c7-7f512625ea0e,0,The Haunting of Shark Tower,Specials,Bronze,
49709,404792d9-23bf-4c0c-a675-1b05d67cdf08,0,Jennifer Eight,Movies (Acq),Bronze,125000.0
47457,4049c933-28a3-4151-80f8-5e8171524139,0,Live Free or Die Hard,Movies (Acq),Bronze,
49106,40a865b1-b801-44d5-b662-d109afe15e68,0,Coffee and Cigarettes,Movies (Acq),Bronze,
48525,40abeefc-6547-47c0-8b03-365768b03419,8,Beachfront Bargain Hunt Renovation,Unscripted Series (Acq),Bronze,
47826,40abeefc-6547-47c0-8b03-365768b03419,7,Beachfront Bargain Hunt Renovation,Unscripted Series (Acq),Bronze,
48936,40f3eaf1-2c2c-4afe-a743-81ff14480475,0,SharkCam Stakeout,Specials,Bronze,
47990,412a6a10-dafd-4389-8f4c-d3efb717b666,0,Unfinished Business,Movies (Acq),Bronze,814437.0
49747,4152360b-d235-4f58-ba0c-d92b2ef08628,0,Stan & Ollie,Movies (Acq),Bronze,92600.0
48849,41cc156f-f804-49f8-ba1d-a2baf7a28695,5,Supermarket Stakeout,Unscripted Series (Acq),Bronze,
47819,41dbdf30-5fad-4433-9826-991c7d56ab45,3,The Cabin Chronicles,Unscripted Series (Acq),Bronze,
48050,41de1699-87ea-4c62-943c-61c6122e8b3d,1,Flip the Strip,Unscripted Series (Acq),Bronze,
47701,426c01e9-369f-402b-a221-45cbcd5eb5ac,0,Moonraker,Movies (Acq),Bronze,252000.0
48175,4292b0f2-1112-4e6f-b53f-ec9ce0cbf69e,2,Death by Fame,Docu-Series (Acq),Bronze,
48436,42ada3a1-3a84-4741-8f90-90f40b063703,0,The Promise (2016),Movies (Acq),Bronze,
49636,42bc143a-3b18-4c8d-b48e-c46f8575824c,1,I Love You and It Hurts,Drama Series (OP),Bronze,1622500.0
47807,42cb5a80-165d-4faa-bb0f-067f8f2064a9,0,Empire of Light,Movies (Acq),Bronze,274207.0
49243,42fb39f5-e55c-42dd-89ad-df91d386fb5d,0,CNN Special Report: Rising Hate: Antisemitism In America,Docu-Movies (Acq),Bronze,
47450,42ff1280-5d8f-47dd-a289-73734cd2b35d,0,Aqua Teen Forever: Plantasm,Movies (Acq),Bronze,1341185.46
48248,4328f1cc-ef10-4ea6-817a-182030b1007c,0,1000% Me: Growing Up Mixed,Docu-Movies (OP),Bronze,2100000.0
49464,4337043a-5d27-49ab-a7c9-1c52dee7014a,0,Skyfall,Movies (Acq),Bronze,378000.0
49516,4366c98a-7f0f-4255-bb73-46ebdc037fc9,1,FourWheeler,Unscripted Series (Acq),Bronze,
49671,4366c98a-7f0f-4255-bb73-46ebdc037fc9,4,FourWheeler,Unscripted Series (Acq),Bronze,
49721,4366c98a-7f0f-4255-bb73-46ebdc037fc9,2,FourWheeler,Unscripted Series (Acq),Bronze,
49810,4366c98a-7f0f-4255-bb73-46ebdc037fc9,5,FourWheeler,Unscripted Series (Acq),Bronze,
49587,4366c98a-7f0f-4255-bb73-46ebdc037fc9,3,FourWheeler,Unscripted Series (Acq),Bronze,
48519,43750a51-2152-419a-91ba-47071137495e,3,Awkwafina Is Nora From Queens,Comedy Series (Acq),Bronze,19125000.0
47789,43f6f82c-ab45-4184-9cd8-ee7b08ef172d,18,Sister Wives,Unscripted Series (Acq),Bronze,
47561,4413f3fb-79b5-4485-a661-650aa7a7dd93,0,Tom & Jerry: Snowman's Land,Movies (Acq),Bronze,
47697,44246a67-df8f-4fe4-845a-ee969084a3fe,0,Tomorrow Never Dies,Movies (Acq),Bronze,288000.0
48905,44341925-6844-4a88-982a-76417bf7281f,0,Sharkadelic Summer 2,Specials,Bronze,
48598,44372304-48f9-4222-9fbc-8560aad69861,0,National Security,Movies (Acq),Bronze,60409.42675
49030,4486ff00-a699-47bf-834a-599b6845c2e9,0,Leaving Las Vegas,Movies (Acq),Bronze,324000.0
48139,44bbd686-3107-467e-9102-423f8c2f1226,0,Shut In,Movies (Acq),Bronze,135000.0
47892,44f25baf-e22a-47e4-a637-5381ba9a59d1,0,Return of the Great White Serial Killer,Docu-Movies (Acq),Bronze,
48234,450d589d-a73f-437e-93b6-19940720ac3e,0,Think Like a Man,Movies (Acq),Bronze,69703.18471
49750,452d85bb-bb46-4f16-bc58-26e5391d200d,2,Batwheels,Kids Series (Acq),Bronze,9324000.0
48320,454dcf5f-3ff1-453c-89dc-971bfe7599a5,0,Great Expectations,Movies (Acq),Bronze,230000.0
48358,45558119-513f-468c-9927-42876a379b90,0,Monos,Movies (Acq),Bronze,90000.0
48304,4577bc40-4b47-4b7a-96c8-bae24f58bc72,0,Kuwaha Maori and the Floating Worlds Time Forgot,Specials,Bronze,
49040,457aa281-62c9-4a26-a773-83dd6574bdb1,0,The Master,Movies (Acq),Bronze,175000.0
48509,45984055-314f-4842-aebc-e1f6eb7291e3,0,Geronimo: An American Legend,Movies (Acq),Bronze,17182.03657
48906,459e05db-0585-4577-88b2-4b866633e696,3,Dirt Every Day,Unscripted Series (Acq),Bronze,
49534,459e05db-0585-4577-88b2-4b866633e696,11,Dirt Every Day,Unscripted Series (Acq),Bronze,
49530,459e05db-0585-4577-88b2-4b866633e696,4,Dirt Every Day,Unscripted Series (Acq),Bronze,
49558,459e05db-0585-4577-88b2-4b866633e696,5,Dirt Every Day,Unscripted Series (Acq),Bronze,
49460,459e05db-0585-4577-88b2-4b866633e696,1,Dirt Every Day,Unscripted Series (Acq),Bronze,
49427,459e05db-0585-4577-88b2-4b866633e696,7,Dirt Every Day,Unscripted Series (Acq),Bronze,
48307,459e05db-0585-4577-88b2-4b866633e696,10,Dirt Every Day,Unscripted Series (Acq),Bronze,
49090,459e05db-0585-4577-88b2-4b866633e696,8,Dirt Every Day,Unscripted Series (Acq),Bronze,
48026,459e05db-0585-4577-88b2-4b866633e696,6,Dirt Every Day,Unscripted Series (Acq),Bronze,
48942,459e05db-0585-4577-88b2-4b866633e696,2,Dirt Every Day,Unscripted Series (Acq),Bronze,
49549,459e05db-0585-4577-88b2-4b866633e696,9,Dirt Every Day,Unscripted Series (Acq),Bronze,
48149,45ab01e3-5cf6-45cf-8bd4-b1a6465467ab,0,Exodus: Gods and Kings,Movies (Acq),Bronze,13958011.29
47498,45b75437-6ff0-41f9-ad2b-e0ead66e9fc9,0,Lil Nas X: Long Live Montero,Docu-Movies (OP),Silver,1000000.0
48804,45bb0285-1618-487e-81ab-aeaff727f189,0,Paranormal Activity,Movies (Acq),Bronze,285000.0
49456,45c1f400-c0af-4ebf-89cc-1460b70244be,0,Mothersharker,Specials,Bronze,
49626,45e2388a-9522-47f5-8968-3ef104289732,0,Air Jaws: Fin of Fury,Specials,Bronze,
48444,45f4ef12-5ac0-484b-abf9-ac7a0040bad3,0,Date Night,Movies (Acq),Bronze,
48233,4633d868-babb-4e9a-bbc1-d07a32653995,1,Wildcard Kitchen,Unscripted Series (Acq),Bronze,
48114,4641f249-fa6d-4d5b-9202-1743464376b7,3,DC's Stargirl,Drama Series (Acq),Bronze,13298360.0
48566,4645f8a4-834b-49de-94e0-ee742ec7d88f,1,Chrome Underground,Unscripted Series (Acq),Bronze,
48256,46b43b3d-43fb-413e-816f-53402d8ad081,0,Friday The 13th: The Final Chapter,Movies (Acq),Bronze,225000.0
49528,46c8c904-c754-4f6a-b6b2-0cc508e6472d,1,Wrench'd,Unscripted Series (Acq),Bronze,
49519,46c8c904-c754-4f6a-b6b2-0cc508e6472d,2,Wrench'd,Unscripted Series (Acq),Bronze,
49639,46cdb78e-5ba9-4476-89a4-30d13ee009d2,0,Infinitely Polar Bear,Movies (Acq),Bronze,92600.0
47982,46d09dc1-9edf-4c70-a0ee-2eca45d0b40b,0,Ronin,Movies (Acq),Bronze,216000.0
49129,4712d928-7b06-409c-b64a-3a9f2c70f996,14,Valerie's Home Cooking,Unscripted Series (Acq),Bronze,
48016,472ad97f-bb84-4a64-aadf-2f082ea85cd9,0,The Phantom,Movies (Acq),Bronze,125000.0
48432,472f91c5-a441-40fb-800b-d26ea304e268,0,The Venture Bros: Radiant Is the Blood of the Baboon Heart,Movies (Acq),Bronze,
47553,476eae42-4437-4486-87e3-af8177fc7435,0,Metal Monsters: The Righteous Redeemer,Docu-Movies (OP),Bronze,636814.0
48933,47871efe-5c33-404c-9b55-360f64948e86,0,Return to Headstone Hell,Specials,Bronze,
47510,47a6b658-c505-43ee-aa06-483ad649c4be,0,Men In Black 3,Movies (Acq),Bronze,510857.5421
49548,47e48a9f-fbf2-44f5-9062-4b3bec9f4701,35,The Pioneer Woman,Unscripted Series (OP),Bronze,
49035,47e48a9f-fbf2-44f5-9062-4b3bec9f4701,34,The Pioneer Woman,Unscripted Series (OP),Bronze,
48999,47e48a9f-fbf2-44f5-9062-4b3bec9f4701,36,The Pioneer Woman,Unscripted Series (OP),Bronze,
49351,48049f95-768e-4c83-a67a-a88fdafbb7d3,4,Pebble Beach Concours,Unscripted Series (Acq),Bronze,
49341,48049f95-768e-4c83-a67a-a88fdafbb7d3,3,Pebble Beach Concours,Unscripted Series (Acq),Bronze,
49327,48049f95-768e-4c83-a67a-a88fdafbb7d3,1,Pebble Beach Concours,Unscripted Series (Acq),Bronze,
47523,486843c3-f307-4af0-b946-f2f1469514dc,0,Magic Mike's Last Dance,Movies (Acq),Platinum,6000000.0
47781,487b8c24-cac7-467c-86bc-d8a604fc6f50,1,"Justice, USA",Docu-Series (OP),Bronze,
47455,48cd05b2-3963-4e3f-a6da-e04bb1365fed,0,Jurassic Ghost Town: A Mass Murder Mystery,Specials,Bronze,
49560,48f428e3-ded2-4183-8512-e6b668d38596,0,Air Jaws: Going for Gold,Specials,Bronze,
49014,48fd33b1-51c4-4868-9317-3006a049ec6f,0,The Watermelon Woman,Movies (Acq),Bronze,
48367,49218005-2cd1-4884-a8bf-b38c00cbaf81,2,Diary of an Old Home,Unscripted Series (Acq),Bronze,
49703,49218005-2cd1-4884-a8bf-b38c00cbaf81,3,Diary of an Old Home,Unscripted Series (Acq),Bronze,
49064,493df17c-eb56-491b-bf23-a0d769a86a61,4,Outrageous Pumpkins,Unscripted Series (Acq),Bronze,
49705,496001d3-2443-43d5-833e-a666f8715889,6,Oprah's Master Class,Unscripted Series (Acq),Bronze,
48040,4995755a-9200-4a6e-a835-d91850097dbb,0,Daniel,Docu-Movies (OP),Bronze,1300000.0
49422,499c63c9-e3e4-4256-8f65-5233341b46c5,1,In the Moment With Angus MacKenzie,Unscripted Series (Acq),Bronze,
49687,49c6c90f-f182-4305-885a-8c17b5cd9c44,0,Angels Sing,Movies (Acq),Bronze,60000.0
47431,49fa7739-e1d0-4251-a830-ffff0d1223d7,6,Love & Marriage: Huntsville,Unscripted Series (Acq),Bronze,
48485,49fa7739-e1d0-4251-a830-ffff0d1223d7,7,Love & Marriage: Huntsville,Unscripted Series (Acq),Bronze,
49616,4_jours_de_dunkerque_cycling_men,0,4 JOURS DE DUNKERQUE: Cycling (Men),,Bronze,
47930,4a041899-7187-465c-b766-43e30eea2c1d,0,The Blackcoat's Daughter,Movies (Acq),Bronze,40000.0
49812,4a2dd3d0-ab28-42e4-8231-ffbd0f15ac2b,1,The Auto Firm With Alex Vega,Unscripted Series (Acq),Bronze,
49039,4a88caf2-341a-4c8a-92b1-874a0fd8d8e8,0,Monster Sharks of Andros Island,Specials,Bronze,
48770,4af9ccb1-69ad-4753-8a3f-e034c67d9e88,0,Ninja Sharks 2: Mutants Rising,Specials,Bronze,
47693,4b143c55-929d-402e-ba4a-8cd1bb40f44e,0,The Last Witch Hunter,Movies (Acq),Bronze,1815625.0
48014,4b20f246-df54-489c-86f7-f429e8d11940,0,A Night at the Roxbury,Movies (Acq),Bronze,215000.0
47916,4b7ab6de-dfa5-4fa7-830b-223ad1f14e0d,1,Fired On Mars,Adult Animation Series (OP),Bronze,14308887.0
48090,4b8b49ac-a5c9-4db3-be1e-afd52cfc79d5,3,Painting With John,Unscripted Series (OP),Bronze,1600000.0
49805,4b9602b6-d707-4874-a400-32111e1f3f18,1,Ant Anstead Master Mechanic,Unscripted Series (Acq),Bronze,
49629,4b9cd142-e158-41b5-b44b-667e92efe2a1,0,Drive Me Crazy,Movies (Acq),Bronze,230000.0
48364,4bb3fb77-9cb5-4713-bdc9-599bd2de231e,0,Jaws vs. Kraken,Specials,Bronze,
49367,4bcce981-6aff-496a-840b-55e1e281125b,0,Leo Reich: Literally Who Cares?!,Movies (OP),Bronze,1200000.0
49453,4c125b5a-8c83-47a8-967e-b2740418143f,0,The Family Meeting,Movies (Acq),Bronze,25000.0
49609,4c529552-85a4-4861-ba9d-b5625466d579,3,Dallas Car Sharks,Unscripted Series (Acq),Bronze,
48739,4c529552-85a4-4861-ba9d-b5625466d579,1,Dallas Car Sharks,Unscripted Series (Acq),Bronze,
49791,4c529552-85a4-4861-ba9d-b5625466d579,2,Dallas Car Sharks,Unscripted Series (Acq),Bronze,
48198,4c58bd07-3a2c-4f32-bac8-b853b066c4c5,0,Shark Trek,Specials,Bronze,
48998,4c79aa92-7621-4398-8a57-91fe6e7c5b03,2,Big Sky Kitchen With Eduardo Garcia,Unscripted Series (Acq),Bronze,
49475,4c9a2af3-3e01-4e20-96ff-4cc309745f5d,0,The Story of a Three Day Pass,Movies (Acq),Bronze,
47691,4ca6831c-f62b-4310-a322-d347553a1995,1,On the Roam,Unscripted Series (OP),Silver,6336000.0
48854,4cacbef3-e064-41b6-bb60-307701da22d2,3,Battle on the Beach,Unscripted Series (Acq),Bronze,
47886,4cbfd96c-1db6-4fe3-aa68-fabe787b025c,0,Run All Night,Movies (Acq),Bronze,1653953.0
48551,4ce2ebbe-99b0-4450-ae07-e58adec9f3d1,1,Survive the Raft,Unscripted Series (Acq),Bronze,
49093,4cebdbe6-829b-4a6e-bccc-b286ece00d10,0,Laws of Jaws: Dangerous Waters,Specials,Bronze,
48527,4d1ae61d-fc8b-4348-85e6-e4c2fc706f48,2,Why the Heck Did I Buy This House?,Unscripted Series (Acq),Bronze,
47757,4d1ba324-839c-4f64-8c07-d30c3cfd28bf,0,Children of the Corn VII: Revelation,Movies (Acq),Bronze,81000.0
48332,4d2dc7ec-59d6-42b3-bb1e-d28fb8d2f4af,1,Design Goals,Unscripted Series (Acq),Bronze,
49002,4d417826-c622-4a7f-a725-7c486114954e,0,Shark Women: Ghosted by Great Whites,Specials,Bronze,
49228,4daf7c34-18a4-4e90-8a57-362049f07803,2023,HGTV Urban Oasis,Unscripted Series (Acq),Bronze,
48154,4dbf2e86-b4f9-423c-9e7a-4b65dbbb64fe,1,Big Little Brawlers,Unscripted Series (Acq),Bronze,
49288,4dd131cb-d4d6-497f-8027-ba03b1fd9482,1,Control,Drama Series (Acq),Bronze,
49571,4dd131cb-d4d6-497f-8027-ba03b1fd9482,2,Control,Drama Series (Acq),Bronze,
49297,4dd131cb-d4d6-497f-8027-ba03b1fd9482,3,Control,Drama Series (Acq),Bronze,
49266,4dd131cb-d4d6-497f-8027-ba03b1fd9482,4,Control,Drama Series (Acq),Bronze,
47798,4e0195fa-36f8-4b59-8b56-bd6fa8680f67,0,Fargo,Movies (Acq),Bronze,360000.0
49206,4e023327-9cd9-4492-8004-7d61f5d18922,0,Goldeneye,Movies (Acq),Bronze,288000.0
48931,4e4c266a-798c-43f5-92ec-e4f2ea35e37a,0,Save Yourselves!,Movies (Acq),Bronze,250000.0
47856,4e88a415-8cdb-4127-91a1-e9c9e3ca0b16,8,Strange Evidence,Unscripted Series (Acq),Bronze,
48404,4e9b0700-0d21-4b9f-a3bd-846fe7595e99,0,The Exception,Movies (Acq),Bronze,40000.0
48714,4ed3af49-e17a-4426-aae9-2c416f690a11,0,World's First Battlefield,Specials,Bronze,
48419,4ef4466d-5a0d-471d-93b6-b27f297a0f17,3,The Established Home,Unscripted Series (Acq),Bronze,
47641,4ef98f65-0afb-4b59-8187-d41ec9cbf4e1,0,Empire State,Movies (Acq),Bronze,250000.0
49168,4f012750-ccd8-44bf-a16a-447b6876e4c4,0,Shark Week Sharktacular 2016,Specials,Bronze,
48263,4f13cdbb-d45b-4ab3-88ca-589c0e51c8e2,0,House of Sand and Fog,Movies (Acq),Bronze,215000.0
49625,4f49b9b0-7659-431a-ac06-b1895e55769e,0,Air Jaws Strikes Back,Specials,Bronze,
48556,4f4cd9c1-aa6b-4d21-ab5c-7954c572aaae,0,Office Space,Movies (Acq),Bronze,230000.0
49715,4f68e1fa-ead3-4b79-aa1c-2d8a124763cc,15,My Lottery Dream Home,Unscripted Series (Acq),Bronze,
47532,4f68e1fa-ead3-4b79-aa1c-2d8a124763cc,14,My Lottery Dream Home,Unscripted Series (Acq),Bronze,
49742,4f9d8e75-b00d-4abc-99df-01f40791fc49,0,Air Jaws: Night Stalker,Specials,Bronze,
49302,4fca3b0e-713e-47ec-b1f9-4fd57c96c7b8,1,Black Ops Brothers: Howe & Howe Tech,Unscripted Series (Acq),Bronze,
49817,4fca3b0e-713e-47ec-b1f9-4fd57c96c7b8,2,Black Ops Brothers: Howe & Howe Tech,Unscripted Series (Acq),Bronze,
47571,4fe36d3c-0766-402b-b176-0866dc09758d,0,Whiteboyz,Movies (Acq),Bronze,230000.0
48820,500532e1-05ab-4ba7-87f0-f54db37f2002,0,Cookie Monster's Bake Sale,Specials,Bronze,661500.0
48166,50c8ce6d-088c-42d9-9147-d1b19b1289d4,1,Scavengers Reign,Adult Animation Series (OP),Bronze,16679111.0
47662,50dbd33b-1616-4854-b78d-0f131c8aaeb1,0,The Hollars,Movies (Acq),Bronze,92600.0
48490,50eb67eb-0bca-4d27-8588-1da69f6776de,5,Bargain Mansions,Unscripted Series (Acq),Bronze,
48049,510db597-3c12-41fe-803e-2a3707d20349,0,Wonderland,Movies (Acq),Bronze,175000.0
48445,5121629b-3eff-4f9c-bf7b-0c40ebba7ba5,0,Hellboy 2: The Golden Army,Movies (Acq),Bronze,
48405,51d873c1-9988-4645-8084-c1c8a7a9cd1e,0,The Assistant,Movies (Acq),Bronze,300000.0
49102,51ea90d5-49c9-4751-8f89-2b4d034f2307,12,My Sesame Street Friends,Kids Series (OP),Bronze,
49333,51ea90d5-49c9-4751-8f89-2b4d034f2307,14,My Sesame Street Friends,Kids Series (OP),Bronze,
49305,51ea90d5-49c9-4751-8f89-2b4d034f2307,13,My Sesame Street Friends,Kids Series (OP),Bronze,
48626,520741ac-57b4-4415-bbb7-c36d33b15723,0,Just Like Heaven,Movies (Acq),Bronze,300000.0
48093,5225a247-480d-4fed-9064-8086a1c9ef60,0,Safe Haven,Movies (Acq),Bronze,350000.0
48437,52315d45-7b99-448a-80ac-2c078f6530ac,0,Acts of Vengeance,Movies (Acq),Bronze,139091.0
48844,523ee217-18b6-455e-85c0-064b1be00640,0,Ghost,Movies (Acq),Bronze,385000.0
48152,52671f93-8c8e-4ecd-b501-7604fd27d32f,34,The Kitchen,Unscripted Series (Acq),Bronze,5114011.313
48258,52671f93-8c8e-4ecd-b501-7604fd27d32f,35,The Kitchen,Unscripted Series (Acq),Bronze,5114011.313
49362,52671f93-8c8e-4ecd-b501-7604fd27d32f,33,The Kitchen,Unscripted Series (Acq),Bronze,5114011.313
47837,526fc3da-1c67-4646-9104-48215036ad51,0,Georgia Rule,Movies (Acq),Bronze,
48894,52d39c0b-5ca5-42bd-96b6-d7829560119a,0,My Scientology Movie,Docu-Movies (Acq),Bronze,60000.0
47929,53728e6f-90de-4bab-94ad-3d14495477e8,0,Sleepy Hollow,Movies (Acq),Bronze,250000.0
49819,53a84383-123d-40e7-a8b0-4cf7745b519f,0,Monster Tag,Specials,Bronze,
47544,53dc4f6d-8db7-4b06-98ca-66f650fdd4e1,0,Everest,Movies (Acq),Bronze,2104031.0
49619,53ddee82-20bd-4972-a419-62b719ba7f32,1,Wreck Chasers,Unscripted Series (Acq),Bronze,
48610,53e6ae54-7d78-4243-a34d-f33cde179f6a,0,Bullet to the Head,Movies (Acq),Bronze,
48706,53f544ce-4b3e-4c00-9db8-4274f2ca27fb,8,Who the (BLEEP) Did I Marry?,Docu-Series (Acq),Bronze,
49809,5429818e-43a1-4bcb-a7eb-6248fec8110f,1,Vintage Motorcars In Arizona,Unscripted Series (Acq),Bronze,
49100,5440aca2-8a67-4928-9ad6-b5ceeaa5431b,0,Talk Black,Movies (Acq),Bronze,
49759,547f1869-e039-48ce-badb-0f8b6a68403a,0,Sharkwrecked,Specials,Bronze,
48870,5487de64-7b15-49e3-9912-b299ddb80f04,6,A Time to Kill,Docu-Series (Acq),Bronze,134899.9
49489,5487de64-7b15-49e3-9912-b299ddb80f04,8,A Time to Kill,Docu-Series (Acq),Bronze,134899.9
48369,549cc319-2fff-43db-9b1d-4150ed10f5b5,1,Naked and Afraid: Castaways,Unscripted Series (Acq),Bronze,
49451,54abba25-37c2-4d96-87e0-e55af04ad9be,1,My Magic Closet (Além Do Guarda-Roupa),Comedy Series (OP),Bronze,887614.38
47481,54c28b58-f130-42e5-bea5-6370ca878121,1,I Survived Bear Grylls,Unscripted Series (Acq),Bronze,340000.0
48245,54e87128-4a20-49e1-a62a-47bd8b5b96bf,2,The Cube,Unscripted Series (Acq),Bronze,510000.0
48768,550c0b97-4f66-4a03-a00c-6c3bc1fc5196,0,Prancer: A Christmas Tale,Movies (Acq),Bronze,
47941,55306ac0-16ff-4560-a918-2f3f0ead8a86,0,Lawless,Movies (Acq),Bronze,200000.0
49349,5537e3e8-d863-4dbe-992c-55eaf9a28602,0,Military Wives,Movies (Acq),Bronze,250000.0
47661,553ff33b-2f18-4b43-a2fa-f7e6a38f9253,0,The Kid (2019),Movies (Acq),Bronze,
48189,5556f34b-2a5f-4605-b4c5-ea6d6548498b,0,Species II,Movies (Acq),Bronze,180000.0
48619,555d5b2c-e15c-422c-b5b7-7ad064c2520c,0,Mako Mania: Battle for California,Specials,Bronze,
48948,556095e3-4401-4cac-8c18-e780c0f3bf4f,8,Delicious Miss Brown,Unscripted Series (Acq),Bronze,
48506,556095e3-4401-4cac-8c18-e780c0f3bf4f,9,Delicious Miss Brown,Unscripted Series (Acq),Bronze,
48324,556fdbfd-1c39-4ac6-9f43-007391f59dd9,0,Time Bomb Y2K,Docu-Movies (OP),Bronze,1500000.0
48834,55a7e7be-559f-47c1-aee8-4d9ad17d5bff,0,Teen Wolf Too,Movies (Acq),Bronze,225000.0
48631,55c379cd-bda9-45d7-8a1b-689da050f191,0,Paparazzi,Movies (Acq),Bronze,230000.0
49603,560006fb-d733-42f9-87f4-a48632a18d9f,2023,Gran Turismo World Series,Unscripted Series (Acq),Bronze,
48028,5611931e-c0c2-43f1-9cfc-13b3b0ed2bfd,0,Death Wish II,Movies (Acq),Bronze,345000.0
47727,56341cf1-3bb4-4be1-b1fa-3ae0b659f970,1,Battle of the Decades,Unscripted Series (Acq),Bronze,
47762,5639c996-940d-440f-ab51-5eb5345bf52c,0,Gray Matter,Movies (OP),Bronze,
48193,5657a785-0728-4d3e-acfe-dca7640b598b,0,Regression,Movies (Acq),Bronze,100000.0
48084,56592450-70ff-4eb0-918b-f00737394d0d,0,Ghostbusters,Movies (Acq),Bronze,900000.0
48083,56592450-70ff-4eb0-918b-f00737394d0d,0,Ghostbusters,Movies (Acq),Bronze,749257.7284
48348,566b2183-1d91-4751-ad2b-73c2512e7ebf,0,Brokedown Palace,Movies (Acq),Bronze,230000.0
47787,569a3b7c-7fca-49d8-b87d-3baea14afeeb,1,Border Control: Sweden,Unscripted Series (Acq),Bronze,
