,ckg_series_id,season_number,title_name,content_strategy_category,medal,content_cost
48296,0788de6e-c1e5-40f2-80d3-ab7445694f25,0,Paycheck,Movies (Acq),Bronze,300000.0
48066,07f9dce9-ae0e-4769-b539-ff9a695588e0,1,The Mountain Kitchen,Unscripted Series (Acq),Bronze,
49572,081b90e9-dc14-4500-a86a-16f62b357253,0,The Memphis Belle: A Story of a Flying Fortress,Docu-Movies (Acq),Bronze,
47440,08289b11-a196-4528-b631-780e0aff7506,0,Ancient Armageddon,Docu-Movies (Acq),Bronze,
48254,082b861f-20bb-472b-b3ab-a5d9c96c4e96,0,The Monster,Movies (Acq),Bronze,40000.0
47564,0834e799-5bd0-494c-b84b-a973523377ca,0,Man on Fire,Movies (Acq),Bronze,300000.0
49419,0858b16e-e422-4836-b5b7-0dc3cc7d0455,5,Diesel Power Challenge,Unscripted Series (Acq),Bronze,
49413,0858b16e-e422-4836-b5b7-0dc3cc7d0455,10,Diesel Power Challenge,Unscripted Series (Acq),Bronze,
49421,0858b16e-e422-4836-b5b7-0dc3cc7d0455,9,Diesel Power Challenge,Unscripted Series (Acq),Bronze,
49079,08673562-acfb-48bd-a3bb-190f4d8bf385,0,Another Country,Movies (Acq),Bronze,
47827,08c680a8-1ec2-41ff-8a96-956452d6bd5b,0,Calcifer Yule Log,Specials,Bronze,
49753,08d7172a-a6ee-4d91-8d57-e040e530d9a4,2,Unique Rides,Unscripted Series (Acq),Bronze,
49600,08d7172a-a6ee-4d91-8d57-e040e530d9a4,1,Unique Rides,Unscripted Series (Acq),Bronze,
49425,08d7172a-a6ee-4d91-8d57-e040e530d9a4,3,Unique Rides,Unscripted Series (Acq),Bronze,
48108,08ebaa74-41f1-41d8-9273-fdd7a7e8994c,1,1000-lb Sisters,Unscripted Series (Acq),Bronze,
48913,08ebaa74-41f1-41d8-9273-fdd7a7e8994c,5,1000-lb Sisters,Unscripted Series (Acq),Bronze,
48126,08efd138-6603-43bf-8482-e09fe3928a1c,0,Lost in America,Movies (Acq),Bronze,30000.0
47924,091df698-401e-42d9-9886-0b9d4c41b460,0,Friday the 13th,Movies (Acq),Bronze,1999875.0
48164,0939706b-86b2-4297-a7d5-b4e28d0d5dfe,0,Thinner,Movies (Acq),Bronze,250000.0
49234,096e730b-3139-4440-b919-6d48f1bd640b,1,Otter Dynasty,Unscripted Series (Acq),Bronze,
48402,099d0b48-6abf-4c4c-a66f-81275089c866,0,Jaws Comes Home,,Bronze,
49309,09b69152-b59d-4b71-ac95-2bdb83d37093,1,Jesse James: Outlaw Garage,Unscripted Series (Acq),Bronze,
49346,09bea9e3-1486-4b83-9b3d-25bfd68a48ae,1,Mike Brewer's World of Cars,Unscripted Series (Acq),Bronze,
47698,09cabf48-6229-49c6-ac9e-2f4f46522daf,0,The House Bunny,Movies (Acq),Bronze,139406.3694
47709,09e3f83b-444c-4600-8708-e89e750ee5d6,2,Rich & Shameless,Docu-Series (Acq),Bronze,340000.0
48465,0a051c92-dedf-4f10-a873-bdb8670765a5,0,Isle of Jaws: Blood Brothers,Specials,Bronze,
49061,0a183afa-e68c-41f3-abcf-e6edab61b7fa,0,Ceddo,Movies (Acq),Bronze,
49404,0a356c30-7ded-47bc-ab62-eca7962510f6,1,The Downshift,Unscripted Series (Acq),Bronze,
49794,0a356c30-7ded-47bc-ab62-eca7962510f6,5,The Downshift,Unscripted Series (Acq),Bronze,
49392,0a356c30-7ded-47bc-ab62-eca7962510f6,7,The Downshift,Unscripted Series (Acq),Bronze,
48885,0aa0fa37-1857-423f-8f52-be54e8d82541,1,First-Time Buyer's Club,Unscripted Series (Acq),Bronze,
48778,0ac4d16b-ba02-4d56-ad31-f5e46e3711d6,0,Major League,Movies (Acq),Bronze,250000.0
48274,0ace8d2b-3891-40bb-8331-dce01bf772bc,1,Gotham Knights,Drama Series (Acq),Bronze,2909018.0
48266,0aceaf6f-8785-48ef-97fb-f1e69ce9c3fc,1,Frankelda's Book of Spooks,Unscripted Series (OP),Bronze,16400.0
48236,0ad51240-62e5-4191-8741-ce313a3272bf,2,Real Time Crime,Docu-Series (Acq),Bronze,
47793,0ae8c8f7-3682-4353-9607-46b4ce0e0267,2,Caught in the Net,Docu-Series (Acq),Bronze,
47998,0b1f5774-f261-4987-b3fe-baa6ba75e258,0,The Pyramid,Movies (Acq),Bronze,263752.0
48242,0b3ca81b-3f16-4381-b951-eb856f4a41a8,1,Headless Chickens,Comedy Series (OP),Bronze,680856.5
49675,0b449e78-e782-46ff-a942-0209f72b7cae,1,Angel of Death,Drama Series (Acq),Bronze,
49591,0b496880-fce8-4378-866f-a3a475eb46a8,3,The Unit,Drama Series (Acq),Bronze,
